49, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1894,45, Cuba, >50K
32, Private, Some-college, Never-married, Prof-specialty, Wife, Other, Male,9956,0,60, Vietnam, >50K
49, Private, Some-college, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
76, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,8, Outlying-US(Guam-USVI-etc), <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,20, Ecuador, <=50K
50, Federal-gov, HS-grad, Separated, Tech-support, Unmarried, White, Male,0,0,45, France, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, India, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,15, South, <=50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Haiti, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,14, Canada, <=50K
30, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,26464,0,60, Yugoslavia, >50K
43, State-gov, Masters, Never-married, Tech-support, Wife, Black, Female,0,0,20, Jamaica, >50K
33, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, Black, Male,0,0,62, Nicaragua, >50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Nicaragua, >50K
48, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,9, Honduras, <=50K
61, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,36, Vietnam, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Canada, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,37, Dominican-Republic, >50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Nicaragua, <=50K
38, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Italy, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, >50K
62, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Mexico, >50K
60, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,62, Scotland, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
39, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,45, Ecuador, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, South, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Male,0,1887,40, Cuba, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,3223,0,40, Japan, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Germany, <=50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,10, Ecuador, <=50K
20, Local-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,24, Haiti, <=50K
36, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, South, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Japan, >50K
59, Private, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,35, Ecuador, <=50K
40, Private, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Philippines, <=50K
37, Private, HS-grad, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,30, China, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Peru, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
23, Private, Some-college, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, England, <=50K
56, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Italy, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7298,0,45, India, >50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Taiwan, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Columbia, <=50K
48, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Cuba, >50K
47, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Ecuador, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, El-Salvador, <=50K
37, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
33, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,1902,45, Trinadad&Tobago, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Puerto-Rico, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, Vietnam, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,41, Guatemala, >50K
56, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
36, State-gov, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, Greece, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K
40, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7298,0,35, Mexico, >50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, >50K
48, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,5185,0,45, Guatemala, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, China, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, South, >50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Hong, <=50K
60, Federal-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,80, United-States, >50K
34, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
47, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,10, Ecuador, <=50K
36, Private, Bachelors, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Greece, <=50K
45, Local-gov, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,1671,40, Laos, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, >50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,2312,0,50, Ireland, >50K
55, Private, Assoc-voc, Widowed, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,37, Vietnam, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Greece, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
54, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Honduras, <=50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,20, Vietnam, <=50K
46, Federal-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,54, England, >50K
17, State-gov, 10th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,12, Germany, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Hungary, <=50K
57, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Vietnam, <=50K
39, Private, Bachelors, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
43, Private, HS-grad, Married-spouse-absent, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1977,50, South, >50K
30, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, India, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, Italy, <=50K
52, Local-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Cambodia, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,70, Guatemala, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
28, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, France, >50K
38, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
28, Private, Masters, Never-married, Prof-specialty, Husband, Black, Female,0,1977,20, Iran, <=50K
40, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,35, Puerto-Rico, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
36, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,30, El-Salvador, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, Columbia, >50K
18, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Peru, >50K
44, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,3923,0,40, Laos, >50K
44, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
72, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,2359,40, Jamaica, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,70, Hong, >50K
40, Private, Bachelors, Married-civ-spouse, Sales, Wife, Black, Male,0,0,40, Taiwan, >50K
58, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, Ireland, <=50K
59, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, El-Salvador, >50K
31, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, Scotland, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cambodia, <=50K
54, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Poland, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Portugal, <=50K
43, Private, Some-college, Separated, Prof-specialty, Own-child, Other, Female,0,0,40, India, <=50K
29, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Other, Female,0,0,40, China, <=50K
76, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, Other, Female,0,0,12, Hong, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Other, Male,0,0,50, United-States, <=50K
62, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,10, Portugal, <=50K
74, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Vietnam, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Black, Male,0,0,40, Peru, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,15, Scotland, <=50K
65, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, England, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Other, Male,0,0,40, Greece, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, Guatemala, <=50K
52, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,60, Italy, <=50K
54, Self-emp-inc, HS-grad, Divorced, Other-service, Husband, White, Female,0,1887,38, Philippines, <=50K
59, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
40, Private, Some-college, Separated, Tech-support, Unmarried, Other, Female,0,0,45, Haiti, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Ireland, <=50K
40, Private, 10th, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,20, Scotland, <=50K
45, Private, Bachelors, Divorced, Other-service, Unmarried, Other, Female,0,0,40, South, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,1902,40, Ecuador, >50K
43, Self-emp-not-inc, Bachelors, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Canada, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Hungary, <=50K
56, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Peru, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, Vietnam, <=50K
56, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Thailand, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,24, Cuba, <=50K
32, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Greece, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,50, Jamaica, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Vietnam, <=50K
53, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Columbia, <=50K
51, Private, HS-grad, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
51, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Italy, <=50K
36, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Dominican-Republic, <=50K
32, Federal-gov, Assoc-voc, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
31, Local-gov, Bachelors, Separated, Prof-specialty, Not-in-family, Other, Female,0,0,45, Thailand, >50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, China, <=50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Scotland, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,45, Cuba, >50K
43, Private, Masters, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,60, El-Salvador, <=50K
40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Haiti, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,87, Dominican-Republic, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,40, Portugal, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
37, Private, Bachelors, Divorced, Sales, Own-child, Other, Male,0,0,60, El-Salvador, <=50K
21, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,4, Hong, <=50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,7830,0,40, Laos, >50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,60, Canada, >50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Vietnam, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Peru, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Dominican-Republic, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, England, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Yugoslavia, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, China, <=50K
54, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Taiwan, >50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, Honduras, <=50K
33, Private, HS-grad, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Guatemala, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
57, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, >50K
34, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,3, Vietnam, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, Italy, <=50K
23, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,50, Japan, <=50K
42, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, Hungary, <=50K
85, Federal-gov, Bachelors, Widowed, Prof-specialty, Not-in-family, Other, Male,0,0,67, Portugal, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Canada, <=50K
37, Private, HS-grad, Divorced, Priv-house-serv, Own-child, White, Female,99999,0,37, Jamaica, >50K
31, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Other-relative, Black, Male,0,0,99, Philippines, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Nicaragua, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, Guatemala, >50K
70, Self-emp-not-inc, Assoc-acdm, Widowed, Machine-op-inspct, Not-in-family, Other, Male,0,0,75, Iran, <=50K
40, Without-pay, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,32, South, >50K
43, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,7687,0,40, Japan, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,36, Vietnam, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Jamaica, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, Trinadad&Tobago, >50K
29, Private, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,45, United-States, <=50K
19, Private, 10th, Never-married, Sales, Own-child, Black, Female,0,0,25, Nicaragua, <=50K
51, Private, HS-grad, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,36, Greece, <=50K
47, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,36, Ecuador, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, Hong, <=50K
32, Private, 11th, Never-married, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,45, India, <=50K
51, Private, HS-grad, Widowed, Sales, Unmarried, Other, Female,0,0,30, Poland, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,45, Trinadad&Tobago, <=50K
66, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Hungary, <=50K
66, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,5320,0,40, Cuba, >50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Hungary, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,45, China, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, France, >50K
60, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,2407,80, Poland, >50K
31, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,99, Greece, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,50, Philippines, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
24, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Iran, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Wife, Other, Female,0,0,40, Taiwan, >50K
63, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,2412,0,31, Yugoslavia, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Other-relative, Other, Female,0,0,80, Philippines, <=50K
33, Self-emp-not-inc, Assoc-voc, Married-spouse-absent, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,4982,0,40, Nicaragua, >50K
28, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Ecuador, <=50K
