45, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Masters, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,5178,0,40, United-States, >50K
41, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,24, United-States, <=50K
55, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, <=50K
19, State-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
55, Local-gov, Some-college, Separated, Farming-fishing, Wife, White, Female,0,0,35, Vietnam, >50K
47, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,2365,40, Cambodia, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private, 9th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, State-gov, 9th, Separated, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,25, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,54, United-States, <=50K
45, Private, Bachelors, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,99999,0,40, United-States, >50K
22, Self-emp-not-inc, 11th, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Separated, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,0,0,20, South, >50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,24, Japan, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,1876,40, United-States, <=50K
32, Private, Assoc-voc, Separated, Prof-specialty, Not-in-family, White, Female,0,0,25, England, <=50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,4395,0,40, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,2638,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,3331,0,40, United-States, <=50K
18, Local-gov, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, United-States, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Never-married, Tech-support, Wife, White, Female,0,0,30, United-States, <=50K
45, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,69, United-States, <=50K
20, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
35, Federal-gov, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,45, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
43, Federal-gov, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,3434,0,40, United-States, >50K
36, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,5, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, United-States, <=50K
39, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,3, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
26, Private, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, >50K
50, Private, 11th, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,20, El-Salvador, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Local-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, >50K
90, Self-emp-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Private, Bachelors, Never-married, Farming-fishing, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Divorced, Handlers-cleaners, Wife, White, Female,2313,0,40, Laos, <=50K
45, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
23, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Tech-support, Husband, White, Male,0,2276,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Iran, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,81, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, <=50K
67, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,1741,40, United-States, <=50K
31, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
32, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
40, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,3103,0,25, United-States, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Iran, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,10, Germany, <=50K
20, Private, Assoc-voc, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
64, Private, 12th, Divorced, Prof-specialty, Husband, White, Female,74511,0,50, United-States, >50K
19, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,24, United-States, <=50K
39, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Self-emp-not-inc, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, <=50K
22, Private, Bachelors, Separated, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,10, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,24, United-States, <=50K
37, Federal-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1984,40, Puerto-Rico, <=50K
21, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, Ireland, >50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,60, United-States, >50K
60, Private, Bachelors, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,24, United-States, <=50K
42, Private, Some-college, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
45, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,35, Columbia, <=50K
37, Private, Doctorate, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,4692,0,50, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,3057,0,40, Japan, >50K
66, Private, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,3, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Husband, White, Female,0,0,70, Poland, <=50K
46, Private, HS-grad, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1669,70, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
24, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,50, United-States, >50K
33, Private, 11th, Married-civ-spouse, Transport-moving, Wife, White, Male,3104,0,8, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,60, United-States, <=50K
22, Private, Assoc-voc, Separated, Craft-repair, Unmarried, White, Male,0,0,42, United-States, >50K
26, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
32, Private, Masters, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Scotland, <=50K
58, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Taiwan, >50K
31, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,40, Hungary, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,15024,0,40, United-States, >50K
41, Private, 10th, Never-married, Adm-clerical, Not-in-family, Black, Female,4386,0,54, United-States, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,60, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, France, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,2922,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,1719,37, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
58, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1886,8, United-States, >50K
20, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Female,0,1975,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
37, Local-gov, Some-college, Divorced, Other-service, Unmarried, Other, Female,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, <=50K
41, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, >50K
25, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
38, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,10417,0,40, United-States, >50K
65, Local-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,41, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4233,0,40, United-States, <=50K
50, Federal-gov, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,64, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Jamaica, >50K
33, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Hong, <=50K
44, Local-gov, Some-college, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5378,0,40, United-States, >50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
74, Self-emp-not-inc, 10th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
19, State-gov, Assoc-acdm, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,14333,0,50, United-States, >50K
66, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7687,0,50, United-States, >50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1887,70, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,60, United-States, <=50K
55, Private, Doctorate, Divorced, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,1848,24, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,8284,0,54, United-States, >50K
37, Private, Bachelors, Never-married, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
21, Self-emp-not-inc, 11th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,8, Guatemala, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
51, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,5267,0,40, Haiti, >50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,35, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Some-college, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
64, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1790,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
41, Private, HS-grad, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, >50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, Prof-school, Separated, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,36, United-States, >50K
25, Private, 10th, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Greece, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1487,50, United-States, >50K
35, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China, >50K
42, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, United-States, >50K
25, Self-emp-not-inc, 9th, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,70, United-States, <=50K
23, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,45, Hong, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,45, Jamaica, <=50K
28, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,3303,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Philippines, <=50K
45, Self-emp-inc, Prof-school, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1887,45, United-States, >50K
39, State-gov, Prof-school, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, India, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
23, Federal-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Assoc-acdm, Divorced, Sales, Wife, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
49, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
17, Private, 12th, Never-married, Sales, Own-child, White, Male,0,0,20, Puerto-Rico, <=50K
29, Private, Masters, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, Cuba, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,50, United-States, >50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Masters, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Guatemala, <=50K
39, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,15, United-States, <=50K
