51, Self-emp-not-inc, Doctorate, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Honduras, >50K
51, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,1613,40, United-States, <=50K
25, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,35, Mexico, >50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7687,0,60, United-States, >50K
67, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,2457,0,56, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Philippines, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
28, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,0,0,32, Cuba, <=50K
61, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Philippines, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, United-States, <=50K
43, Private, Some-college, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, France, <=50K
55, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Sales, Own-child, White, Male,0,0,50, El-Salvador, <=50K
66, Self-emp-not-inc, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,7, United-States, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,5164,0,35, United-States, >50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Other, Male,0,0,29, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Ecuador, >50K
30, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Poland, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Columbia, <=50K
41, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Other-relative, White, Female,0,0,29, Peru, <=50K
29, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
27, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,4088,0,50, United-States, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,29, United-States, <=50K
20, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,29, United-States, >50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,44, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
66, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,6774,0,35, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Philippines, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,4615,0,51, United-States, <=50K
21, Federal-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Taiwan, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,1485,42, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,44, United-States, <=50K
61, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,38, Iran, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,38, Germany, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,53, United-States, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1914,54, Columbia, >50K
40, Private, HS-grad, Divorced, Priv-house-serv, Wife, Black, Male,0,0,40, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, South, >50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Holand-Netherlands, <=50K
31, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Cuba, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
58, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Mexico, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,40, Dominican-Republic, >50K
57, State-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Black, Male,15024,0,60, United-States, >50K
40, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,1841,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,48, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
45, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Haiti, >50K
51, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, >50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, State-gov, HS-grad, Never-married, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
30, Local-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, Columbia, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,6, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,1902,40, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
49, Private, Masters, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,3444,0,35, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
46, Local-gov, Assoc-acdm, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
37, Private, 10th, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Portugal, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
40, State-gov, Masters, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1977,20, United-States, >50K
70, Private, HS-grad, Widowed, Other-service, Husband, White, Female,0,0,5, Dominican-Republic, <=50K
41, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,54, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
45, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,1758,42, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Peru, <=50K
52, Private, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Female,0,2502,38, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,12, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, Scotland, >50K
57, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Female,7687,0,40, United-States, >50K
32, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1902,40, Cambodia, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Germany, >50K
24, Private, 10th, Separated, Prof-specialty, Own-child, White, Female,0,0,4, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
59, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
37, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
30, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Female,0,0,40, Holand-Netherlands, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,7298,0,60, United-States, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
64, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, Germany, <=50K
28, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, 7th-8th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Male,0,0,43, United-States, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,2714,50, United-States, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,28, United-States, <=50K
39, Local-gov, Bachelors, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, >50K
49, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Philippines, >50K
62, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Black, Male,0,0,65, France, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,34, Nicaragua, <=50K
38, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,51, Hungary, <=50K
51, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Separated, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Widowed, Other-service, Wife, White, Female,0,0,38, South, <=50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, South, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, El-Salvador, <=50K
40, Private, HS-grad, Divorced, Sales, Wife, Other, Male,0,0,60, United-States, <=50K
27, Local-gov, Assoc-voc, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,29, Mexico, <=50K
30, Private, Bachelors, Never-married, Transport-moving, Own-child, Black, Male,0,0,38, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
20, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Iran, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
50, Local-gov, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,29, United-States, <=50K
45, State-gov, HS-grad, Divorced, Protective-serv, Husband, White, Female,0,0,54, United-States, <=50K
73, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,1746,36, United-States, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,11, Philippines, <=50K
23, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1977,40, United-States, >50K
26, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,25, Peru, <=50K
30, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,29, Canada, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,35, Mexico, <=50K
90, Self-emp-not-inc, 10th, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Vietnam, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,8, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,29, United-States, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Hong, >50K
29, State-gov, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, South, <=50K
59, Private, 9th, Widowed, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Local-gov, HS-grad, Widowed, Exec-managerial, Wife, White, Female,14025,0,40, United-States, >50K
26, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,36, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,24, United-States, <=50K
51, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Philippines, >50K
63, State-gov, Some-college, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
41, Private, HS-grad, Divorced, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
20, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,25, United-States, <=50K
43, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Honduras, <=50K
28, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,7687,0,60, France, >50K
54, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,15, United-States, <=50K
56, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Iran, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
29, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
42, Local-gov, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
54, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,51, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), >50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, White, Female,0,1669,60, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Canada, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,5, United-States, <=50K
69, Local-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Male,0,0,8, United-States, <=50K
54, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Portugal, <=50K
22, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,40, Hong, <=50K
24, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Canada, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
54, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, Cambodia, <=50K
43, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Peru, >50K
76, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,3123,0,60, United-States, <=50K
39, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
66, Private, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
73, Private, Some-college, Married-spouse-absent, Tech-support, Not-in-family, White, Male,0,0,12, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
36, Federal-gov, Masters, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
81, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Hong, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
41, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Italy, >50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,1897,44, United-States, >50K
