19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Scotland, <=50K
47, Private, Bachelors, Divorced, Other-service, Wife, Black, Female,0,0,44, United-States, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, Hungary, <=50K
55, Private, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
44, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
30, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Thailand, <=50K
51, Local-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, >50K
31, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
52, Local-gov, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
38, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
57, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1740,40, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,20, Outlying-US(Guam-USVI-etc), >50K
44, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Female,0,0,38, United-States, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,60, United-States, <=50K
32, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Male,2177,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Jamaica, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
59, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,54, United-States, >50K
28, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,2173,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Masters, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
38, Private, Prof-school, Never-married, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
37, Private, Prof-school, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,2850,50, United-States, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
20, Private, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
48, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,4994,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,2523,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1584,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,43, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,96, United-States, <=50K
21, Private, 7th-8th, Never-married, Transport-moving, Own-child, White, Female,0,0,15, France, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Iran, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2028,40, United-States, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Vietnam, <=50K
35, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
60, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Mexico, <=50K
41, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Other-service, Wife, White, Male,0,0,34, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
32, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Honduras, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Separated, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,8500,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,14732,0,40, Japan, >50K
26, Private, Masters, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, 7th-8th, Divorced, Prof-specialty, Wife, White, Male,15021,0,40, United-States, >50K
37, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,37, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
61, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, England, >50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,70, United-States, <=50K
47, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, <=50K
28, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
31, Local-gov, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
43, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,52, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
29, Private, 10th, Widowed, Adm-clerical, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
44, Private, HS-grad, Divorced, Transport-moving, Wife, Black, Female,0,1624,40, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Black, Female,0,0,15, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States, >50K
46, Private, 9th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Local-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,2140,40, Philippines, <=50K
49, Local-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, State-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
21, Private, 7th-8th, Married-spouse-absent, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,2881,0,60, Yugoslavia, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1994,40, United-States, <=50K
52, Local-gov, Assoc-voc, Separated, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,7298,0,60, United-States, >50K
27, Private, 10th, Never-married, Machine-op-inspct, Husband, Other, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Germany, <=50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Bachelors, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
32, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,69, United-States, <=50K
67, Private, Masters, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,12, United-States, <=50K
39, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Female,0,1751,54, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
30, Federal-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, Jamaica, >50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,15, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
56, Private, 9th, Separated, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
72, Local-gov, Masters, Widowed, Exec-managerial, Wife, White, Female,0,3656,20, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,53, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Iran, >50K
34, Private, 5th-6th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
61, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Wife, Black, Male,0,0,35, Peru, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Guatemala, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,48, United-States, >50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, <=50K
53, Private, Bachelors, Separated, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,14983,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,52, Jamaica, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,1886,40, United-States, <=50K
35, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7075,0,53, United-States, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
36, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,70, Cambodia, <=50K
48, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,60, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,45, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,24, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,37, United-States, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States, <=50K
68, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,36246,0,40, United-States, >50K
76, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, 9th, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
31, Private, Bachelors, Widowed, Adm-clerical, Own-child, Black, Male,0,0,38, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3933,0,45, United-States, <=50K
35, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
80, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,15, Taiwan, >50K
24, Private, Some-college, Separated, Craft-repair, Own-child, White, Female,0,0,40, Mexico, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1713,40, United-States, <=50K
23, Self-emp-inc, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
42, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,74, United-States, <=50K
49, Local-gov, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, Greece, <=50K
63, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Female,0,0,35, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
26, Private, Bachelors, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
57, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,40, United-States, >50K
44, Federal-gov, Masters, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,3354,0,40, Hong, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Ireland, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,35, United-States, <=50K
60, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,5178,0,16, United-States, >50K
43, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Male,2174,0,16, Nicaragua, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,60, United-States, >50K
34, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
31, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
42, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,54, United-States, <=50K
33, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
69, Local-gov, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
20, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,18, Laos, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,30, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
49, Local-gov, Masters, Never-married, Prof-specialty, Wife, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,15, United-States, <=50K
23, Private, Masters, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, United-States, <=50K
30, Private, 7th-8th, Separated, Other-service, Unmarried, White, Female,0,0,37, Mexico, <=50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
45, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,15, United-States, <=50K
36, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Private, Masters, Never-married, Other-service, Unmarried, Black, Male,0,0,32, United-States, <=50K
39, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Local-gov, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
57, Private, Some-college, Never-married, Farming-fishing, Husband, White, Male,0,0,24, United-States, <=50K
41, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
20, Private, Some-college, Never-married, Protective-serv, Other-relative, White, Male,2166,0,20, United-States, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, >50K
22, Private, Some-college, Never-married, Craft-repair, Wife, White, Female,0,0,50, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1704,60, United-States, <=50K
43, Private, Bachelors, Separated, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
68, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,3912,0,45, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,36, United-States, <=50K
37, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Hong, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
73, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,7298,0,40, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,30, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
35, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, >50K
32, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, China, <=50K
53, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
43, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
21, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,60, United-States, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
