44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,72, Dominican-Republic, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,4, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala, <=50K
43, Self-emp-inc, Some-college, Divorced, Prof-specialty, Husband, White, Male,15024,0,45, Jamaica, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,35, Poland, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,44, United-States, <=50K
42, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,70, Scotland, >50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, Italy, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, India, <=50K
33, Private, 11th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Hong, <=50K
63, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,15, Yugoslavia, >50K
41, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Canada, <=50K
32, Local-gov, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,45, Cuba, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
24, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,35, Canada, <=50K
58, Local-gov, 7th-8th, Never-married, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ireland, <=50K
49, State-gov, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,20, Haiti, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Haiti, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Germany, >50K
30, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
67, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,19009,0,20, South, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Jamaica, >50K
29, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,54, Hong, <=50K
36, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,60, Haiti, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2414,60, Guatemala, >50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Scotland, <=50K
40, Private, 11th, Divorced, Prof-specialty, Wife, White, Male,0,1977,20, Canada, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, Ecuador, >50K
30, State-gov, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,48, Columbia, <=50K
65, Private, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Peru, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,84, Puerto-Rico, >50K
32, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,1876,50, Ireland, >50K
25, Private, HS-grad, Never-married, Tech-support, Other-relative, Black, Female,0,0,35, Peru, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, France, <=50K
32, Private, Bachelors, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,48, France, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, >50K
21, State-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Cuba, <=50K
37, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,99, Greece, >50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
61, State-gov, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,7298,0,54, Thailand, <=50K
39, Private, HS-grad, Separated, Other-service, Not-in-family, Black, Female,0,1681,40, Thailand, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
55, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Haiti, >50K
45, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Thailand, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, South, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, Taiwan, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,47, Mexico, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,2288,0,40, Puerto-Rico, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Nicaragua, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,75, Taiwan, >50K
31, Private, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Male,0,1052,40, Peru, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, South, >50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Ecuador, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, India, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Puerto-Rico, >50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, Haiti, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Outlying-US(Guam-USVI-etc), >50K
44, Self-emp-not-inc, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
54, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
31, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Columbia, >50K
42, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, Poland, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,54, Portugal, >50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,7687,0,45, Hungary, <=50K
29, Self-emp-inc, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,44, Hungary, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Widowed, Handlers-cleaners, Husband, Black, Male,0,0,40, Canada, <=50K
49, Private, Bachelors, Divorced, Sales, Wife, White, Male,4074,0,50, Columbia, <=50K
46, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,35, Vietnam, <=50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,4099,0,40, Dominican-Republic, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,7687,0,40, El-Salvador, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Ecuador, <=50K
46, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,40, France, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1787,40, Honduras, >50K
22, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,35, South, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Hungary, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, England, <=50K
51, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,32, Nicaragua, <=50K
35, Private, Bachelors, Never-married, Farming-fishing, Wife, White, Female,27855,0,40, United-States, >50K
30, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
37, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, France, <=50K
47, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Haiti, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, Hong, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Peru, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,40, England, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,12, Thailand, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
65, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Germany, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, Philippines, <=50K
74, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,15024,0,40, Canada, <=50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,60, India, >50K
46, Local-gov, Masters, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Honduras, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, Ecuador, >50K
35, Private, Bachelors, Divorced, Other-service, Wife, White, Female,0,0,40, Italy, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, Germany, <=50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Peru, <=50K
20, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, Thailand, <=50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Cambodia, <=50K
18, Self-emp-not-inc, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,10, Cuba, <=50K
47, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
48, State-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, South, <=50K
44, Local-gov, 5th-6th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Poland, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,24, Puerto-Rico, <=50K
41, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, Mexico, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Peru, <=50K
20, Private, Some-college, Separated, Other-service, Own-child, White, Male,0,0,25, Philippines, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Hungary, >50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Dominican-Republic, <=50K
23, Private, Some-college, Separated, Other-service, Own-child, Black, Female,0,0,40, England, <=50K
30, Private, HS-grad, Widowed, Other-service, Wife, White, Female,0,0,40, El-Salvador, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Nicaragua, >50K
43, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,45, Guatemala, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Jamaica, >50K
27, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
20, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,4, China, <=50K
26, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Cuba, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Yugoslavia, >50K
39, Private, Masters, Divorced, Sales, Own-child, White, Female,0,1976,40, Laos, >50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
25, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
63, Self-emp-not-inc, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,45, France, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
65, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,25, China, <=50K
38, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Hungary, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, Yugoslavia, >50K
36, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Greece, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Columbia, <=50K
29, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,36, Vietnam, <=50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,18, Hungary, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,30, France, <=50K
42, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, China, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Iran, <=50K
39, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Jamaica, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,60, Guatemala, >50K
53, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, Honduras, <=50K
28, Local-gov, Bachelors, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
54, Private, 1st-4th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,34, Portugal, <=50K
38, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,7687,0,45, Columbia, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Portugal, <=50K
35, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, Thailand, <=50K
40, Local-gov, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,35, Guatemala, >50K
44, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Trinadad&Tobago, <=50K
44, Federal-gov, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,32, Iran, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Female,0,2104,40, Yugoslavia, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Jamaica, >50K
26, Local-gov, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, China, <=50K
22, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, China, <=50K
40, Self-emp-not-inc, 12th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Scotland, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
52, Self-emp-not-inc, 5th-6th, Widowed, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,35, El-Salvador, <=50K
34, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Mexico, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,65, Italy, >50K
19, Private, 11th, Never-married, Sales, Own-child, Black, Male,0,0,30, Hong, <=50K
23, Federal-gov, 11th, Never-married, Prof-specialty, Wife, White, Female,0,0,10, El-Salvador, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,38, Italy, <=50K
49, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,70, China, <=50K
46, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Cuba, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Separated, Sales, Own-child, Black, Female,0,0,20, Taiwan, <=50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,40, Greece, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Iran, >50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, El-Salvador, >50K
55, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,3456,0,40, Greece, <=50K
20, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, Iran, <=50K
46, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,44, Philippines, >50K
49, State-gov, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,40, Scotland, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Thailand, >50K
68, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
42, Private, Masters, Separated, Sales, Unmarried, White, Female,0,0,45, Scotland, <=50K
26, Private, 11th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Haiti, <=50K
19, Private, HS-grad, Separated, Sales, Own-child, White, Male,0,0,40, Peru, <=50K
40, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
50, Federal-gov, HS-grad, Separated, Farming-fishing, Unmarried, Black, Female,0,0,40, Japan, <=50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Ecuador, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1989,40, Trinadad&Tobago, >50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, India, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Greece, <=50K
47, Self-emp-not-inc, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, England, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Yugoslavia, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Ecuador, >50K
25, Local-gov, 11th, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,35, Japan, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, >50K
31, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Hong, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,65, Guatemala, >50K
33, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,71, Japan, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, England, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, England, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, Taiwan, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,15, Jamaica, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
46, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,42, Japan, >50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, Yugoslavia, >50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Guatemala, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Nicaragua, <=50K
46, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
41, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,1902,35, Vietnam, >50K
38, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,54, Hungary, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Japan, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
37, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,10, Puerto-Rico, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,30, Honduras, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1586,70, Cambodia, >50K
52, Private, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,0,50, Japan, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Nicaragua, >50K
42, Federal-gov, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Cuba, <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,50, Cambodia, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Hong, <=50K
44, State-gov, Bachelors, Divorced, Sales, Wife, White, Female,0,0,40, Iran, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,45, Haiti, >50K
50, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, Greece, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, Trinadad&Tobago, <=50K
45, Self-emp-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,50, Philippines, >50K
27, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Taiwan, <=50K
33, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, Thailand, <=50K
23, Private, 5th-6th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, Dominican-Republic, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,54, Thailand, <=50K
59, State-gov, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Poland, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,16, Nicaragua, <=50K
48, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, Italy, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
34, Local-gov, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, Cuba, <=50K
52, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, Haiti, <=50K
35, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
40, Local-gov, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, Haiti, >50K
31, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Mexico, >50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, Peru, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Thailand, >50K
22, Private, HS-grad, Divorced, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,48, India, <=50K
38, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,45, Japan, >50K
46, Private, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,38, Cuba, <=50K
