29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Thailand, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,60, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,52, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,50, United-States, >50K
29, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,7687,0,36, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3325,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3932,0,40, United-States, >50K
31, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,99999,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
45, Federal-gov, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,1902,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
48, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,12, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,15, Puerto-Rico, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Protective-serv, Husband, Black, Male,3103,0,54, United-States, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
47, Federal-gov, Masters, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
30, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,40, Peru, <=50K
28, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,54, Honduras, <=50K
39, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1887,40, United-States, <=50K
39, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1977,64, United-States, >50K
24, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,2507,45, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,1, United-States, <=50K
53, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,48, Philippines, <=50K
44, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,54, South, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
71, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
32, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, United-States, >50K
28, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,44, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Separated, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,20, Portugal, <=50K
42, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,1669,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
60, Private, 7th-8th, Divorced, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,32, United-States, >50K
52, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Vietnam, >50K
36, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States, >50K
30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1692,50, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, State-gov, Some-college, Never-married, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
52, Private, Assoc-voc, Widowed, Sales, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,20, Italy, <=50K
29, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,2435,45, United-States, >50K
20, Local-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, India, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,57, Canada, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, State-gov, 9th, Divorced, Craft-repair, Unmarried, White, Female,0,0,52, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Poland, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
31, Federal-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
75, State-gov, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
24, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
24, Private, 1st-4th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,38, United-States, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Jamaica, >50K
37, Self-emp-inc, Some-college, Married-spouse-absent, Exec-managerial, Husband, Other, Male,0,0,60, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
53, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Trinadad&Tobago, <=50K
42, Local-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
40, Local-gov, HS-grad, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,30, England, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,1670,70, United-States, <=50K
40, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,25, Canada, <=50K
22, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Laos, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
89, Self-emp-not-inc, 7th-8th, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,62, United-States, <=50K
43, Self-emp-inc, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,60, Greece, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,3989,0,40, United-States, <=50K
34, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Ireland, <=50K
42, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,35, Japan, <=50K
29, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ireland, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
53, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
47, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,3440,0,60, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Columbia, <=50K
48, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
56, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,10, Cuba, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Trinadad&Tobago, >50K
36, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
57, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1850,50, Germany, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3368,0,50, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,54, United-States, <=50K
27, Private, Doctorate, Never-married, Machine-op-inspct, Wife, Black, Male,0,0,16, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,90, United-States, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Dominican-Republic, >50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,32, Italy, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,5178,0,45, United-States, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
43, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,1977,60, United-States, >50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
65, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, Peru, >50K
60, Private, HS-grad, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Other-service, Wife, White, Female,0,0,35, Portugal, <=50K
64, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Married-spouse-absent, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, State-gov, Bachelors, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,16, Hong, <=50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,16, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
42, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
26, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,15, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,45, United-States, >50K
32, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, Ecuador, <=50K
45, Private, Prof-school, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,25, Hungary, <=50K
39, Local-gov, Some-college, Divorced, Exec-managerial, Husband, White, Female,9570,0,50, United-States, >50K
29, Private, 11th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, <=50K
61, Federal-gov, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,17951,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,60, United-States, <=50K
36, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,14, Puerto-Rico, <=50K
49, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,60, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
57, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,1730,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
23, Private, Masters, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,41005,0,60, Cambodia, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, >50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
28, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
55, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
52, Private, HS-grad, Divorced, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
59, Private, Masters, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, El-Salvador, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,2675,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Male,5178,0,40, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
18, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
23, Private, Some-college, Separated, Transport-moving, Unmarried, White, Male,0,1669,54, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,39, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,2012,40, United-States, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Poland, <=50K
28, Private, HS-grad, Never-married, Sales, Wife, White, Male,0,0,40, Cuba, >50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
58, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
73, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2355,0,10, El-Salvador, <=50K
55, State-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
44, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, Cambodia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,5261,0,40, India, >50K
61, Federal-gov, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,1760,0,35, United-States, <=50K
25, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Female,0,0,37, Mexico, <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,2981,0,20, United-States, <=50K
27, Federal-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, China, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
31, State-gov, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,70, United-States, >50K
57, Local-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1887,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Portugal, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
70, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,10516,0,30, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
63, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,60, United-States, >50K
33, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,25, Cuba, <=50K
38, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
47, Local-gov, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
55, Local-gov, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,60, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
55, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, Guatemala, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,80, United-States, <=50K
53, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, Taiwan, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,45, United-States, <=50K
