50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
43, Private, 7th-8th, Divorced, Exec-managerial, Unmarried, White, Female,0,1522,40, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,26, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, 10th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, Nicaragua, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Local-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Private, 10th, Divorced, Other-service, Unmarried, White, Female,0,0,10, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Husband, White, Female,22789,0,35, United-States, >50K
44, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,14, Mexico, <=50K
49, Private, HS-grad, Separated, Sales, Wife, White, Male,0,0,24, United-States, <=50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
28, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, Mexico, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,10, United-States, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Haiti, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, United-States, <=50K
39, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Ireland, >50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, Other, Male,0,0,65, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
33, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
37, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
59, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Philippines, >50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,26, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Holand-Netherlands, <=50K
71, Private, HS-grad, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,4, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
46, Local-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Husband, White, Male,0,0,60, Mexico, >50K
20, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, 7th-8th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, State-gov, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,3, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
26, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,20, Hungary, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,7298,0,45, Yugoslavia, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Masters, Separated, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
33, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1977,50, United-States, >50K
61, Private, Masters, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
31, Federal-gov, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
45, State-gov, HS-grad, Separated, Exec-managerial, Unmarried, White, Male,0,0,32, United-States, <=50K
20, State-gov, Some-college, Never-married, Sales, Own-child, White, Male,0,0,29, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,1746,70, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
33, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,35, United-States, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,54, United-States, >50K
47, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,32, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
31, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1703,60, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,77, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
38, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
56, State-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, United-States, >50K
30, Federal-gov, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,24, Canada, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,29, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1845,40, United-States, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
63, Private, HS-grad, Widowed, Sales, Husband, White, Female,0,0,40, United-States, <=50K
40, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,2795,0,40, United-States, <=50K
33, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1742,40, France, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,65, Holand-Netherlands, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, United-States, >50K
39, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Cuba, <=50K
46, Local-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Divorced, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
54, Federal-gov, HS-grad, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
33, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,29, United-States, <=50K
63, State-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,40, United-States, >50K
39, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
43, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
44, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,21, United-States, <=50K
52, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,1684,40, United-States, <=50K
43, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,4386,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,3325,0,50, Portugal, <=50K
29, Private, 11th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, China, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, Some-college, Divorced, Craft-repair, Own-child, Black, Male,0,0,24, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, South, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,14, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
60, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,15024,0,15, United-States, >50K
47, Private, 12th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,99999,0,50, India, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
27, Federal-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,45, South, <=50K
45, Private, HS-grad, Divorced, Sales, Wife, White, Female,0,0,40, India, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,34, United-States, <=50K
55, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,70, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,35, United-States, >50K
38, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
49, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,8, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,33, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,29, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,3351,0,40, United-States, >50K
24, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,29, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, 10th, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
46, Private, Some-college, Divorced, Craft-repair, Unmarried, Black, Female,0,1485,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,64, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, Germany, >50K
27, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Male,0,0,70, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,1609,40, United-States, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Tech-support, Own-child, Black, Male,0,0,54, United-States, >50K
37, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,24, United-States, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,4520,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1977,60, United-States, >50K
53, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
42, Local-gov, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, Mexico, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
29, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,7687,0,45, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
54, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,50, United-States, <=50K
52, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
65, Private, Doctorate, Widowed, Adm-clerical, Not-in-family, White, Female,0,2151,51, Cuba, <=50K
37, Self-emp-not-inc, 7th-8th, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Masters, Never-married, Tech-support, Unmarried, White, Female,4725,0,45, Cambodia, <=50K
26, Federal-gov, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,35, United-States, <=50K
60, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,51, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, State-gov, Some-college, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,33, Poland, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,29, United-States, >50K
23, State-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, China, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,28, United-States, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Separated, Craft-repair, Not-in-family, Black, Male,0,0,15, Mexico, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Assoc-acdm, Divorced, Machine-op-inspct, Other-relative, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Ecuador, <=50K
20, Private, 7th-8th, Never-married, Transport-moving, Own-child, White, Male,0,0,32, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,3908,0,50, Canada, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1655,40, United-States, <=50K
27, Local-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,29, United-States, <=50K
55, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Federal-gov, Bachelors, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,35, United-States, >50K
34, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,99, United-States, <=50K
52, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, Canada, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Local-gov, 10th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Laos, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,29, United-States, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
68, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Farming-fishing, Own-child, White, Male,0,0,15, United-States, <=50K
67, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, Bachelors, Never-married, Sales, Wife, Other, Male,0,231,40, United-States, >50K
25, Local-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,34, United-States, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,29, United-States, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,13620,0,54, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, >50K
