33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Peru, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,11, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Cambodia, <=50K
43, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,48, United-States, <=50K
27, Self-emp-not-inc, 12th, Never-married, Exec-managerial, Husband, White, Male,11980,0,45, United-States, >50K
23, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,30, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, Federal-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
40, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,1725,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, South, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,30, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,65, United-States, >50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,1590,40, United-States, >50K
28, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Hungary, <=50K
60, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,15, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
25, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
18, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,15, France, <=50K
35, Private, Masters, Widowed, Exec-managerial, Unmarried, White, Female,0,2347,80, United-States, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Federal-gov, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,50, Cuba, <=50K
24, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,25, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
33, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,32, United-States, >50K
18, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Female,2469,0,3, United-States, <=50K
70, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
55, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Holand-Netherlands, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,7298,0,50, United-States, >50K
18, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
65, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,38, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
68, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,6828,0,45, United-States, >50K
28, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,4443,0,40, England, <=50K
29, Self-emp-not-inc, Masters, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
50, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15024,0,50, United-States, >50K
38, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Federal-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,1840,99, United-States, >50K
55, State-gov, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
27, Private, 11th, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
38, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,99, India, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Taiwan, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, >50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cuba, >50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Masters, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Prof-school, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,43, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,15, United-States, <=50K
30, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,50, Dominican-Republic, <=50K
46, Private, Bachelors, Divorced, Sales, Husband, White, Male,7687,0,45, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
49, Self-emp-not-inc, Assoc-voc, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,10, United-States, <=50K
54, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
39, Private, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,41, United-States, >50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
28, Private, Doctorate, Never-married, Other-service, Wife, White, Male,0,0,50, United-States, <=50K
64, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,2259,60, United-States, <=50K
56, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2747,33, Thailand, >50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
38, State-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Masters, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Germany, >50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,25, United-States, <=50K
30, Private, 12th, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Local-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,2409,76, United-States, >50K
61, Private, Masters, Separated, Other-service, Wife, Black, Male,0,0,16, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, South, <=50K
29, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,25, United-States, <=50K
38, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
31, Private, 12th, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Ireland, <=50K
50, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Mexico, <=50K
32, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, HS-grad, Separated, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
26, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
73, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, White, Female,0,0,48, Taiwan, <=50K
61, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Male,0,0,48, United-States, <=50K
48, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,7298,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
20, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, 11th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, 11th, Never-married, Sales, Not-in-family, White, Male,2594,0,45, United-States, <=50K
40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, Jamaica, <=50K
64, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, Doctorate, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
24, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,42, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,12, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Peru, >50K
46, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1590,35, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,1604,54, United-States, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,42, Canada, >50K
34, Local-gov, Bachelors, Divorced, Protective-serv, Unmarried, Other, Female,0,0,20, United-States, <=50K
27, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Priv-house-serv, Unmarried, White, Male,0,0,30, Honduras, <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31, Private, 10th, Never-married, Farming-fishing, Unmarried, White, Female,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
41, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Portugal, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
23, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,48, United-States, <=50K
51, Self-emp-not-inc, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,8240,0,40, Cuba, >50K
32, Federal-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
36, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,50, United-States, <=50K
30, Local-gov, Masters, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Widowed, Prof-specialty, Unmarried, White, Female,0,0,10, United-States, <=50K
39, Private, Prof-school, Never-married, Sales, Not-in-family, White, Male,0,2433,60, United-States, >50K
30, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
57, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
59, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Cuba, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, Columbia, <=50K
35, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,3452,0,37, United-States, <=50K
52, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
42, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, South, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Prof-school, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Separated, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,1557,50, Puerto-Rico, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,15, Poland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,15024,0,60, United-States, >50K
52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,99999,0,45, United-States, >50K
73, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,19101,0,35, United-States, >50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, 10th, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,35, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,25, Philippines, <=50K
23, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Divorced, Sales, Other-relative, Black, Female,0,0,30, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,15024,0,40, United-States, >50K
19, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
50, Federal-gov, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
19, State-gov, 10th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,50, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
52, Federal-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,8, United-States, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,31, United-States, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
30, Local-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,45, Hong, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
35, Private, Some-college, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States, >50K
40, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, China, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
33, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, 9th, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,45, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
28, Private, 7th-8th, Never-married, Farming-fishing, Wife, Black, Male,0,0,40, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,20, Mexico, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Craft-repair, Husband, Black, Male,0,1599,40, United-States, >50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,20, England, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
25, Local-gov, Prof-school, Divorced, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Protective-serv, Own-child, Black, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Portugal, <=50K
49, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
36, Private, 12th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Federal-gov, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,2849,0,40, El-Salvador, <=50K
67, Self-emp-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Japan, <=50K
27, Self-emp-not-inc, 11th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,50, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
46, State-gov, Masters, Widowed, Tech-support, Own-child, Asian-Pac-Islander, Female,0,1593,8, United-States, <=50K
