21, Private, Masters, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Honduras, <=50K
54, Private, Some-college, Divorced, Machine-op-inspct, Wife, Black, Female,0,0,40, Guatemala, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Mexico, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
36, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
41, Private, Some-college, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,3673,0,8, South, >50K
23, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, Trinadad&Tobago, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Canada, >50K
41, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,12795,0,30, Columbia, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
43, State-gov, Prof-school, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,80, South, <=50K
48, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,42, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,40, Mexico, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
39, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
28, Self-emp-not-inc, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,50, Hungary, >50K
30, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
25, Federal-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, England, <=50K
32, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,2141,0,40, United-States, <=50K
56, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,30, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Local-gov, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
56, Private, 11th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Assoc-voc, Separated, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
55, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Some-college, Divorced, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
23, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,38, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,37, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,30, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,70, Poland, >50K
32, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
28, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, France, >50K
46, Local-gov, 5th-6th, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
55, Private, Some-college, Divorced, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
24, Private, Some-college, Separated, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
82, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,30, United-States, <=50K
35, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,54, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Laos, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, Other, Male,3325,0,40, United-States, >50K
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
57, State-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
54, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Hungary, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,15, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
24, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,37, Germany, <=50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,45, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, >50K
27, Private, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,35, Japan, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Peru, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,61, Japan, <=50K
35, Local-gov, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
68, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,2273,30, United-States, <=50K
45, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Greece, <=50K
31, Private, 10th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,43, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,2457,40, Italy, >50K
48, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Female,0,0,30, India, >50K
43, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,50, India, >50K
46, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,1591,40, United-States, <=50K
41, Private, Bachelors, Separated, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
21, Private, 10th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
45, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
36, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, Portugal, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
63, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,2227,40, United-States, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,5178,0,50, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,24, Mexico, <=50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Puerto-Rico, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,1830,28, United-States, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Mexico, >50K
38, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,7687,0,40, France, <=50K
28, Private, 11th, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Local-gov, 10th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Husband, White, Female,3605,0,40, United-States, <=50K
38, Private, Bachelors, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
30, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,2, United-States, <=50K
32, Local-gov, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,50, Cuba, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, France, <=50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, White, Female,5013,0,40, United-States, >50K
38, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,7687,0,54, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Peru, >50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,38, Canada, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,48, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,42, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Hong, <=50K
32, Local-gov, Masters, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
49, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Taiwan, >50K
34, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cambodia, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Local-gov, Some-college, Divorced, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, Poland, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Peru, <=50K
59, Private, Some-college, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,10, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,15, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Wife, Black, Male,2174,0,60, United-States, >50K
43, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
34, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,2066,40, France, >50K
33, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
42, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,2104,35, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Ireland, >50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
22, Private, Assoc-voc, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Philippines, <=50K
23, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,24, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,5388,0,60, United-States, >50K
30, Private, HS-grad, Separated, Machine-op-inspct, Husband, White, Male,0,0,50, India, <=50K
38, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,16, England, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,2, United-States, <=50K
36, Private, Some-college, Separated, Transport-moving, Unmarried, White, Female,0,0,48, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,2884,0,54, France, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
43, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, Haiti, <=50K
61, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
54, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,16, United-States, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
58, Self-emp-inc, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
35, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K
40, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,2469,0,60, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Wife, White, Male,0,0,60, United-States, >50K
53, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Portugal, <=50K
38, Private, Assoc-acdm, Never-married, Tech-support, Unmarried, Other, Female,26711,0,24, United-States, >50K
65, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,25, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
66, Self-emp-not-inc, Bachelors, Widowed, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,65, United-States, <=50K
58, Self-emp-inc, 10th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,0,0,82, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,45, United-States, >50K
21, Local-gov, Masters, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, 11th, Never-married, Other-service, Not-in-family, Other, Female,0,0,5, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
35, Federal-gov, 10th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Philippines, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,89, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
31, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Laos, <=50K
39, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,13634,0,45, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Laos, >50K
20, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
73, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, China, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,7298,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, >50K
34, Local-gov, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,37, United-States, <=50K
26, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
58, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,60, Philippines, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
50, Private, 10th, Never-married, Craft-repair, Husband, White, Male,7687,0,50, Cuba, >50K
31, State-gov, Assoc-voc, Separated, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,1778,10, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Hong, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
