19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,24, Greece, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Haiti, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
51, Local-gov, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,45, United-States, <=50K
21, Local-gov, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
68, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,36, United-States, <=50K
34, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Dominican-Republic, >50K
32, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,37, France, <=50K
28, Private, HS-grad, Separated, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Separated, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, Poland, >50K
55, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,40, South, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,1740,40, United-States, >50K
44, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
62, State-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
60, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ecuador, >50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Greece, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Widowed, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
45, Private, Some-college, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,30, Laos, <=50K
40, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Widowed, Machine-op-inspct, Husband, White, Male,0,0,40, Philippines, <=50K
32, Private, Masters, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, >50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, India, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Male,2608,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Taiwan, >50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,21, United-States, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,50, Philippines, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,15024,0,60, United-States, >50K
42, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, India, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, Ecuador, <=50K
41, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Laos, <=50K
38, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1863,65, Scotland, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, >50K
30, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,45, United-States, <=50K
23, Self-emp-inc, Bachelors, Never-married, Other-service, Not-in-family, Black, Male,0,0,35, United-States, <=50K
35, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Yugoslavia, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,40, Philippines, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,12, United-States, <=50K
66, Self-emp-not-inc, 7th-8th, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,12, United-States, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
63, Local-gov, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,2713,0,4, Haiti, <=50K
43, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,60, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
65, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,50, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Cuba, <=50K
54, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,30, Outlying-US(Guam-USVI-etc), >50K
29, Private, 9th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,3314,0,50, Cambodia, <=50K
41, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Black, Male,0,0,40, Haiti, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Jamaica, <=50K
18, Private, Prof-school, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, 9th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,36, United-States, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, El-Salvador, >50K
61, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Laos, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Dominican-Republic, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, Poland, >50K
26, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,45, Ecuador, >50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, United-States, <=50K
59, Private, Bachelors, Married-spouse-absent, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,54, United-States, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
56, Private, Bachelors, Widowed, Other-service, Not-in-family, Black, Female,0,1902,40, United-States, <=50K
21, Private, Prof-school, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,3682,0,40, El-Salvador, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Separated, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
25, Private, 11th, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
32, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
78, State-gov, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,10, France, <=50K
47, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Vietnam, <=50K
24, Local-gov, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Greece, <=50K
24, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
31, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,1756,40, Peru, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, Laos, <=50K
61, Private, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male,0,0,45, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,5178,0,25, United-States, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,2890,0,20, Trinadad&Tobago, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
60, Private, 11th, Widowed, Other-service, Unmarried, White, Female,0,0,40, Jamaica, <=50K
52, Local-gov, Some-college, Never-married, Other-service, Wife, White, Female,0,0,10, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,3873,0,50, Outlying-US(Guam-USVI-etc), <=50K
47, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, Other, Female,0,0,40, Germany, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,40, Taiwan, <=50K
44, Local-gov, HS-grad, Separated, Tech-support, Unmarried, White, Female,0,0,36, China, <=50K
39, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,20, India, >50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
42, Private, Some-college, Widowed, Transport-moving, Other-relative, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1886,40, Yugoslavia, >50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,2357,0,40, Guatemala, <=50K
40, Private, Masters, Widowed, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2726,0,40, United-States, >50K
51, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Canada, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,42, Jamaica, <=50K
35, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,60, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,99, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Jamaica, >50K
26, Local-gov, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Jamaica, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Haiti, <=50K
26, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, >50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,2, United-States, <=50K
33, Self-emp-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
28, Private, 7th-8th, Divorced, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
41, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ecuador, >50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
23, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, United-States, >50K
49, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Italy, <=50K
26, State-gov, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, <=50K
44, Private, HS-grad, Separated, Other-service, Unmarried, White, Male,0,0,54, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Local-gov, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Local-gov, Assoc-voc, Widowed, Craft-repair, Not-in-family, White, Male,0,0,45, China, <=50K
53, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, >50K
31, Federal-gov, Masters, Married-civ-spouse, Other-service, Husband, Black, Male,0,1669,60, United-States, <=50K
52, Federal-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Philippines, >50K
37, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Male,0,0,25, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Puerto-Rico, >50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Prof-school, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,53, United-States, <=50K
60, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, India, <=50K
52, Federal-gov, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, Ireland, <=50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, Hong, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,70, Thailand, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Ecuador, <=50K
30, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, China, <=50K
51, Private, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, United-States, >50K
45, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, South, <=50K
43, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,35, Cuba, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1886,50, Jamaica, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
66, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, El-Salvador, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia, <=50K
66, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,80, United-States, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Peru, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
62, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,0,0,10, United-States, <=50K
36, State-gov, Assoc-voc, Never-married, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Canada, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,35, South, >50K
44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Separated, Sales, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, United-States, >50K
63, Self-emp-not-inc, HS-grad, Separated, Sales, Own-child, Asian-Pac-Islander, Male,0,1902,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,30, England, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,2876,0,50, United-States, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, China, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,20, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,40, India, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,45, Mexico, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, England, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
38, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, Portugal, <=50K
32, Private, HS-grad, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,54, Poland, >50K
58, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,30, Iran, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,50, Columbia, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,35, Laos, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
34, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada, <=50K
43, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,36, Haiti, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,40, United-States, >50K
41, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Scotland, <=50K
23, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, Scotland, >50K
60, Self-emp-not-inc, 10th, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,50, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
41, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, Poland, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Wife, Black, Male,0,0,50, Mexico, <=50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,15, Puerto-Rico, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,20, United-States, <=50K
26, Private, Assoc-voc, Never-married, Sales, Husband, White, Female,0,0,80, Peru, <=50K
37, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,50, Philippines, >50K
22, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,4057,0,40, Puerto-Rico, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
