58, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,37, Cuba, <=50K
20, Private, Some-college, Never-married, Sales, Husband, White, Female,0,1887,40, India, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, France, >50K
27, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
33, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, Japan, >50K
20, Private, Assoc-voc, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,4615,0,44, Puerto-Rico, >50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
62, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Husband, White, Male,0,0,40, Columbia, <=50K
35, Private, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male,0,0,84, Jamaica, >50K
27, Federal-gov, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ecuador, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, El-Salvador, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,15000,0,35, Yugoslavia, >50K
54, Federal-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, Italy, <=50K
18, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,35, Mexico, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Nicaragua, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,15, Yugoslavia, <=50K
32, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Thailand, >50K
29, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, England, >50K
35, Private, Masters, Married-civ-spouse, Sales, Other-relative, Asian-Pac-Islander, Female,15024,0,40, Peru, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,20, Hungary, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,45, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,48, Columbia, <=50K
44, Private, 11th, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,40, India, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,48, Trinadad&Tobago, <=50K
38, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,38, Iran, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,25, Cambodia, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Sales, Unmarried, White, Female,0,1977,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,20, England, <=50K
67, Private, HS-grad, Divorced, Sales, Wife, White, Male,0,0,40, Portugal, <=50K
20, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,20, Yugoslavia, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, England, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,7687,0,45, Ecuador, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,4064,0,40, Greece, <=50K
72, Private, 7th-8th, Widowed, Other-service, Husband, White, Male,0,0,12, Canada, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
23, Private, 9th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Haiti, <=50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Trinadad&Tobago, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Portugal, >50K
34, Private, Preschool, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Portugal, >50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Peru, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,15, China, <=50K
43, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,38, Jamaica, >50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Greece, <=50K
34, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, Germany, <=50K
34, Private, Some-college, Separated, Exec-managerial, Husband, White, Male,0,1902,35, Hungary, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Vietnam, <=50K
39, Private, 11th, Divorced, Exec-managerial, Husband, White, Male,0,0,45, Italy, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Ecuador, >50K
42, State-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
44, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,7687,0,35, Canada, >50K
58, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,3392,0,45, Iran, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
43, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,40, Iran, <=50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Japan, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,10, Canada, <=50K
47, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,30, Haiti, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, Ireland, <=50K
28, Private, Bachelors, Divorced, Sales, Husband, White, Female,0,0,40, Jamaica, <=50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Cambodia, >50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, Cuba, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Guatemala, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, Germany, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Japan, <=50K
45, Private, Doctorate, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, Guatemala, <=50K
30, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, Columbia, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,30, Scotland, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Canada, >50K
49, Private, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Nicaragua, <=50K
39, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,99, Italy, <=50K
29, Local-gov, Some-college, Never-married, Sales, Husband, White, Male,0,0,45, Puerto-Rico, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, El-Salvador, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, Vietnam, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Italy, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,70, Guatemala, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Columbia, >50K
60, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Columbia, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,35, Columbia, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,54, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Columbia, <=50K
33, Private, 12th, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
58, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Canada, <=50K
26, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Jamaica, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,1977,50, Thailand, >50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Haiti, <=50K
33, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
42, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Greece, <=50K
29, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Iran, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Greece, >50K
20, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Columbia, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,2945,0,20, Japan, <=50K
39, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Female,0,0,40, Thailand, <=50K
35, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,30, Iran, <=50K
46, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Male,0,1902,40, China, >50K
67, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,6, Italy, <=50K
25, Private, Some-college, Widowed, Other-service, Own-child, White, Female,0,0,12, Ireland, <=50K
57, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Greece, <=50K
28, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,20, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,40, Nicaragua, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Poland, <=50K
27, Private, Some-college, Never-married, Sales, Husband, White, Female,0,0,40, Hungary, <=50K
58, Private, 7th-8th, Divorced, Craft-repair, Husband, White, Male,0,0,45, Germany, <=50K
23, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,35, China, <=50K
54, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Haiti, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, South, <=50K
49, Private, Bachelors, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,30, Yugoslavia, <=50K
41, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,24, Greece, <=50K
24, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,74, Peru, <=50K
41, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Nicaragua, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Germany, <=50K
50, Private, 5th-6th, Divorced, Transport-moving, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, 11th, Never-married, Exec-managerial, Own-child, Other, Female,0,0,13, Mexico, <=50K
22, Private, Assoc-voc, Never-married, Sales, Other-relative, White, Female,0,0,15, France, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Cuba, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Philippines, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Italy, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, China, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
47, Private, Prof-school, Widowed, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, >50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
26, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, El-Salvador, <=50K
48, Private, Masters, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Ireland, >50K
27, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, Cuba, <=50K
64, Private, Some-college, Widowed, Sales, Husband, White, Female,0,0,24, Portugal, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Hong, <=50K
50, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, Haiti, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Scotland, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Thailand, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Poland, >50K
41, Federal-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,35, Scotland, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Mexico, <=50K
39, Private, Some-college, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,40, China, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
33, Private, 11th, Divorced, Sales, Own-child, White, Male,0,0,6, Cambodia, >50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, <=50K
55, Local-gov, 9th, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, India, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Ireland, <=50K
33, Private, Masters, Never-married, Farming-fishing, Husband, White, Male,0,0,60, Ireland, >50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,50, India, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, Cambodia, <=50K
38, Private, Some-college, Never-married, Sales, Husband, White, Female,3979,0,35, Cuba, >50K
50, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,7572,0,20, Hungary, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Vietnam, <=50K
49, State-gov, Masters, Separated, Craft-repair, Husband, White, Female,0,0,40, Guatemala, <=50K
41, Local-gov, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,35, Cuba, <=50K
41, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Thailand, <=50K
47, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,15024,0,54, Greece, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Sales, Not-in-family, White, Male,7687,0,40, Trinadad&Tobago, <=50K
19, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,30, Scotland, <=50K
37, Local-gov, 5th-6th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, Guatemala, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,13993,0,25, Cuba, <=50K
35, Private, 9th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
51, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Husband, Other, Male,0,0,40, Dominican-Republic, >50K
31, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Portugal, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
38, Private, 5th-6th, Separated, Transport-moving, Not-in-family, White, Male,0,0,25, France, >50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,52, Dominican-Republic, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,1887,20, United-States, <=50K
45, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Thailand, >50K
23, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Italy, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Italy, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,15024,0,40, Germany, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, Vietnam, <=50K
52, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, Portugal, <=50K
27, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, South, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Columbia, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, Columbia, <=50K
40, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,60, Greece, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,8, Dominican-Republic, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Cambodia, <=50K
74, Private, Masters, Widowed, Protective-serv, Husband, White, Female,0,0,40, Iran, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,11065,0,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,5110,0,40, Scotland, >50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Philippines, <=50K
51, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, France, >50K
27, Private, Masters, Never-married, Adm-clerical, Wife, White, Male,0,0,45, Guatemala, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Mexico, <=50K
32, Federal-gov, 7th-8th, Divorced, Transport-moving, Husband, White, Male,0,0,40, Taiwan, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, >50K
47, Private, Assoc-voc, Divorced, Protective-serv, Husband, Black, Male,0,0,40, Taiwan, >50K
36, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, Greece, <=50K
24, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Portugal, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,37, Philippines, <=50K
41, Private, HS-grad, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
47, Private, Some-college, Divorced, Other-service, Husband, White, Female,0,0,40, Portugal, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, Columbia, <=50K
39, Private, 11th, Divorced, Other-service, Other-relative, White, Male,0,0,25, Taiwan, <=50K
47, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,1798,94, India, >50K
25, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,40, Philippines, <=50K
37, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, France, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Hong, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Puerto-Rico, >50K
37, Federal-gov, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,30, Greece, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,35, Nicaragua, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Husband, Black, Male,0,0,40, Taiwan, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,35, Nicaragua, <=50K
22, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,40, Canada, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Mexico, >50K
53, Private, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Mexico, >50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,20, India, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Dominican-Republic, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,6282,0,50, Japan, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,38, Puerto-Rico, <=50K
63, Self-emp-not-inc, HS-grad, Widowed, Farming-fishing, Wife, White, Male,0,0,60, Nicaragua, >50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,40, Canada, <=50K
29, Self-emp-inc, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7116,0,40, Greece, <=50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, Taiwan, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Portugal, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,43, Columbia, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,, <=50K
51, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,50, France, <=50K
57, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,25, Guatemala, <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
60, Private, Bachelors, Widowed, Other-service, Husband, White, Male,13607,0,10, Ecuador, >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, China, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, Nicaragua, >50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,1887,36, France, <=50K
55, Self-emp-not-inc, Masters, Separated, Sales, Husband, White, Female,15024,0,50, England, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, South, <=50K
55, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,92, England, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
25, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
42, Private, HS-grad, Separated, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,65, Germany, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Haiti, <=50K
31, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, South, <=50K
33, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Scotland, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Guatemala, >50K
43, Private, Assoc-voc, Widowed, Craft-repair, Not-in-family, White, Female,15024,0,40, Jamaica, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Haiti, <=50K
34, Private, Doctorate, Divorced, Transport-moving, Husband, White, Male,0,0,70, Hungary, >50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Peru, <=50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Jamaica, <=50K
