63, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,48, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,3183,0,50, Guatemala, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1977,50, United-States, >50K
32, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, >50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,48, United-States, >50K
68, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,8, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,23, United-States, <=50K
26, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,48, United-States, >50K
38, State-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2232,48, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, >50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-spouse-absent, Transport-moving, Husband, White, Female,0,0,40, Mexico, <=50K
41, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Handlers-cleaners, Husband, White, Female,0,0,48, Germany, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,38, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
59, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,37, Columbia, <=50K
31, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Husband, White, Female,0,0,35, United-States, <=50K
46, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Other-relative, Black, Male,0,0,40, United-States, <=50K
20, Private, 10th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,60, United-States, <=50K
30, Private, 11th, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, Masters, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
42, Private, 11th, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
41, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3103,0,54, United-States, >50K
27, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, 12th, Never-married, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,24, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, <=50K
44, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, Haiti, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Other-service, Husband, White, Female,0,0,48, United-States, <=50K
27, Private, Masters, Divorced, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Unmarried, Other, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1977,27, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Trinadad&Tobago, <=50K
33, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
45, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4923,0,50, United-States, <=50K
51, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
37, State-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,8, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,71, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, Other-relative, White, Male,7687,0,75, United-States, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,24, Vietnam, <=50K
22, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, >50K
75, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,48, United-States, >50K
38, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,3245,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, Doctorate, Never-married, Priv-house-serv, Own-child, White, Male,0,1887,40, United-States, >50K
58, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,8, United-States, <=50K
38, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
49, Federal-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Federal-gov, Some-college, Divorced, Sales, Unmarried, Black, Male,0,0,45, United-States, <=50K
43, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,6202,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, 10th, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Separated, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, Prof-school, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,1758,40, United-States, >50K
43, Federal-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Other-relative, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,37, United-States, >50K
22, Private, Bachelors, Separated, Craft-repair, Own-child, White, Female,0,0,16, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
41, Federal-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Sales, Wife, White, Male,0,1977,50, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,60, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, >50K
46, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
17, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
61, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,4386,0,40, United-States, <=50K
47, Private, Some-college, Divorced, Other-service, Husband, Black, Male,0,0,30, Dominican-Republic, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1887,40, Haiti, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, <=50K
24, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,48, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Self-emp-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,60, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,38, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,60, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 10th, Never-married, Craft-repair, Own-child, Black, Female,0,0,36, United-States, <=50K
20, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, Mexico, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,32, United-States, <=50K
26, Private, 11th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,60, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Husband, White, Female,3129,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24, Private, 12th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,48, United-States, <=50K
21, Private, 10th, Never-married, Other-service, Husband, White, Male,0,0,30, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
38, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,48, United-States, >50K
32, Private, HS-grad, Divorced, Protective-serv, Wife, White, Female,0,0,30, United-States, <=50K
18, Local-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,27, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,15024,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male,2802,0,60, United-States, >50K
47, Private, HS-grad, Widowed, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,60, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
28, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
90, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,8614,0,48, United-States, >50K
34, Private, Masters, Married-spouse-absent, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,60, China, >50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,48, United-States, >50K
31, State-gov, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,48, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
63, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, South, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,35, Guatemala, <=50K
40, Private, Some-college, Divorced, Handlers-cleaners, Wife, White, Female,4163,0,40, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Husband, Black, Female,0,0,40, United-States, <=50K
17, Self-emp-not-inc, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
47, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, Peru, <=50K
24, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,38, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,11022,0,50, United-States, >50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
35, Local-gov, Assoc-acdm, Married-spouse-absent, Other-service, Unmarried, Black, Male,0,0,50, United-States, <=50K
41, Private, 7th-8th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-voc, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,30, Philippines, <=50K
19, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,2395,40, United-States, >50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
39, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Husband, White, Female,0,2211,65, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,0,46, United-States, <=50K
28, Private, 11th, Married-civ-spouse, Protective-serv, Own-child, White, Female,0,0,69, United-States, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1965,50, United-States, >50K
45, Local-gov, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Female,4386,0,40, United-States, >50K
51, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,35, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1887,52, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
53, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Widowed, Tech-support, Husband, White, Female,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Mexico, <=50K
26, Private, 7th-8th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, >50K
53, Local-gov, 10th, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,1895,40, United-States, <=50K
33, State-gov, Bachelors, Divorced, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,84, United-States, >50K
28, Private, 11th, Divorced, Adm-clerical, Husband, White, Female,0,1902,37, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
29, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,50, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
54, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,51, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1925,54, United-States, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,1890,30, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, White, Male,7687,0,40, United-States, >50K
23, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,99999,0,60, United-States, >50K
37, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,15, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, >50K
37, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
64, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
37, Local-gov, Bachelors, Divorced, Other-service, Own-child, White, Female,0,0,30, United-States, >50K
