48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Cuba, >50K
23, Private, 10th, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
35, Private, HS-grad, Divorced, Other-service, Own-child, Other, Male,0,0,40, India, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,3873,0,40, Hong, <=50K
60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Hong, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Ireland, <=50K
34, Local-gov, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
60, Local-gov, Some-college, Widowed, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
49, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Greece, >50K
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Cuba, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Hong, >50K
71, Private, 10th, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Guatemala, <=50K
63, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,42, Scotland, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, England, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,48, France, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, Holand-Netherlands, <=50K
19, Federal-gov, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,4, Cambodia, <=50K
43, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,40, Cambodia, <=50K
62, Private, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,0,65, Ecuador, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, El-Salvador, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,32, Japan, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, India, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,8, Hong, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
56, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, Cambodia, <=50K
62, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Holand-Netherlands, <=50K
26, Private, Bachelors, Never-married, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,60, Japan, <=50K
21, Private, Doctorate, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Peru, <=50K
33, Private, Some-college, Separated, Machine-op-inspct, Unmarried, Other, Female,0,0,27, Haiti, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,23, Poland, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cambodia, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, Italy, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
64, State-gov, Some-college, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
43, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,35, Guatemala, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,15, Germany, <=50K
52, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Husband, White, Female,2835,0,30, Greece, >50K
29, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,44, Columbia, >50K
28, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
55, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Portugal, <=50K
33, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,40, Dominican-Republic, >50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Iran, >50K
37, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
27, Private, 7th-8th, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
54, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Scotland, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Thailand, <=50K
38, Private, Some-college, Divorced, Craft-repair, Unmarried, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Federal-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, South, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Canada, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Cambodia, >50K
49, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,60, Nicaragua, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, El-Salvador, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Canada, <=50K
47, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,40, Jamaica, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
28, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,22, Vietnam, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Taiwan, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
34, Private, Bachelors, Widowed, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,44, Iran, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
17, Self-emp-not-inc, 10th, Never-married, Other-service, Own-child, Other, Female,0,0,15, Peru, <=50K
47, Private, 12th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Greece, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Nicaragua, >50K
41, State-gov, 10th, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,45, Canada, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Vietnam, >50K
39, Private, Some-college, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1883,60, Canada, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,3375,0,40, Hungary, <=50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
31, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Trinadad&Tobago, <=50K
56, Private, Assoc-voc, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Vietnam, <=50K
20, Private, 10th, Never-married, Tech-support, Not-in-family, Black, Female,0,0,10, Guatemala, <=50K
23, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,35, Hungary, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Poland, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Yugoslavia, <=50K
73, Local-gov, Some-college, Widowed, Protective-serv, Husband, Black, Male,4650,0,2, Canada, >50K
29, Private, HS-grad, Separated, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ecuador, >50K
61, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,37, Ireland, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Columbia, <=50K
67, Federal-gov, 10th, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
37, Private, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Iran, >50K
29, Federal-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, Columbia, <=50K
44, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Puerto-Rico, <=50K
39, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,60, China, >50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,48, South, <=50K
20, Private, Masters, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, China, <=50K
45, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, Nicaragua, <=50K
50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Japan, <=50K
35, Self-emp-not-inc, Some-college, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
54, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,30, Japan, >50K
35, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,65, Columbia, <=50K
37, Private, 5th-6th, Married-civ-spouse, Sales, Other-relative, Other, Male,0,0,35, Cambodia, <=50K
64, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Peru, >50K
61, State-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Thailand, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,38, Ecuador, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Holand-Netherlands, <=50K
32, Private, 10th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Jamaica, <=50K
44, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Hong, <=50K
22, Private, Assoc-acdm, Never-married, Transport-moving, Husband, Other, Female,0,0,80, Nicaragua, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Guatemala, <=50K
34, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
26, Private, Some-college, Married-civ-spouse, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,80, Italy, <=50K
23, Private, HS-grad, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Scotland, >50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,54, Scotland, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Puerto-Rico, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,54, Iran, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, South, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Other, Female,0,0,24, Cambodia, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Holand-Netherlands, >50K
23, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
41, State-gov, HS-grad, Separated, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Japan, >50K
40, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,45, Scotland, <=50K
22, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, Black, Female,0,0,50, Hungary, <=50K
21, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,30, Cuba, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,2038,0,40, Hungary, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,40, Poland, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Mexico, <=50K
28, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, China, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
71, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,16, England, <=50K
30, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Germany, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Local-gov, 10th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,54, Cuba, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, Japan, <=50K
47, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Germany, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,1902,20, Thailand, <=50K
50, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Cuba, <=50K
69, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Germany, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cambodia, <=50K
51, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Greece, <=50K
36, Self-emp-not-inc, Doctorate, Separated, Transport-moving, Husband, Black, Male,0,0,99, Vietnam, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,7298,0,50, China, >50K
59, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, >50K
57, Local-gov, Masters, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Puerto-Rico, <=50K
32, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,54, El-Salvador, <=50K
49, Private, 10th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Vietnam, >50K
39, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,1902,50, Jamaica, >50K
20, Local-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
59, Private, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, Black, Male,0,0,40, Vietnam, <=50K
52, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, Laos, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Iran, <=50K
23, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, India, <=50K
54, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
22, Private, Assoc-voc, Never-married, Tech-support, Own-child, Other, Male,0,0,40, Iran, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,60, Japan, <=50K
34, Local-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Cuba, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, China, <=50K
45, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,60, France, >50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, Guatemala, <=50K
33, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
58, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,50, China, >50K
45, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Guatemala, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,35, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,38, Laos, <=50K
38, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,8, Trinadad&Tobago, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,7687,0,40, Laos, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,99, Laos, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Taiwan, <=50K
30, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Guatemala, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,99, Haiti, >50K
49, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, Other, Male,0,0,44, India, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, India, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,4386,0,50, Greece, >50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,2013,0,40, India, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Taiwan, <=50K
29, State-gov, 10th, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Laos, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Puerto-Rico, >50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Hungary, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Laos, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Guatemala, <=50K
69, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Jamaica, <=50K
71, Self-emp-inc, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, France, <=50K
59, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
21, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,38, South, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
38, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Dominican-Republic, <=50K
28, Private, Bachelors, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,35, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Yugoslavia, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Laos, <=50K
28, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,4876,0,60, Cambodia, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
38, Local-gov, HS-grad, Separated, Priv-house-serv, Wife, Amer-Indian-Eskimo, Male,0,0,23, Columbia, <=50K
55, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, China, <=50K
29, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
51, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
33, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2001,43, Guatemala, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Poland, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, Peru, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Trinadad&Tobago, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Husband, Other, Female,2998,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7298,0,45, Yugoslavia, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Greece, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, France, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Portugal, >50K
30, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Portugal, <=50K
22, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,40, Guatemala, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Dominican-Republic, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,33, Portugal, <=50K
29, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Germany, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1887,40, Cuba, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,38, Greece, <=50K
42, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Philippines, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Dominican-Republic, >50K
38, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,27, Germany, <=50K
58, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Portugal, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, Laos, <=50K
29, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, Cuba, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, Other, Male,0,0,25, Italy, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,45, Germany, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,15, Yugoslavia, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,30, China, <=50K
50, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, India, >50K
39, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,7298,0,40, Vietnam, >50K
39, Private, 11th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Portugal, <=50K
49, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,3999,0,41, Philippines, >50K
19, Private, Bachelors, Never-married, Other-service, Husband, Other, Male,0,0,10, Iran, <=50K
