41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
54, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
38, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,42, United-States, <=50K
19, Private, Assoc-voc, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
44, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Canada, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, China, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
47, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,7687,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,50, United-States, <=50K
21, Private, 10th, Separated, Tech-support, Own-child, White, Female,0,0,10, United-States, <=50K
26, Local-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,64, Mexico, >50K
30, Private, Assoc-acdm, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Puerto-Rico, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
27, Local-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
36, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
50, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,65, United-States, >50K
66, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,8, United-States, <=50K
61, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, >50K
37, Local-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K
22, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
21, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
27, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Sales, Wife, White, Female,0,0,45, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,30, Puerto-Rico, >50K
35, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Local-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States, <=50K
41, Private, 10th, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,70, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
27, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
35, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, State-gov, Doctorate, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
70, Self-emp-not-inc, 7th-8th, Widowed, Handlers-cleaners, Unmarried, White, Female,0,0,10, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Philippines, <=50K
49, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Mexico, <=50K
24, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,83, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
35, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, United-States, >50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Thailand, <=50K
21, Local-gov, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, >50K
41, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,25, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
41, Private, Some-college, Never-married, Priv-house-serv, Unmarried, White, Male,0,0,35, United-States, <=50K
46, Federal-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Hong, <=50K
42, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,45, United-States, <=50K
37, Self-emp-inc, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
24, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, Poland, >50K
42, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,1902,60, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
63, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
50, Local-gov, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Sales, Own-child, White, Female,0,0,40, Haiti, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
46, Self-emp-not-inc, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,7614,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
41, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, United-States, <=50K
66, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, Black, Male,99999,0,60, United-States, >50K
27, Federal-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, State-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
53, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
72, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,2834,0,20, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
36, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,15, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,53, Germany, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1902,50, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, 10th, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,45, United-States, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,1791,50, United-States, >50K
39, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,25, United-States, <=50K
36, Federal-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, Canada, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
29, State-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,50, Jamaica, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Portugal, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Local-gov, Bachelors, Separated, Other-service, Not-in-family, White, Female,0,0,40, Columbia, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,2053,60, United-States, >50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,22, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, State-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
20, State-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,5, United-States, <=50K
31, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,38574,0,60, United-States, >50K
51, Local-gov, Bachelors, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
22, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Philippines, <=50K
24, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, China, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, Assoc-voc, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Philippines, <=50K
67, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
21, Private, Some-college, Married-spouse-absent, Sales, Own-child, White, Male,0,0,43, United-States, <=50K
36, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,83, United-States, <=50K
51, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1897,40, United-States, >50K
29, Private, 11th, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,15024,0,40, United-States, >50K
51, Federal-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, White, Male,0,0,40, Italy, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,1574,40, United-States, <=50K
56, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Doctorate, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Local-gov, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
60, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
30, Private, 10th, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,41, United-States, >50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,1, United-States, <=50K
45, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,74, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,21, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,45, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,3433,0,50, United-States, >50K
38, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
18, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,7298,0,50, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,3912,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
34, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, >50K
32, Private, Bachelors, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Nicaragua, >50K
31, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,16, United-States, <=50K
24, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,35, United-States, <=50K
48, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,50, United-States, <=50K
40, State-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
48, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,50, England, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
57, Private, HS-grad, Widowed, Sales, Unmarried, White, Female,0,0,40, Cambodia, <=50K
24, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,27, United-States, <=50K
30, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,36, United-States, <=50K
28, Private, Bachelors, Divorced, Sales, Husband, White, Female,0,1694,50, United-States, <=50K
30, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,53, United-States, <=50K
30, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, >50K
46, State-gov, HS-grad, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, China, <=50K
43, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,1686,40, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Portugal, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
40, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
43, Private, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
58, Private, HS-grad, Separated, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Columbia, <=50K
24, Private, Bachelors, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
54, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, China, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
25, Local-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines, <=50K
56, Federal-gov, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Male,0,1887,60, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico, <=50K
