27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,54, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
32, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
27, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, <=50K
25, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
35, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Mexico, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,15, United-States, <=50K
59, Local-gov, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,47, Puerto-Rico, <=50K
32, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Haiti, >50K
48, Local-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Philippines, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Local-gov, Some-college, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,25, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
25, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
58, Federal-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,20, Poland, <=50K
27, Private, Masters, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, >50K
48, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Masters, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,1902,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Local-gov, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Assoc-acdm, Separated, Tech-support, Not-in-family, White, Female,0,0,36, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
51, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,52, Philippines, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,7687,0,54, United-States, >50K
64, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,99999,0,40, United-States, >50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,45, Mexico, <=50K
35, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
27, Private, 10th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,70, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,45, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
22, State-gov, 10th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,38, United-States, <=50K
61, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Male,10266,0,50, United-States, >50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Tech-support, Not-in-family, White, Male,0,0,20, United-States, <=50K
46, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
32, Private, Bachelors, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, China, <=50K
32, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
30, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Columbia, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
53, Private, HS-grad, Widowed, Adm-clerical, Wife, Black, Female,0,0,35, Mexico, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
23, Federal-gov, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
41, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Local-gov, 10th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,30, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,3325,0,60, United-States, <=50K
51, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,99999,0,50, United-States, >50K
41, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,1977,40, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Separated, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
39, Private, HS-grad, Separated, Sales, Unmarried, White, Female,7331,0,50, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7298,0,40, United-States, >50K
22, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, Ireland, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
57, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,13598,0,45, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,24, United-States, <=50K
46, Local-gov, HS-grad, Never-married, Farming-fishing, Husband, White, Male,4082,0,60, United-States, >50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,54, United-States, >50K
30, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Puerto-Rico, <=50K
62, Local-gov, HS-grad, Divorced, Protective-serv, Unmarried, White, Female,0,0,32, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Separated, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Local-gov, Doctorate, Widowed, Adm-clerical, Not-in-family, White, Female,0,1905,35, United-States, <=50K
48, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
46, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,45, United-States, <=50K
46, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,7687,0,38, United-States, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, >50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,1990,50, China, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
33, Federal-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,1902,40, United-States, >50K
41, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
48, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
62, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
48, Private, 11th, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,45, United-States, <=50K
48, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, >50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
33, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, Portugal, <=50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
20, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,20, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Doctorate, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, >50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,52, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Separated, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, <=50K
63, State-gov, 10th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,4, United-States, <=50K
30, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,35, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,6692,0,50, United-States, >50K
59, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,36, United-States, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
34, Private, Some-college, Widowed, Farming-fishing, Husband, White, Male,0,0,72, United-States, <=50K
56, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
68, Local-gov, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
37, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
25, Federal-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Female,0,0,48, United-States, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,50, India, <=50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,32, United-States, <=50K
39, Self-emp-inc, Masters, Never-married, Sales, Unmarried, White, Female,0,0,70, Mexico, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Local-gov, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,21, Puerto-Rico, <=50K
51, Private, Prof-school, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,65, United-States, <=50K
46, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
33, Local-gov, 12th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
57, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
53, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Widowed, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,1887,40, United-States, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
34, Private, Some-college, Widowed, Protective-serv, Wife, White, Female,0,0,40, United-States, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,21, United-States, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
27, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
52, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
53, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,45, United-States, >50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
43, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Female,1076,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,4919,0,40, United-States, <=50K
47, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,70, United-States, >50K
18, Private, Assoc-voc, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, >50K
38, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, >50K
47, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
54, Private, 10th, Widowed, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
22, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
39, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Male,10477,0,40, United-States, >50K
26, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
47, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
52, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
18, Private, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, England, <=50K
33, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, Philippines, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
26, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Own-child, White, Female,0,1887,20, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
57, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,60, United-States, >50K
28, Private, Some-college, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, >50K
