48, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1887,45, France, >50K
31, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Poland, <=50K
73, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
29, Local-gov, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, China, <=50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,50, United-States, >50K
38, Private, Some-college, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
76, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,30, United-States, <=50K
45, State-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Cuba, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Germany, <=50K
37, Federal-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
35, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Greece, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, El-Salvador, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, South, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,60, United-States, >50K
50, Private, HS-grad, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,1887,54, India, >50K
49, Private, Masters, Separated, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K
28, Private, 10th, Never-married, Craft-repair, Husband, Black, Female,0,1601,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,7298,0,50, Dominican-Republic, >50K
22, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,20, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, Cuba, >50K
46, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,30, Taiwan, <=50K
51, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Philippines, <=50K
23, Federal-gov, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, China, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, South, >50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,45, Nicaragua, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,20, India, <=50K
60, Self-emp-inc, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Male,0,2351,40, Trinadad&Tobago, <=50K
25, Private, Some-college, Widowed, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,38, India, <=50K
33, Local-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, China, <=50K
43, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,2600,0,60, Ireland, >50K
58, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Ecuador, <=50K
47, Local-gov, Doctorate, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7687,0,40, United-States, >50K
35, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,60, South, <=50K
18, State-gov, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,54, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,2411,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Poland, >50K
36, State-gov, HS-grad, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
20, Local-gov, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
33, Self-emp-inc, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,2381,0,40, Portugal, <=50K
64, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,24, India, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Ireland, >50K
19, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,60, Vietnam, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,3166,0,45, Trinadad&Tobago, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, Taiwan, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Peru, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Ecuador, >50K
26, Private, Assoc-voc, Married-civ-spouse, Sales, Other-relative, Black, Female,0,0,40, United-States, <=50K
22, Private, 10th, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,30, United-States, <=50K
50, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
28, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
27, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
37, State-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,7687,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,4386,0,50, United-States, >50K
19, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Poland, <=50K
58, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Ecuador, >50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,1902,70, United-States, <=50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1977,40, United-States, >50K
40, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
31, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,16, Mexico, <=50K
21, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Exec-managerial, Husband, White, Male,0,0,43, Poland, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Male,0,0,25, Scotland, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
43, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
64, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Hungary, >50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, Canada, <=50K
27, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States, <=50K
23, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
45, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,3371,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,50, United-States, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, Guatemala, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,54, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, >50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Male,0,0,25, Haiti, <=50K
58, Self-emp-not-inc, Some-college, Married-spouse-absent, Sales, Wife, White, Female,0,0,40, Italy, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Japan, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, South, <=50K
46, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,45, United-States, <=50K
24, Private, Assoc-voc, Never-married, Tech-support, Other-relative, Black, Male,0,0,40, Trinadad&Tobago, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, England, >50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Haiti, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
60, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1977,70, United-States, >50K
55, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, China, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,73, Trinadad&Tobago, <=50K
37, Private, Some-college, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Male,7298,0,36, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,40, Thailand, <=50K
56, Private, Masters, Never-married, Sales, Not-in-family, Other, Male,0,0,48, Vietnam, >50K
56, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
36, Private, Doctorate, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,1887,40, Honduras, >50K
25, Private, Some-college, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Separated, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Scotland, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, England, >50K
63, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,34, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,52, Philippines, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,42, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Vietnam, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,36, United-States, >50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
52, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Other, Female,15024,0,45, Hong, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Iran, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4678,0,40, Hungary, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, Laos, <=50K
74, Self-emp-not-inc, Masters, Widowed, Priv-house-serv, Not-in-family, White, Female,0,0,6, United-States, >50K
27, Private, Some-college, Separated, Handlers-cleaners, Own-child, Black, Male,0,0,35, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,3520,0,40, United-States, <=50K
61, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,3499,0,48, France, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, Black, Male,0,0,55, United-States, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Iran, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,45, United-States, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, India, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,25, Cambodia, <=50K
58, Private, HS-grad, Divorced, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, United-States, <=50K
21, Private, 10th, Divorced, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1882,40, El-Salvador, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1887,40, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,35, Vietnam, <=50K
67, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,65, Cuba, <=50K
36, Self-emp-not-inc, Masters, Never-married, Protective-serv, Wife, White, Female,0,0,35, United-States, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,7814,0,54, United-States, >50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, Hong, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
31, Private, 5th-6th, Never-married, Adm-clerical, Own-child, White, Female,0,1614,40, Guatemala, <=50K
37, State-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, State-gov, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,25, United-States, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,20, Cambodia, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Puerto-Rico, >50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Jamaica, >50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,20, Philippines, <=50K
35, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1885,40, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, Mexico, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,65, United-States, >50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,45, Italy, <=50K
27, Private, Masters, Never-married, Prof-specialty, Husband, Other, Male,0,0,50, Columbia, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1894,40, Nicaragua, >50K
35, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Japan, <=50K
61, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, Other, Female,0,0,35, United-States, <=50K
39, Federal-gov, Some-college, Never-married, Other-service, Not-in-family, Other, Male,0,0,45, United-States, <=50K
28, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,50, Nicaragua, <=50K
48, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Poland, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, South, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, Thailand, <=50K
30, Private, HS-grad, Separated, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
24, Federal-gov, HS-grad, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
43, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
67, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Trinadad&Tobago, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,21, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Greece, >50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
62, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,24, Japan, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Peru, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,2077,16, United-States, <=50K
41, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Separated, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, 10th, Divorced, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
29, Private, Masters, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Mexico, >50K
44, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,60, United-States, >50K
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,65, United-States, <=50K
35, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,99999,0,45, Trinadad&Tobago, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, United-States, >50K
19, Private, Some-college, Married-spouse-absent, Other-service, Wife, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,14, France, <=50K
49, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, South, >50K
