21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,1730,40, United-States, >50K
43, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, Thailand, <=50K
31, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Japan, <=50K
35, Private, HS-grad, Separated, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,65, United-States, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, >50K
53, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, >50K
40, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Peru, <=50K
71, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,13, United-States, <=50K
58, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Sales, Wife, White, Male,0,0,30, United-States, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Scotland, <=50K
46, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
56, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,70, Nicaragua, <=50K
36, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Hong, >50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Haiti, <=50K
44, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
42, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,24, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
45, Private, 12th, Married-civ-spouse, Craft-repair, Wife, White, Male,5013,0,40, Greece, >50K
30, Private, Bachelors, Widowed, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Canada, <=50K
31, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,60, Nicaragua, <=50K
65, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,3326,0,20, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, 10th, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Scotland, <=50K
50, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,35, Laos, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, >50K
25, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,36, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,54, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Germany, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,2377,0,50, United-States, <=50K
19, Private, 11th, Never-married, Craft-repair, Not-in-family, Black, Male,4386,0,48, Thailand, <=50K
47, Federal-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Vietnam, <=50K
43, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, China, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, England, <=50K
42, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, China, <=50K
64, Private, 7th-8th, Widowed, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,50, Portugal, >50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Peru, >50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Japan, >50K
20, Federal-gov, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,24, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1672,20, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,54, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, >50K
47, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,38, Portugal, <=50K
43, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Puerto-Rico, >50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, Poland, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
42, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,25, Columbia, <=50K
68, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,13453,0,40, Honduras, >50K
23, State-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, United-States, >50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, United-States, >50K
23, State-gov, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,3355,0,40, Italy, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,35, Ireland, <=50K
34, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,35, France, <=50K
53, State-gov, Some-college, Widowed, Tech-support, Unmarried, Other, Male,0,0,40, France, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
32, Private, Some-college, Divorced, Adm-clerical, Other-relative, Black, Female,0,0,16, United-States, <=50K
21, State-gov, Some-college, Divorced, Exec-managerial, Own-child, Black, Female,0,0,20, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,48, United-States, <=50K
22, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,25, United-States, <=50K
65, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Philippines, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,2153,0,50, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,25, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,60, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
64, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,54, United-States, >50K
47, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Hong, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,18, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,15, Poland, <=50K
38, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,70, United-States, >50K
47, Private, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,25, Philippines, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, El-Salvador, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,50, United-States, >50K
35, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
30, State-gov, 7th-8th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,84, United-States, <=50K
56, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,99999,0,45, El-Salvador, >50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, Hong, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Other-relative, Black, Male,0,0,60, Haiti, <=50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,60, Ireland, >50K
26, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,25, Peru, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
41, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
57, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Iran, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,6254,0,52, United-States, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Prof-school, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Ireland, >50K
29, Private, 11th, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,40, Greece, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,5146,0,45, Philippines, <=50K
54, Self-emp-inc, HS-grad, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Thailand, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
35, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Ireland, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,52, United-States, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Mexico, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Columbia, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,44, Peru, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,15, Haiti, >50K
37, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,20, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
27, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,15024,0,50, Canada, >50K
41, State-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,25, England, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, <=50K
22, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,32, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
34, Private, Some-college, Separated, Prof-specialty, Wife, Black, Female,0,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Trinadad&Tobago, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4386,0,40, Greece, <=50K
41, Private, Some-college, Separated, Prof-specialty, Not-in-family, Black, Female,0,1608,70, Iran, <=50K
61, Local-gov, HS-grad, Separated, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,83, United-States, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Poland, <=50K
58, Local-gov, Masters, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
44, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,60, Ecuador, >50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,50, England, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20, Vietnam, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,32, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, Other, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,35, United-States, <=50K
38, Private, Some-college, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, State-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, Italy, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,38, Dominican-Republic, <=50K
46, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Mexico, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, England, <=50K
53, Private, 11th, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, HS-grad, Separated, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Iran, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Nicaragua, <=50K
45, Private, Masters, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,45, Puerto-Rico, >50K
44, Federal-gov, Bachelors, Married-spouse-absent, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,54, Haiti, >50K
20, Private, 10th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
39, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
29, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,1451,40, United-States, <=50K
45, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,1602,40, United-States, <=50K
49, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, >50K
29, Private, 11th, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
43, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, Federal-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1727,40, Dominican-Republic, <=50K
34, Private, 11th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2864,0,65, Greece, >50K
43, State-gov, Assoc-acdm, Separated, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,1887,50, Hong, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, State-gov, 11th, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, >50K
18, Federal-gov, 10th, Never-married, Other-service, Own-child, White, Female,0,0,40, Hungary, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
43, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,20, Greece, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Yugoslavia, >50K
37, State-gov, Some-college, Widowed, Sales, Unmarried, Black, Female,0,0,54, United-States, <=50K
33, Private, HS-grad, Separated, Handlers-cleaners, Own-child, White, Male,0,0,47, Laos, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Taiwan, <=50K
45, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, India, <=50K
54, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Mexico, <=50K
59, Self-emp-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
21, Self-emp-not-inc, Masters, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
56, Private, Masters, Widowed, Sales, Husband, White, Male,0,0,15, United-States, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Columbia, >50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,32, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
75, State-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,30, Laos, <=50K
54, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Italy, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Vietnam, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
49, Federal-gov, 11th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,1902,50, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, Poland, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, South, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, Outlying-US(Guam-USVI-etc), >50K
41, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
45, State-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Iran, <=50K
54, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, India, <=50K
20, Private, Some-college, Married-civ-spouse, Protective-serv, Other-relative, Other, Male,0,0,50, United-States, <=50K
69, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,677,0,10, United-States, <=50K
69, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,15, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Separated, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,35, Vietnam, >50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,1115,0,99, Mexico, >50K
53, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
