48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,80, United-States, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,25, United-States, <=50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,1540,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,77, United-States, <=50K
23, Private, HS-grad, Divorced, Priv-house-serv, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
25, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,54, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Other-relative, White, Male,0,0,24, Ecuador, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
41, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,30, United-States, <=50K
40, Local-gov, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,2081,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Protective-serv, Own-child, Other, Male,0,0,20, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Mexico, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
71, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,16, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,1977,20, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
50, Federal-gov, HS-grad, Separated, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Separated, Transport-moving, Husband, White, Male,0,0,99, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Male,7298,0,50, Puerto-Rico, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
57, Local-gov, Masters, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,50, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,54, United-States, <=50K
49, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States, >50K
20, Local-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,30, United-States, <=50K
59, Private, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
23, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Thailand, <=50K
45, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Portugal, >50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,39, United-States, <=50K
38, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Female,2078,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,99, United-States, <=50K
49, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,43, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4405,0,50, United-States, >50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,2175,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
29, State-gov, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
69, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
70, Private, Preschool, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
59, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, Masters, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,38, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Divorced, Sales, Own-child, White, Male,0,0,40, Columbia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,5178,0,60, Columbia, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors, Separated, Prof-specialty, Wife, Black, Female,0,0,24, Philippines, >50K
55, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,25, Japan, <=50K
29, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
50, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, <=50K
33, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2001,40, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
33, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,3103,0,35, United-States, <=50K
37, Local-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Female,7298,0,45, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
29, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1879,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
42, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
58, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,25, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,15, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, United-States, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, State-gov, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,15, United-States, <=50K
55, State-gov, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,30, Mexico, <=50K
49, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
39, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
39, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3956,0,42, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,10, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,35, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
63, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,164,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,36, United-States, >50K
41, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,42, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,38, United-States, >50K
37, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Protective-serv, Husband, Black, Male,7687,0,50, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,38, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,82, United-States, >50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
50, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
53, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,93, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Local-gov, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Nicaragua, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Cuba, >50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,40, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
22, Local-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2608,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1873,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
61, Private, 10th, Never-married, Farming-fishing, Not-in-family, Black, Male,0,2360,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,3903,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
38, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
33, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Masters, Never-married, Tech-support, Not-in-family, Black, Female,0,0,45, United-States, <=50K
19, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Black, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,2121,0,18, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, State-gov, 10th, Divorced, Adm-clerical, Unmarried, White, Female,2353,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,48, United-States, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,2289,0,40, United-States, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,50, United-States, >50K
35, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,31059,0,3, United-States, >50K
42, Federal-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,50, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Iran, <=50K
42, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
64, Local-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1581,45, Mexico, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,10, United-States, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,10946,0,40, United-States, >50K
47, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
57, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,75, United-States, <=50K
58, Private, Some-college, Married-spouse-absent, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, 11th, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, HS-grad, Married-spouse-absent, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
54, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
65, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
88, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
33, State-gov, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Canada, >50K
22, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Some-college, Widowed, Sales, Wife, White, Male,0,0,52, United-States, <=50K
19, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
21, State-gov, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Masters, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,4386,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,5042,0,60, United-States, >50K
43, Local-gov, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
64, State-gov, Assoc-voc, Separated, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
63, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,48, United-States, >50K
59, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
36, Local-gov, 10th, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,7687,0,40, United-States, >50K
40, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
62, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,2868,0,30, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,50, United-States, >50K
46, Private, 1st-4th, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
47, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,48, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,1803,0,60, United-States, <=50K
