43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,72, Greece, >50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, India, <=50K
20, Private, Bachelors, Separated, Farming-fishing, Own-child, White, Female,0,0,40, Philippines, <=50K
30, Private, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,1854,38, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, Italy, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, El-Salvador, <=50K
33, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,80, England, <=50K
42, State-gov, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Poland, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, United-States, >50K
48, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,11092,0,40, South, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Vietnam, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
21, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Guatemala, <=50K
57, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Poland, >50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Haiti, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Canada, <=50K
56, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1977,40, United-States, >50K
24, Self-emp-not-inc, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, Philippines, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
26, State-gov, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, State-gov, Some-college, Divorced, Sales, Other-relative, Other, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,13, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,3103,0,40, Trinadad&Tobago, <=50K
28, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,48, Ecuador, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Poland, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
23, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,54, Mexico, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Hungary, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,40, United-States, >50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,35, Canada, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
58, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
24, Private, Some-college, Separated, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Honduras, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, France, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, Puerto-Rico, >50K
26, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,50, United-States, <=50K
61, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, >50K
19, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
41, Private, HS-grad, Married-spouse-absent, Transport-moving, Wife, White, Male,0,0,50, China, >50K
28, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
63, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,20, Ireland, <=50K
33, Private, 7th-8th, Never-married, Sales, Not-in-family, Other, Female,0,0,48, Germany, <=50K
46, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Nicaragua, <=50K
29, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,54, Columbia, >50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, United-States, >50K
50, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,28, Germany, <=50K
37, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Wife, White, Male,0,0,40, Italy, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, China, >50K
63, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
65, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Thailand, >50K
32, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti, >50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, >50K
27, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Hong, <=50K
38, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,60, United-States, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1771,54, Peru, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, Federal-gov, HS-grad, Separated, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Tech-support, Wife, White, Female,0,0,40, Iran, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Female,10884,0,52, India, >50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,50, Scotland, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Ecuador, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,30, Mexico, <=50K
60, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
38, Private, Masters, Never-married, Other-service, Not-in-family, White, Male,0,0,50, Cambodia, <=50K
42, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,45, South, >50K
29, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, England, <=50K
26, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Japan, >50K
26, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,80, Puerto-Rico, <=50K
52, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,40, South, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,40, Ecuador, >50K
41, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Doctorate, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
53, Private, 9th, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Mexico, <=50K
23, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Hungary, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,99999,0,50, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
35, Local-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
65, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
36, Self-emp-not-inc, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,77, Hong, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,3103,0,20, Mexico, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Mexico, <=50K
45, Local-gov, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,25, El-Salvador, <=50K
22, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
63, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,5106,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,50, United-States, >50K
25, Self-emp-inc, HS-grad, Married-spouse-absent, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, Puerto-Rico, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
34, Private, HS-grad, Divorced, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,70, Canada, <=50K
24, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, United-States, >50K
52, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,5016,0,45, Outlying-US(Guam-USVI-etc), <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, Yugoslavia, <=50K
27, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, France, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Female,0,0,60, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,24, Mexico, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
22, Private, Some-college, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Greece, <=50K
30, State-gov, Some-college, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,40, United-States, >50K
52, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
40, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
66, Local-gov, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Male,27248,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,7687,0,44, United-States, >50K
57, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, >50K
33, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, Japan, <=50K
30, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Yugoslavia, >50K
28, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,7298,0,44, Thailand, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,60, Honduras, <=50K
55, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Husband, Other, Male,0,0,40, Philippines, <=50K
24, Self-emp-not-inc, Doctorate, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
74, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2400,40, United-States, >50K
50, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,38, Philippines, <=50K
29, Local-gov, Bachelors, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,15024,0,50, Canada, >50K
37, Private, HS-grad, Married-spouse-absent, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,3519,0,80, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,45, United-States, >50K
53, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Scotland, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Canada, >50K
43, Self-emp-not-inc, 5th-6th, Never-married, Exec-managerial, Unmarried, White, Female,0,0,70, Greece, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1999,50, Hong, <=50K
55, Private, Some-college, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,30, Puerto-Rico, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,99999,0,50, United-States, >50K
30, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
71, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,30, Iran, >50K
17, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, Jamaica, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
60, Local-gov, 9th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,30, United-States, <=50K
62, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1862,40, United-States, >50K
42, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
35, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, England, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
28, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,54, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, United-States, >50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Separated, Other-service, Not-in-family, White, Male,0,0,40, China, <=50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Poland, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, State-gov, Masters, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
54, Private, Masters, Divorced, Sales, Not-in-family, Black, Female,0,1902,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,8650,0,40, United-States, >50K
36, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Columbia, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Philippines, <=50K
25, Private, HS-grad, Married-spouse-absent, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,60, South, <=50K
53, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,50, United-States, >50K
35, Local-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, Cambodia, <=50K
50, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, Black, Female,7722,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,1622,50, Yugoslavia, >50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,73, Cuba, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,50, Mexico, <=50K
34, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, >50K
48, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Other, Female,0,0,40, Poland, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,38, Nicaragua, <=50K
33, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,2487,0,40, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Ireland, <=50K
40, Private, HS-grad, Separated, Exec-managerial, Wife, Asian-Pac-Islander, Male,3069,0,45, Honduras, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,25, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,20, China, <=50K
60, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,50, United-States, <=50K
37, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,9963,0,40, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,38, Columbia, >50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,35, United-States, >50K
20, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, South, <=50K
68, Local-gov, Prof-school, Married-civ-spouse, Sales, Husband, Other, Female,0,0,20, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, Cuba, <=50K
20, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,35, Poland, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Laos, <=50K
29, Local-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
44, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,44, United-States, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Wife, Black, Male,0,0,25, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,15, China, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
45, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,49, Germany, >50K
19, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
37, Private, Some-college, Divorced, Farming-fishing, Unmarried, Black, Male,0,0,60, United-States, <=50K
40, Local-gov, Assoc-voc, Never-married, Transport-moving, Not-in-family, White, Male,0,0,44, India, <=50K
20, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,5, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,92, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,48, United-States, <=50K
49, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, State-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, Canada, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Cuba, >50K
46, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
32, Private, Some-college, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
33, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
64, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,4106,0,40, United-States, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Jamaica, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Own-child, White, Male,99999,0,52, Mexico, >50K
