59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,1977,80, United-States, >50K
34, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Other, Female,0,0,38, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, Mexico, <=50K
43, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,50, Philippines, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,50, United-States, >50K
31, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
61, Federal-gov, Bachelors, Married-civ-spouse, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female,0,1902,60, United-States, >50K
40, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
40, Federal-gov, 12th, Never-married, Transport-moving, Own-child, Black, Female,0,0,32, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
70, Private, Masters, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,1, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, United-States, >50K
73, State-gov, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,8, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,44, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,54, United-States, <=50K
45, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,2543,0,45, United-States, <=50K
49, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,60, United-States, <=50K
35, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,12, United-States, <=50K
52, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
60, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Vietnam, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,3036,0,24, United-States, <=50K
25, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, >50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, Black, Female,0,0,35, Philippines, <=50K
51, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
58, Private, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,6, United-States, <=50K
36, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Wife, Black, Male,7687,0,40, Italy, >50K
28, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, Germany, <=50K
68, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,24, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,7298,0,54, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,38, Mexico, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,15024,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, Germany, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
58, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, Self-emp-not-inc, 10th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,15, United-States, <=50K
42, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,2383,50, United-States, <=50K
23, Private, 9th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
56, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Masters, Never-married, Other-service, Not-in-family, White, Male,0,0,40, China, <=50K
32, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
31, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
59, Local-gov, 10th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-acdm, Never-married, Tech-support, Wife, White, Male,0,0,50, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,65, Greece, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, Prof-school, Never-married, Prof-specialty, Own-child, White, Female,0,2051,50, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,23, Germany, <=50K
54, Self-emp-not-inc, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, <=50K
35, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,35, United-States, >50K
24, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,99999,0,50, United-States, >50K
24, Private, 11th, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
27, State-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2829,0,40, Haiti, <=50K
61, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,2759,0,99, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,35, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 12th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Assoc-acdm, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
38, Self-emp-not-inc, Bachelors, Divorced, Transport-moving, Own-child, White, Male,0,0,65, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
17, State-gov, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,1, United-States, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
73, Private, 9th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,16, United-States, <=50K
45, Federal-gov, Bachelors, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,9003,0,46, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Ecuador, >50K
47, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, >50K
55, Self-emp-not-inc, Some-college, Separated, Farming-fishing, Unmarried, Black, Female,3103,0,35, United-States, <=50K
61, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, United-States, <=50K
35, Local-gov, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
19, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,53, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,45, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Dominican-Republic, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,20, United-States, >50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,32, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Sales, Wife, White, Male,0,0,50, United-States, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
41, Private, Doctorate, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, 9th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,80, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,15024,0,80, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,45, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,45, United-States, <=50K
49, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,48, United-States, <=50K
28, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,20, El-Salvador, >50K
56, State-gov, HS-grad, Divorced, Sales, Wife, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
66, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Female,3777,0,20, United-States, >50K
47, Private, 1st-4th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
44, Private, Masters, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
51, Private, 1st-4th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,24, United-States, <=50K
73, Local-gov, 11th, Widowed, Sales, Not-in-family, White, Female,0,0,16, United-States, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, Mexico, >50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,45, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Widowed, Sales, Husband, White, Male,0,0,10, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,37, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,0,0,20, United-States, >50K
38, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,3909,0,24, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,34076,0,65, United-States, >50K
67, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,9960,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Craft-repair, Unmarried, White, Female,0,0,30, Haiti, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,45, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
70, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, >50K
63, Self-emp-not-inc, Prof-school, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,12, United-States, <=50K
35, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Mexico, <=50K
38, Local-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,60, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
31, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,3352,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,20, Philippines, <=50K
41, Private, Bachelors, Never-married, Craft-repair, Unmarried, White, Female,0,0,43, Columbia, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,97, United-States, >50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,1578,40, United-States, >50K
46, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Male,4816,0,50, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
48, Private, 12th, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,35, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cuba, >50K
27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,60, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,53, United-States, >50K
45, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,0,0,50, United-States, >50K
46, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Divorced, Tech-support, Husband, White, Female,5178,0,30, United-States, <=50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,1887,30, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,42, United-States, <=50K
25, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Divorced, Sales, Husband, White, Male,0,0,30, India, <=50K
31, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, Black, Male,0,0,36, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,7298,0,40, United-States, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,25, United-States, <=50K
23, Federal-gov, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
59, Private, Some-college, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16, United-States, <=50K
26, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, 10th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,1913,40, United-States, <=50K
37, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,60, England, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
51, State-gov, Some-college, Separated, Sales, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,15, United-States, <=50K
28, Private, 11th, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
