25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Hong, <=50K
61, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2960,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3229,0,38, France, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
65, Private, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
37, Private, 10th, Married-spouse-absent, Craft-repair, Husband, Other, Male,0,0,40, China, <=50K
25, Private, 7th-8th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,1740,45, United-States, >50K
33, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Male,6588,0,40, United-States, >50K
27, Self-emp-inc, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,48, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1902,40, India, >50K
71, Private, 5th-6th, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,7298,0,60, United-States, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Germany, <=50K
23, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Jamaica, <=50K
24, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
74, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1797,40, United-States, <=50K
20, Private, Assoc-voc, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
33, Local-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
46, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
30, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
26, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
29, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
68, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
43, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Jamaica, <=50K
35, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Scotland, <=50K
54, Local-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, United-States, >50K
30, Local-gov, Bachelors, Divorced, Other-service, Own-child, White, Female,0,0,30, Philippines, <=50K
54, State-gov, 7th-8th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,48, Italy, <=50K
39, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, >50K
42, Local-gov, Prof-school, Divorced, Tech-support, Own-child, White, Female,0,1600,40, Yugoslavia, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,80, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15024,0,75, South, >50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Assoc-voc, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,40, United-States, >50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,3091,0,45, El-Salvador, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, South, <=50K
49, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, Poland, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,4386,0,48, United-States, >50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Mexico, <=50K
48, Local-gov, Prof-school, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
23, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,35, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,42, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
59, State-gov, HS-grad, Divorced, Handlers-cleaners, Unmarried, Black, Male,136,0,40, Puerto-Rico, <=50K
31, Private, 9th, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,16, United-States, <=50K
47, Private, Assoc-voc, Widowed, Sales, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
36, Local-gov, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,4085,0,40, Vietnam, <=50K
40, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, China, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,1, Ecuador, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,5013,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Mexico, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, United-States, >50K
62, State-gov, 10th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,21, United-States, <=50K
35, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
42, Local-gov, Doctorate, Divorced, Exec-managerial, Unmarried, Black, Female,0,1496,40, Philippines, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Wife, White, Female,0,0,35, United-States, <=50K
46, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Italy, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,44, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5011,0,40, United-States, >50K
46, Private, Some-college, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,4965,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Japan, <=50K
52, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,30, Japan, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Greece, <=50K
31, Local-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,38, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,28, Laos, <=50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Jamaica, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
55, Private, Assoc-voc, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,7687,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,16, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Philippines, <=50K
27, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,60, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,56, Laos, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
36, Local-gov, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,25, United-States, <=50K
31, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,24, Greece, <=50K
40, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, >50K
47, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
67, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
31, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Female,0,0,40, Haiti, <=50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, United-States, >50K
48, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
55, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, Hong, >50K
19, Local-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, United-States, <=50K
64, Private, Bachelors, Widowed, Prof-specialty, Unmarried, Black, Male,0,0,12, Ireland, <=50K
24, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,39, United-States, >50K
61, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1965,40, Ireland, <=50K
57, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Taiwan, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
52, Private, 7th-8th, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,20, South, <=50K
58, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,84, Nicaragua, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cambodia, <=50K
55, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,12, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,3442,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, >50K
34, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,35, Hong, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Japan, <=50K
57, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,46, Mexico, >50K
33, Private, Assoc-acdm, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,84, United-States, <=50K
52, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Honduras, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, South, <=50K
53, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, Mexico, >50K
63, Local-gov, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
71, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,9, Philippines, >50K
57, Private, HS-grad, Separated, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
42, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
31, Local-gov, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,54, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
32, State-gov, Bachelors, Divorced, Farming-fishing, Wife, Other, Female,0,0,35, Mexico, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,12, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Male,0,0,24, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, United-States, <=50K
36, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Trinadad&Tobago, <=50K
36, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,1887,40, United-States, <=50K
23, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,15, Nicaragua, <=50K
43, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,3103,0,15, Haiti, >50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
75, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, Germany, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,50, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
30, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Separated, Craft-repair, Not-in-family, Other, Male,9758,0,38, United-States, <=50K
40, Local-gov, 11th, Divorced, Exec-managerial, Wife, White, Female,0,0,30, United-States, <=50K
83, Self-emp-not-inc, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,1883,2, Laos, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, China, <=50K
39, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,2404,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Husband, Black, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,25, United-States, <=50K
18, Local-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,12, United-States, <=50K
41, Private, Some-college, Married-spouse-absent, Farming-fishing, Husband, Black, Male,0,0,50, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
61, Local-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Yugoslavia, >50K
53, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Masters, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
51, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,3105,0,40, United-States, >50K
51, Private, Some-college, Divorced, Handlers-cleaners, Husband, White, Male,0,2412,40, Philippines, >50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,20, England, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,45, Puerto-Rico, <=50K
34, Self-emp-not-inc, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,15024,0,40, Germany, >50K
23, State-gov, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, >50K
66, Local-gov, 9th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1902,35, Canada, >50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,46, United-States, <=50K
32, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, State-gov, Some-college, Never-married, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
56, Local-gov, 7th-8th, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,45, United-States, <=50K
37, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
37, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,3117,0,45, United-States, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, 9th, Married-spouse-absent, Other-service, Wife, White, Female,0,0,35, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,1976,40, Puerto-Rico, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,4064,0,40, China, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2944,0,40, Puerto-Rico, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,15, South, <=50K
56, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, State-gov, 10th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Separated, Handlers-cleaners, Unmarried, Other, Male,0,0,25, Japan, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,70, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Vietnam, <=50K
36, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1977,45, United-States, >50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Dominican-Republic, <=50K
46, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
