19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,15024,0,35, United-States, >50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
73, Private, Masters, Widowed, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
31, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Prof-specialty, Wife, Black, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
43, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,30, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,37, United-States, <=50K
57, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
29, Private, Some-college, Divorced, Other-service, Husband, White, Male,0,1136,60, United-States, >50K
31, State-gov, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, >50K
60, Local-gov, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
28, Private, Some-college, Divorced, Craft-repair, Own-child, Other, Female,0,0,20, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Doctorate, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1599,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
32, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Female,5178,0,40, United-States, >50K
18, Private, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
22, Self-emp-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,99, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
18, Private, Prof-school, Never-married, Craft-repair, Own-child, White, Female,0,0,60, United-States, <=50K
40, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
61, State-gov, Assoc-voc, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Male,3707,0,40, El-Salvador, <=50K
18, Private, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Portugal, >50K
37, Self-emp-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Separated, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
54, Local-gov, Some-college, Divorced, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
57, Private, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
20, State-gov, Some-college, Separated, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
57, Private, Some-college, Divorced, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
42, Local-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,4631,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,35, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,50, India, >50K
24, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,36, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,91, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,5079,0,50, United-States, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
37, Private, Some-college, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, South, <=50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1902,20, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,42, Peru, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
46, Local-gov, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,30, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Columbia, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,34, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,48, United-States, <=50K
47, Private, Prof-school, Married-civ-spouse, Other-service, Husband, White, Male,99999,0,53, United-States, >50K
48, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Philippines, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Mexico, <=50K
68, Self-emp-inc, 7th-8th, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,84, United-States, <=50K
34, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7298,0,50, United-States, >50K
52, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,7298,0,40, United-States, <=50K
45, Private, Bachelors, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
62, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,1886,70, United-States, <=50K
38, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
59, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, 7th-8th, Divorced, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
59, Self-emp-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Columbia, >50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
50, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Separated, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
41, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,7687,0,40, United-States, >50K
78, Self-emp-not-inc, 7th-8th, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
28, Federal-gov, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,1664,60, United-States, <=50K
32, Local-gov, Assoc-acdm, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,3090,0,45, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,15754,0,45, United-States, >50K
44, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,41, United-States, <=50K
34, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,43, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Jamaica, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
79, Local-gov, 9th, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,10, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
69, Private, Masters, Divorced, Sales, Not-in-family, White, Female,2173,0,40, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Mexico, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, >50K
50, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
37, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
60, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
64, Private, Masters, Divorced, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
59, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1886,54, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, United-States, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
49, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
73, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Thailand, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, >50K
29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Sales, Not-in-family, Black, Male,0,0,35, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2420,54, United-States, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,16, United-States, >50K
49, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,4845,0,40, United-States, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
52, Self-emp-not-inc, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,24058,0,20, United-States, >50K
63, Private, Bachelors, Widowed, Tech-support, Not-in-family, White, Male,0,0,5, United-States, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1976,50, United-States, >50K
25, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,1106,60, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,40, China, <=50K
64, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Puerto-Rico, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1602,40, United-States, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States, >50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,37, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
28, Local-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,60, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,2851,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, >50K
28, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female,0,0,25, United-States, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2894,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,25, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,89, United-States, <=50K
40, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Local-gov, Some-college, Separated, Handlers-cleaners, Unmarried, White, Male,0,0,40, Cuba, <=50K
33, Private, Bachelors, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Local-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,16, United-States, <=50K
27, Local-gov, 7th-8th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
