34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
24, Federal-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Thailand, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,36, Japan, <=50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,20, Mexico, <=50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,10, Canada, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Taiwan, <=50K
33, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, Honduras, >50K
34, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,50, El-Salvador, >50K
57, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,60, Hungary, <=50K
54, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ecuador, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, Cambodia, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2002,40, Portugal, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,45, Hungary, <=50K
39, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, >50K
55, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,36, Cambodia, <=50K
20, Local-gov, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
54, Self-emp-not-inc, 7th-8th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, Guatemala, >50K
45, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, England, <=50K
41, State-gov, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
33, Private, Masters, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Scotland, <=50K
50, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Canada, >50K
43, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, Ecuador, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Dominican-Republic, >50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, Peru, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, Haiti, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Ireland, >50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, Ireland, <=50K
43, Self-emp-not-inc, Bachelors, Married-spouse-absent, Sales, Husband, Black, Male,0,0,54, Jamaica, >50K
28, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
49, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,4009,0,50, Hong, >50K
67, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,1598,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, Trinadad&Tobago, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,20, Vietnam, >50K
63, Private, Bachelors, Widowed, Other-service, Not-in-family, Black, Female,0,0,35, France, <=50K
30, Local-gov, Masters, Divorced, Exec-managerial, Wife, White, Male,0,0,54, Cuba, >50K
41, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Germany, <=50K
54, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
43, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, Columbia, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,24, Philippines, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
22, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,60, Canada, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,37, Hungary, <=50K
33, Local-gov, Some-college, Divorced, Prof-specialty, Husband, White, Male,7298,0,40, Italy, >50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, Laos, <=50K
31, Private, 11th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, Taiwan, <=50K
67, Private, 10th, Never-married, Adm-clerical, Wife, White, Female,0,0,10, Cuba, <=50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, South, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Honduras, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Honduras, <=50K
47, Local-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States, >50K
27, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, China, <=50K
31, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Columbia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, China, <=50K
38, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, Honduras, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, Poland, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,36, Cuba, <=50K
34, Private, 11th, Divorced, Sales, Wife, White, Female,0,0,40, Laos, <=50K
60, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
31, Self-emp-inc, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,50, Portugal, >50K
39, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
70, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
42, Self-emp-not-inc, 7th-8th, Never-married, Craft-repair, Own-child, Black, Male,0,0,35, El-Salvador, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, Ireland, >50K
42, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,36, Trinadad&Tobago, <=50K
72, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, South, <=50K
18, Private, Assoc-voc, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, Canada, <=50K
60, Self-emp-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,8497,0,40, Canada, >50K
65, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,0,40, China, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,14970,0,40, Honduras, <=50K
47, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,35, Vietnam, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,30, France, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Cuba, <=50K
23, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,45, Canada, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Thailand, >50K
25, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, Poland, <=50K
51, Private, Bachelors, Widowed, Adm-clerical, Wife, Black, Female,0,0,50, Ecuador, <=50K
60, Private, HS-grad, Married-spouse-absent, Transport-moving, Husband, Black, Male,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Germany, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, England, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Laos, >50K
34, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,73, India, >50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,45, Hong, <=50K
32, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1803,45, Haiti, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Ecuador, <=50K
45, Private, 10th, Separated, Prof-specialty, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Laos, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Iran, <=50K
43, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Jamaica, <=50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
58, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, Poland, <=50K
24, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Greece, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,54, Dominican-Republic, >50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Greece, <=50K
24, Self-emp-not-inc, 11th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Ireland, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cambodia, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Honduras, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, Mexico, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Italy, <=50K
68, Self-emp-not-inc, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, Japan, <=50K
39, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hungary, >50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Cambodia, >50K
27, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Hong, <=50K
54, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Thailand, >50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, France, >50K
35, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, Yugoslavia, >50K
31, Self-emp-not-inc, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, India, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, <=50K
35, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Philippines, >50K
43, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, China, >50K
48, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,7823,0,70, Germany, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Cuba, <=50K
62, Private, 10th, Widowed, Other-service, Not-in-family, White, Female,0,0,20, Guatemala, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,75, Peru, <=50K
45, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, China, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Laos, >50K
24, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, >50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,50, Philippines, <=50K
22, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, Poland, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, Mexico, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ecuador, <=50K
61, Self-emp-not-inc, Some-college, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,30, Taiwan, >50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Poland, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Ecuador, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, <=50K
37, Private, Masters, Divorced, Sales, Unmarried, White, Female,0,0,80, Japan, <=50K
24, Private, Bachelors, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Cuba, <=50K
26, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Puerto-Rico, <=50K
45, Private, Masters, Divorced, Other-service, Wife, White, Female,0,0,25, Hungary, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Ireland, >50K
39, Federal-gov, Some-college, Divorced, Other-service, Wife, White, Female,0,0,35, South, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, England, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, Cuba, <=50K
47, State-gov, Bachelors, Divorced, Exec-managerial, Wife, White, Female,7687,0,38, India, >50K
32, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,50, Iran, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, China, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,20, Puerto-Rico, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Germany, <=50K
33, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,60, Greece, >50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Italy, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, France, <=50K
39, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, >50K
24, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, Canada, >50K
23, Private, 10th, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Honduras, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Iran, >50K
28, State-gov, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Guatemala, <=50K
36, Private, HS-grad, Separated, Transport-moving, Own-child, Black, Male,0,0,40, Hong, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Vietnam, >50K
32, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,32, China, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Japan, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Cuba, <=50K
43, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, Germany, <=50K
30, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
35, Private, HS-grad, Divorced, Other-service, Wife, Asian-Pac-Islander, Male,0,0,36, Italy, >50K
61, Private, 1st-4th, Divorced, Exec-managerial, Not-in-family, Black, Male,0,1887,54, Hungary, >50K
59, Private, 5th-6th, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
58, Private, 11th, Widowed, Sales, Not-in-family, White, Female,0,0,70, Guatemala, <=50K
29, Local-gov, Masters, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Poland, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Germany, <=50K
48, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Peru, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Laos, >50K
64, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,20, Thailand, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Male,0,0,40, Hong, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, United-States, >50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, Mexico, >50K
23, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, Cambodia, <=50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Taiwan, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, Taiwan, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,15, Greece, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, China, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Portugal, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, England, <=50K
36, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,30, Cambodia, <=50K
39, Private, Some-college, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, Vietnam, >50K
35, State-gov, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,36, Vietnam, <=50K
26, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, Germany, >50K
52, Private, Prof-school, Divorced, Prof-specialty, Unmarried, White, Female,0,1838,40, Haiti, >50K
45, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,35, Cambodia, <=50K
45, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Honduras, <=50K
48, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,45, Mexico, >50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, Mexico, <=50K
62, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2395,60, Scotland, >50K
50, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
53, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Ireland, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,25, South, <=50K
30, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,30, Thailand, <=50K
27, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,54, Mexico, >50K
26, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
35, State-gov, Bachelors, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Columbia, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
43, State-gov, 7th-8th, Separated, Sales, Not-in-family, White, Female,0,0,40, Thailand, <=50K
20, Private, HS-grad, Widowed, Other-service, Own-child, Black, Female,0,0,40, China, <=50K
25, Private, Some-college, Married-spouse-absent, Handlers-cleaners, Wife, White, Female,0,0,40, Dominican-Republic, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1850,0,45, Hong, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,71, Cuba, <=50K
22, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,6, Taiwan, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Greece, >50K
22, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,30, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ireland, >50K
34, Federal-gov, Bachelors, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, Hungary, >50K
39, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,30, Scotland, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Yugoslavia, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Canada, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1985,40, Laos, >50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,10, Ecuador, <=50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, Trinadad&Tobago, <=50K
20, Federal-gov, 10th, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
77, Self-emp-inc, Some-college, Widowed, Prof-specialty, Not-in-family, Other, Female,0,0,10, Yugoslavia, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, Canada, >50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Nicaragua, >50K
59, Private, 10th, Divorced, Other-service, Unmarried, White, Female,0,0,40, Germany, <=50K
32, State-gov, Bachelors, Divorced, Prof-specialty, Other-relative, White, Female,15024,0,50, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
36, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,0,35, Nicaragua, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Ecuador, >50K
41, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, South, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,70, Laos, <=50K
23, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,24, Guatemala, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1833,40, Trinadad&Tobago, >50K
32, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Iran, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Hong, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,2650,0,50, India, <=50K
30, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Ireland, >50K
50, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,36, Trinadad&Tobago, <=50K
