50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,47, United-States, <=50K
40, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Germany, >50K
71, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,4070,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
20, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,29, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
34, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,25, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
26, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,1842,60, United-States, <=50K
34, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,73, United-States, <=50K
44, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
29, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
37, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,65, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,71, United-States, <=50K
18, Private, Some-college, Never-married, Tech-support, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Iran, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Hungary, <=50K
32, Federal-gov, 11th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
52, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,20, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
21, Private, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,20, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, <=50K
24, Private, 10th, Divorced, Sales, Own-child, White, Male,0,0,29, United-States, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, Cuba, <=50K
26, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, United-States, <=50K
50, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
49, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
20, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
28, Private, Some-college, Widowed, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
38, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, >50K
38, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
30, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,20, United-States, <=50K
36, Private, 12th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Scotland, >50K
51, Private, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,29, United-States, <=50K
63, Self-emp-not-inc, Some-college, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,2647,0,25, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, >50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
60, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,1705,40, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Masters, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,80, United-States, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, South, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
90, Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,3325,0,40, United-States, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
55, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,50, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
29, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, >50K
27, Private, 1st-4th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
51, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, >50K
26, Private, Masters, Never-married, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
25, Private, Masters, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,3325,0,60, Haiti, >50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Portugal, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1898,45, United-States, >50K
63, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,12, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
57, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
77, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,13, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, >50K
58, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,36, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,2, United-States, <=50K
21, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,29, United-States, <=50K
64, Private, Assoc-acdm, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,21, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Separated, Tech-support, Wife, White, Male,4722,0,40, United-States, <=50K
60, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,47, United-States, >50K
38, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,15023,0,45, United-States, >50K
79, Self-emp-not-inc, 7th-8th, Widowed, Craft-repair, Not-in-family, White, Female,0,0,5, United-States, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,50, El-Salvador, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,3325,0,40, United-States, <=50K
27, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Canada, <=50K
49, Private, 7th-8th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
33, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
58, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,38, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, >50K
47, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1711,54, United-States, <=50K
18, Self-emp-not-inc, 12th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,25, United-States, <=50K
50, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1960,45, United-States, >50K
64, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,14, Laos, <=50K
33, Local-gov, HS-grad, Divorced, Craft-repair, Wife, Black, Female,0,1727,20, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
32, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,51, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cambodia, <=50K
27, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Self-emp-inc, Some-college, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
61, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, >50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
27, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
20, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,21, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,15, United-States, <=50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Italy, >50K
33, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,32, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, United-States, <=50K
43, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,29, United-States, >50K
36, Self-emp-inc, 10th, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,17, United-States, <=50K
33, Private, HS-grad, Separated, Sales, Not-in-family, Black, Male,0,0,36, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
43, Local-gov, HS-grad, Separated, Sales, Husband, White, Female,0,0,10, United-States, <=50K
49, Private, Prof-school, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,2056,40, United-States, >50K
28, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
49, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
41, Local-gov, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,54, Scotland, <=50K
19, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,8, United-States, <=50K
28, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,5402,0,43, Germany, >50K
34, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
42, Local-gov, Some-college, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
48, Private, 12th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Scotland, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,29, Mexico, <=50K
31, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Jamaica, >50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Jamaica, <=50K
20, Private, Bachelors, Never-married, Other-service, Other-relative, White, Male,0,0,20, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, <=50K
30, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Female,0,1752,45, United-States, <=50K
63, State-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-inc, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,29, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,3325,0,40, Haiti, <=50K
62, Private, 1st-4th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,38, Germany, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,35, United-States, <=50K
45, Private, Masters, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Never-married, Transport-moving, Other-relative, White, Female,0,0,45, Scotland, <=50K
56, Self-emp-inc, Masters, Married-spouse-absent, Sales, Wife, White, Male,0,0,75, Italy, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7298,0,50, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-spouse-absent, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3722,0,50, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
24, Local-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, >50K
51, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,2210,40, United-States, <=50K
45, Private, 9th, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,8, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,4306,0,45, United-States, >50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,54, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
49, Local-gov, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, China, <=50K
47, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
35, Local-gov, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,35, Cuba, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, 10th, Divorced, Other-service, Not-in-family, White, Male,0,0,51, United-States, <=50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
42, State-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
35, State-gov, Preschool, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,42, United-States, <=50K
41, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Poland, <=50K
73, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
56, Private, HS-grad, Separated, Other-service, Husband, White, Female,0,0,40, China, <=50K
36, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Local-gov, Masters, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,29, United-States, <=50K
39, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,99999,0,54, Mexico, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,7687,0,54, United-States, >50K
34, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
58, Self-emp-inc, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,1894,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
57, Local-gov, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
27, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, Mexico, <=50K
35, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,1740,13, United-States, <=50K
48, Private, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
57, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, Mexico, <=50K
62, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,1759,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Widowed, Protective-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,15, United-States, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,3914,0,35, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
55, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
55, Self-emp-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
