34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Greece, >50K
30, Private, Some-college, Separated, Machine-op-inspct, Own-child, Black, Female,0,0,40, Scotland, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,7298,0,40, Ireland, >50K
45, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, South, <=50K
39, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Germany, <=50K
49, Private, Masters, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Haiti, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Iran, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Canada, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
47, Private, Some-college, Divorced, Transport-moving, Unmarried, Black, Female,0,0,60, United-States, <=50K
42, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
57, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,36, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Puerto-Rico, >50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5144,0,40, Ireland, >50K
69, Self-emp-not-inc, HS-grad, Never-married, Tech-support, Husband, White, Male,0,1549,40, England, <=50K
29, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, India, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, >50K
39, Self-emp-not-inc, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,14653,0,60, Germany, <=50K
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Cambodia, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Yugoslavia, <=50K
30, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,72, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Laos, >50K
40, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,56, United-States, >50K
53, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
51, Federal-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Philippines, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Dominican-Republic, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, <=50K
40, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, United-States, >50K
51, Private, Assoc-voc, Separated, Transport-moving, Unmarried, White, Female,0,0,40, France, <=50K
42, Local-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,38, United-States, >50K
64, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,80, Guatemala, <=50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, England, >50K
41, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Cambodia, >50K
50, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
21, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, England, <=50K
49, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Wife, White, Male,0,0,30, United-States, >50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, Cambodia, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Wife, White, Female,0,0,60, Japan, <=50K
29, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,18, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
62, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
66, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,7298,0,35, United-States, <=50K
59, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,60, Trinadad&Tobago, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,44, United-States, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,5178,0,35, Columbia, >50K
62, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,30, Portugal, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, Honduras, >50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
80, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, Columbia, <=50K
74, Private, 9th, Widowed, Other-service, Unmarried, Black, Male,0,0,8, Cuba, <=50K
30, Private, Bachelors, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,1656,40, Philippines, <=50K
30, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, >50K
39, Private, HS-grad, Separated, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
62, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
36, Private, 5th-6th, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, China, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,50, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
40, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,32, Greece, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
31, Self-emp-inc, Masters, Married-spouse-absent, Transport-moving, Wife, White, Male,0,2001,40, El-Salvador, >50K
61, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Honduras, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Male,0,0,40, Germany, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
65, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
62, Private, Assoc-voc, Never-married, Craft-repair, Unmarried, White, Male,4033,0,40, United-States, <=50K
46, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
76, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Scotland, <=50K
45, State-gov, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, Laos, <=50K
40, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,52, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1902,50, Honduras, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
75, Private, HS-grad, Widowed, Prof-specialty, Husband, White, Male,0,0,30, Jamaica, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Poland, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Jamaica, >50K
44, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, Honduras, >50K
43, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States, <=50K
58, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, Yugoslavia, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
35, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,38, United-States, <=50K
55, Local-gov, 7th-8th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,12, Laos, <=50K
29, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, Philippines, <=50K
40, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Separated, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,23751,0,40, Cuba, >50K
30, Local-gov, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, Private, HS-grad, Separated, Machine-op-inspct, Wife, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Jamaica, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7687,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Prof-school, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Female,7298,0,40, India, >50K
19, Private, Some-college, Separated, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
36, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Puerto-Rico, <=50K
57, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
25, State-gov, Some-college, Divorced, Other-service, Other-relative, Black, Male,0,0,60, Laos, <=50K
63, Self-emp-not-inc, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-inc, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 12th, Separated, Tech-support, Not-in-family, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, Black, Male,1288,0,99, United-States, >50K
37, Private, Doctorate, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,99, Peru, <=50K
89, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,15024,0,54, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, >50K
26, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
52, Private, Some-college, Divorced, Sales, Unmarried, White, Male,0,0,24, Vietnam, <=50K
41, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4958,0,70, Canada, >50K
25, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, Thailand, >50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, Cambodia, <=50K
51, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Poland, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Hungary, <=50K
27, Private, Masters, Married-civ-spouse, Sales, Husband, White, Female,99999,0,60, United-States, >50K
17, Self-emp-not-inc, 10th, Never-married, Farming-fishing, Own-child, White, Female,0,0,16, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Ireland, <=50K
23, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,25, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,38, Ireland, <=50K
39, Self-emp-inc, Doctorate, Never-married, Farming-fishing, Not-in-family, Other, Female,0,0,99, Hong, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,35, Nicaragua, <=50K
24, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, Laos, >50K
49, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, Haiti, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Thailand, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Italy, >50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Hungary, >50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Hungary, >50K
43, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,54, Ecuador, <=50K
33, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
19, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,15, Hong, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Widowed, Prof-specialty, Own-child, White, Female,15024,0,15, Peru, >50K
47, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1737,70, United-States, >50K
47, Self-emp-not-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Other, Male,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, Yugoslavia, <=50K
44, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,42, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,1740,65, Jamaica, <=50K
62, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,4055,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Nicaragua, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,42, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
34, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,54, United-States, >50K
68, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,25, Hong, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Other, Male,0,0,35, United-States, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,3966,0,40, El-Salvador, >50K
43, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States, <=50K
38, Local-gov, Assoc-voc, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, China, <=50K
42, Local-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
44, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3103,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, France, <=50K
64, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,35, United-States, >50K
23, Local-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,3, South, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,1604,71, Taiwan, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Germany, <=50K
50, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,15024,0,70, United-States, >50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Haiti, <=50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
34, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Haiti, <=50K
51, Private, Bachelors, Separated, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,7687,0,20, Laos, >50K
45, Local-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
59, Private, 9th, Separated, Prof-specialty, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
26, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Italy, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,22, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,64, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, >50K
23, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
40, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Germany, <=50K
41, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Hong, <=50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,7687,0,45, United-States, <=50K
41, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, Hungary, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
35, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
23, Private, Bachelors, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander, Female,0,1860,40, Thailand, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Mexico, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
34, Local-gov, Masters, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,26, Mexico, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1977,44, Ireland, >50K
29, Private, Masters, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,57, Cuba, <=50K
54, Local-gov, Assoc-acdm, Widowed, Other-service, Unmarried, White, Male,0,1902,37, United-States, <=50K
