62, Private, Doctorate, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
51, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
32, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
59, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,37, United-States, <=50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
22, State-gov, 11th, Never-married, Exec-managerial, Own-child, Black, Male,0,0,20, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
37, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
46, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,49, Italy, <=50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,7687,0,49, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,40, United-States, >50K
52, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Federal-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,45, United-States, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, >50K
41, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
40, Local-gov, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,70, South, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,1740,20, United-States, <=50K
46, Private, Assoc-acdm, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
32, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,65, United-States, >50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
39, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
40, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
41, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, Hong, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,44, United-States, >50K
22, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
30, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,25, United-States, >50K
37, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, Philippines, <=50K
20, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,13, United-States, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
60, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
17, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Japan, >50K
31, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
58, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,74, United-States, >50K
26, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
33, Local-gov, Assoc-voc, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
37, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,70, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
54, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Hungary, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,6892,0,50, Taiwan, >50K
35, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1902,40, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Local-gov, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
47, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
52, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7055,0,45, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
54, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,6520,0,60, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,80, United-States, >50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,35, United-States, <=50K
57, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
62, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,38, United-States, <=50K
45, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, State-gov, Assoc-voc, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,70, China, >50K
20, Private, Assoc-acdm, Divorced, Machine-op-inspct, Other-relative, White, Female,0,0,20, United-States, <=50K
27, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
39, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
42, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
48, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,65, United-States, <=50K
28, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2174,0,40, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
39, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Male,0,0,40, United-States, <=50K
62, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,17, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
43, Private, Some-college, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,34, United-States, <=50K
44, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, >50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
46, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,7298,0,40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, >50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,38, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,60, United-States, >50K
36, Private, Assoc-acdm, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, >50K
47, Local-gov, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
68, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,10, United-States, <=50K
27, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
79, Federal-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,16264,0,36, United-States, >50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private, 7th-8th, Never-married, Tech-support, Own-child, White, Female,0,0,30, United-States, <=50K
69, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
42, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
40, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,24942,0,35, United-States, >50K
27, Local-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
52, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,54, United-States, <=50K
58, Private, 5th-6th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
29, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
29, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,4778,0,40, United-States, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5423,0,45, United-States, >50K
42, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
48, State-gov, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
58, Federal-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, Some-college, Married-spouse-absent, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
26, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, >50K
32, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,10, United-States, <=50K
36, Self-emp-not-inc, 9th, Separated, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Portugal, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,1902,35, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,70, United-States, <=50K
60, Local-gov, Some-college, Separated, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Other-service, Other-relative, White, Male,0,0,25, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
36, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K
37, Private, 5th-6th, Never-married, Adm-clerical, Wife, White, Female,0,0,16, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
47, Private, HS-grad, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2320,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,50, United-States, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,49, United-States, <=50K
31, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,3903,0,40, United-States, >50K
66, Private, 10th, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,25, United-States, <=50K
33, Private, Some-college, Widowed, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1914,40, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Sales, Wife, White, Female,0,1902,40, United-States, <=50K
50, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,48, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Nicaragua, >50K
59, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
47, Private, Some-college, Divorced, Other-service, Not-in-family, Black, Female,0,0,60, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Masters, Divorced, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Prof-school, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,38, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,48, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Thailand, <=50K
66, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Local-gov, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, <=50K
35, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
39, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,50, United-States, >50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, United-States, <=50K
30, Local-gov, Bachelors, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
