49, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,64, United-States, >50K
26, Local-gov, Assoc-voc, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,29, United-States, <=50K
29, Self-emp-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
35, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
48, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,29, United-States, <=50K
43, State-gov, Masters, Divorced, Protective-serv, Not-in-family, White, Female,0,0,54, United-States, <=50K
74, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1606,35, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
23, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,60, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1977,40, United-States, >50K
25, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Protective-serv, Own-child, Other, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,2970,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,24, United-States, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,29, Columbia, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
90, Self-emp-not-inc, 12th, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,29, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Masters, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
50, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,14471,0,40, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,32, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
63, State-gov, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,25, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
20, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,25, United-States, <=50K
41, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Poland, <=50K
27, Private, Some-college, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,60, United-States, >50K
53, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,15, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Hungary, <=50K
40, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
53, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,50, United-States, >50K
50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,1697,60, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,5, United-States, <=50K
68, Private, HS-grad, Divorced, Other-service, Husband, Black, Male,0,0,8, United-States, <=50K
53, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, 10th, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cuba, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, Canada, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,54, United-States, <=50K
74, Private, Doctorate, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,46, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,4208,0,60, United-States, <=50K
37, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
65, Private, 7th-8th, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,16, United-States, <=50K
73, Private, Some-college, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,0,10, United-States, <=50K
37, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
34, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
82, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Local-gov, HS-grad, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, >50K
43, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,1887,40, United-States, >50K
57, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,60, England, <=50K
48, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,1754,40, United-States, >50K
22, Private, Some-college, Married-civ-spouse, Other-service, Other-relative, White, Male,2531,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Local-gov, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,32, United-States, >50K
37, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
31, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,15023,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, Cuba, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Local-gov, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
29, State-gov, Assoc-voc, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,0,40, Poland, <=50K
32, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,50, United-States, >50K
47, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Husband, Black, Male,0,0,29, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
50, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,34, Cuba, <=50K
45, Private, HS-grad, Widowed, Tech-support, Unmarried, Black, Female,0,0,36, United-States, <=50K
43, Private, Bachelors, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico, <=50K
60, Self-emp-not-inc, 9th, Separated, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,24, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, <=50K
32, Self-emp-not-inc, 10th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, 11th, Widowed, Adm-clerical, Not-in-family, White, Female,0,2184,40, United-States, <=50K
33, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
31, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,29, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Other-service, Other-relative, White, Male,0,0,45, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5295,0,40, Iran, <=50K
31, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
39, Private, Assoc-acdm, Never-married, Protective-serv, Wife, White, Female,10520,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,13648,0,45, United-States, >50K
29, Private, HS-grad, Separated, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
29, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Male,2593,0,60, United-States, >50K
36, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,35, United-States, <=50K
22, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, 11th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
25, State-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,29, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,24, United-States, >50K
36, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, South, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,29, United-States, <=50K
24, Private, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,45, Taiwan, >50K
45, Federal-gov, Masters, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,1596,40, United-States, <=50K
29, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
46, Local-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,42, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, India, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, State-gov, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
38, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
52, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Philippines, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Local-gov, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,3103,0,29, United-States, <=50K
47, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,2336,60, United-States, <=50K
42, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,25, United-States, >50K
58, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 10th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,5013,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Mexico, <=50K
35, Private, Some-college, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,1685,29, United-States, <=50K
52, Private, Masters, Widowed, Transport-moving, Husband, White, Female,0,1870,40, United-States, >50K
38, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Black, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Greece, <=50K
44, State-gov, Masters, Separated, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
23, Federal-gov, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc, 10th, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, United-States, <=50K
46, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,3, United-States, <=50K
54, Private, 10th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, Canada, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, <=50K
35, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,87, United-States, >50K
41, Self-emp-not-inc, 10th, Separated, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,11, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, 9th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,42, United-States, <=50K
45, Private, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,5178,0,50, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,24, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
32, State-gov, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
