55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
73, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,20, Vietnam, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, >50K
56, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, France, >50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,30, Philippines, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Japan, <=50K
40, State-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Ecuador, >50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, Greece, >50K
74, Private, Assoc-voc, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,45, Peru, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,1709,0,40, Scotland, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,25, Portugal, <=50K
73, Local-gov, 11th, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,37, Yugoslavia, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Yugoslavia, <=50K
19, Local-gov, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, China, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
47, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,35, Yugoslavia, <=50K
24, Private, 10th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, >50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
65, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
26, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, South, <=50K
47, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,88, Mexico, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, >50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Columbia, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
71, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,5013,0,40, Hungary, <=50K
50, Local-gov, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,50, Jamaica, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Poland, >50K
28, Private, Some-college, Never-married, Tech-support, Not-in-family, Other, Female,0,0,38, India, <=50K
53, Private, Some-college, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, >50K
34, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,10, Italy, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Cambodia, >50K
41, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Scotland, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Farming-fishing, Not-in-family, Other, Female,0,0,80, Portugal, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, France, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,50, Poland, <=50K
51, Private, Bachelors, Separated, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
38, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
52, Private, Some-college, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,20, England, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,1670,38, Poland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, Puerto-Rico, <=50K
44, Self-emp-inc, Doctorate, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,49, Iran, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,6, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Italy, >50K
33, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,14083,0,50, Peru, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,50, England, <=50K
76, Local-gov, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,10, Thailand, <=50K
40, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,50, Hong, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, China, <=50K
25, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, France, <=50K
50, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,52, Nicaragua, >50K
41, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, Other, Male,0,1894,50, England, >50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,3741,0,35, Philippines, <=50K
33, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Taiwan, >50K
41, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
50, Private, Masters, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,3497,0,60, Guatemala, >50K
29, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1617,60, China, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
45, Private, Bachelors, Widowed, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,99999,0,50, Japan, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, Canada, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Haiti, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Dominican-Republic, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1977,50, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, Laos, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Hungary, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,54, India, >50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,38, Italy, >50K
45, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,45, Germany, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,16, Cuba, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,50, Greece, >50K
42, Private, Masters, Never-married, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Greece, <=50K
35, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Peru, >50K
32, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,54, Scotland, >50K
63, Self-emp-not-inc, Some-college, Widowed, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Hong, <=50K
63, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,6, Iran, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
52, Private, Prof-school, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,54, Haiti, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,45, Jamaica, <=50K
22, Private, HS-grad, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
29, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Jamaica, >50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
57, Private, Some-college, Widowed, Machine-op-inspct, Not-in-family, Other, Male,1188,0,55, Dominican-Republic, <=50K
26, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Haiti, <=50K
37, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,36, Germany, >50K
25, Private, Assoc-voc, Never-married, Farming-fishing, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,8, India, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Ecuador, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Peru, <=50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,35, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
60, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Vietnam, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,50, France, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
49, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
75, Local-gov, 10th, Married-spouse-absent, Machine-op-inspct, Not-in-family, Black, Female,0,0,30, Jamaica, <=50K
22, Private, Masters, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
42, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,2349,0,40, Trinadad&Tobago, <=50K
47, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Greece, <=50K
59, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, >50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,2000,40, Thailand, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,24, United-States, <=50K
39, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
24, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, India, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,8, Nicaragua, >50K
43, Private, Bachelors, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, Puerto-Rico, >50K
25, Private, Prof-school, Never-married, Other-service, Own-child, Black, Female,0,1637,40, Jamaica, <=50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,21, Mexico, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,50, India, >50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,16, Germany, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Wife, Black, Female,0,0,40, Honduras, <=50K
34, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,25, Hungary, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, China, <=50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,25, Hong, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Cuba, >50K
47, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
18, Federal-gov, Masters, Never-married, Other-service, Own-child, Black, Female,0,0,10, Thailand, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,75, Trinadad&Tobago, >50K
40, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,60, South, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Columbia, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, South, <=50K
45, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, France, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ecuador, <=50K
43, Self-emp-not-inc, 10th, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
61, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Canada, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,60, Yugoslavia, >50K
18, Private, 11th, Never-married, Other-service, Not-in-family, Other, Female,0,0,20, Hong, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,43, Cambodia, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Jamaica, <=50K
68, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Male,2301,0,40, Yugoslavia, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, France, <=50K
23, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Honduras, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5178,0,40, El-Salvador, >50K
72, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,2345,30, Columbia, >50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,25, Ireland, <=50K
43, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,35, Philippines, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,35, Philippines, <=50K
18, Private, 12th, Never-married, Sales, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines, <=50K
23, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,1152,0,40, South, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ireland, <=50K
69, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,25, Puerto-Rico, <=50K
59, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
51, Private, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,40, Haiti, <=50K
45, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Canada, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ecuador, <=50K
44, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,7, Cuba, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Germany, <=50K
69, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
30, Self-emp-not-inc, 11th, Never-married, Prof-specialty, Husband, Black, Male,0,1672,38, France, >50K
38, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,40, Taiwan, >50K
51, Private, Bachelors, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Nicaragua, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Vietnam, >50K
44, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
23, Private, Assoc-voc, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
51, Private, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,30, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Peru, >50K
51, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,60, Thailand, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Japan, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Puerto-Rico, >50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,4380,0,40, El-Salvador, >50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,42, England, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,3661,0,45, Scotland, >50K
33, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Vietnam, <=50K
45, Private, Some-college, Never-married, Exec-managerial, Wife, Other, Female,0,0,15, Taiwan, <=50K
42, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,15, Canada, <=50K
56, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,48, Honduras, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
71, Private, Assoc-acdm, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,6079,0,30, Laos, <=50K
22, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Thailand, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,30, El-Salvador, <=50K
43, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,15, Hong, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,42, Columbia, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, >50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Vietnam, <=50K
67, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, >50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, Guatemala, <=50K
23, Private, 10th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,25, Portugal, <=50K
35, Self-emp-not-inc, Some-college, Never-married, Sales, Unmarried, Other, Female,0,0,60, China, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,1887,40, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Columbia, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, China, >50K
61, Private, Some-college, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,25, China, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,2002,40, Nicaragua, <=50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Ireland, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Guatemala, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, El-Salvador, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Iran, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Italy, >50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Peru, >50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, El-Salvador, >50K
46, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1672,50, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,15024,0,40, Outlying-US(Guam-USVI-etc), >50K
51, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
41, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2879,0,40, Puerto-Rico, <=50K
47, Private, Assoc-voc, Divorced, Sales, Not-in-family, Other, Male,0,0,50, Hong, <=50K
58, Private, 7th-8th, Married-civ-spouse, Sales, Wife, Other, Female,0,0,20, Iran, <=50K
20, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,20, England, <=50K
19, Private, 10th, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,50, Columbia, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Vietnam, <=50K
35, Private, Bachelors, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
48, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Haiti, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Puerto-Rico, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Japan, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,25, Vietnam, <=50K
