34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,30, United-States, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,7687,0,40, United-States, >50K
51, Private, Assoc-voc, Widowed, Exec-managerial, Husband, Black, Male,0,0,45, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,60, United-States, >50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,2198,0,40, United-States, >50K
62, Private, 11th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Separated, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
40, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,37, United-States, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
64, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Farming-fishing, Own-child, White, Female,0,0,50, United-States, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
70, Self-emp-inc, Some-college, Divorced, Prof-specialty, Husband, White, Male,3313,0,40, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,20, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, Masters, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, United-States, >50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Local-gov, Assoc-acdm, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, Haiti, <=50K
60, Local-gov, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, 7th-8th, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Philippines, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, Haiti, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
52, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
55, Private, Doctorate, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,7687,0,45, United-States, >50K
28, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,36, United-States, >50K
33, Federal-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,2798,0,40, United-States, >50K
49, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
50, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, 10th, Divorced, Other-service, Unmarried, White, Male,0,0,35, Jamaica, <=50K
54, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,51, United-States, <=50K
48, Self-emp-not-inc, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
33, State-gov, Bachelors, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
36, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,3940,0,40, United-States, >50K
34, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
50, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1920,48, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,2304,0,60, United-States, >50K
49, Local-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States, <=50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, State-gov, Bachelors, Married-spouse-absent, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,1531,30, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
63, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,14977,0,20, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,50, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
59, Self-emp-not-inc, 11th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, >50K
32, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
41, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Separated, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-inc, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,4947,0,35, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, Mexico, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
50, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,36, United-States, <=50K
37, Private, HS-grad, Separated, Exec-managerial, Husband, Black, Male,0,0,48, India, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,15024,0,70, United-States, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,48, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
60, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, >50K
41, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,30, United-States, <=50K
25, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,9526,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,4669,0,40, United-States, >50K
33, Private, 12th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Local-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,0,0,45, United-States, <=50K
70, Private, HS-grad, Widowed, Farming-fishing, Husband, White, Male,0,0,7, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, >50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
58, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,36, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Female,0,102,16, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
20, Private, Masters, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, France, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, 9th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
36, Local-gov, 11th, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
65, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,16, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Widowed, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,15, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Widowed, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Separated, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,50, United-States, >50K
57, Private, Some-college, Widowed, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
45, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,23, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, Mexico, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
42, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, >50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,30, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
59, Private, Some-college, Widowed, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
34, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
70, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
50, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,42, United-States, <=50K
36, Private, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
24, Private, Doctorate, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,1404,20, United-States, <=50K
70, Local-gov, 10th, Widowed, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Assoc-voc, Never-married, Transport-moving, Unmarried, White, Male,0,0,10, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
27, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States, <=50K
59, Private, Bachelors, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,35, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,3293,0,35, United-States, >50K
34, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
71, Private, 10th, Widowed, Exec-managerial, Unmarried, White, Female,0,0,8, United-States, <=50K
56, Federal-gov, Assoc-voc, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Philippines, <=50K
23, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,25, Mexico, <=50K
44, Private, 10th, Divorced, Sales, Husband, Black, Male,0,0,20, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
33, Self-emp-not-inc, 12th, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,3022,0,50, United-States, <=50K
28, Self-emp-not-inc, 10th, Never-married, Transport-moving, Unmarried, White, Male,0,0,45, United-States, <=50K
54, Federal-gov, 10th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, >50K
53, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
60, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,60, Trinadad&Tobago, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,38, United-States, <=50K
35, Self-emp-not-inc, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,42, United-States, <=50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1902,40, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,69,0,60, United-States, <=50K
36, Private, 11th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
38, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,50, United-States, >50K
28, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,1880,72, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
39, Private, 11th, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, United-States, <=50K
51, Private, Masters, Widowed, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K
33, Federal-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,16, United-States, <=50K
49, Private, Some-college, Divorced, Tech-support, Husband, White, Female,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Mexico, <=50K
18, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,1902,35, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,38, United-States, >50K
32, Local-gov, 11th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
26, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,48, United-States, <=50K
37, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, United-States, >50K
22, Private, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
36, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2454,0,40, United-States, >50K
55, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,91, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,20, United-States, <=50K
34, Local-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,4, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, China, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
60, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,48, United-States, >50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,54, England, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, >50K
35, Private, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, 7th-8th, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
27, State-gov, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
