43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,71, United-States, >50K
35, Private, Bachelors, Widowed, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,1976,50, United-States, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,1897,60, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,4386,0,35, United-States, >50K
58, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,1887,40, United-States, <=50K
42, Private, Some-college, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
40, Self-emp-inc, HS-grad, Widowed, Prof-specialty, Husband, White, Female,0,1923,60, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, Self-emp-inc, 10th, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,50, Portugal, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Widowed, Adm-clerical, Husband, White, Female,0,0,40, China, >50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
61, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Local-gov, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, 12th, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Husband, Black, Female,0,0,35, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,30, United-States, <=50K
29, Private, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, 7th-8th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,36, El-Salvador, <=50K
33, Federal-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,1929,50, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, Guatemala, <=50K
33, Local-gov, Bachelors, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Sales, Husband, White, Female,0,1902,40, United-States, >50K
48, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, State-gov, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
51, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,42, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1956,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Prof-school, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
29, Self-emp-inc, Bachelors, Divorced, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,38, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
70, Local-gov, Some-college, Widowed, Sales, Husband, White, Female,0,0,35, United-States, <=50K
32, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,48, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, United-States, <=50K
48, Private, Bachelors, Widowed, Tech-support, Husband, White, Male,5043,0,40, United-States, >50K
41, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, Mexico, >50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, United-States, <=50K
28, Federal-gov, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
24, Federal-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,1898,60, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,89, United-States, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
50, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1977,45, United-States, >50K
20, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K
75, Self-emp-not-inc, 10th, Widowed, Protective-serv, Husband, White, Male,0,0,17, United-States, <=50K
24, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Husband, White, Female,15024,0,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,1902,60, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Female,3103,0,45, United-States, <=50K
34, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, White, Male,9645,0,40, United-States, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,46, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,60, United-States, <=50K
25, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Canada, >50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
18, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,4386,0,50, United-States, >50K
48, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
40, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,37, United-States, <=50K
49, Local-gov, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, 10th, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
22, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
41, Private, Some-college, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
52, Federal-gov, HS-grad, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, >50K
30, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
35, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
58, Private, 11th, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,8, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
31, State-gov, 9th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,31, United-States, <=50K
40, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,46, United-States, >50K
19, Private, Prof-school, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
54, Self-emp-inc, Bachelors, Divorced, Craft-repair, Husband, White, Male,7298,0,54, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1976,50, United-States, >50K
47, Private, 5th-6th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,45, United-States, >50K
47, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,48, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, 12th, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, >50K
40, Private, Bachelors, Separated, Exec-managerial, Husband, Black, Male,0,0,46, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
25, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,8, United-States, <=50K
28, Self-emp-not-inc, 7th-8th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, >50K
27, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
41, Private, 11th, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, >50K
79, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,30, Cuba, <=50K
73, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
37, Local-gov, Bachelors, Divorced, Priv-house-serv, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
35, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, United-States, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, 11th, Never-married, Other-service, Unmarried, White, Female,0,0,4, United-States, <=50K
33, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,15024,0,45, United-States, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,3454,0,35, United-States, <=50K
24, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
42, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
40, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Italy, <=50K
32, Private, Assoc-voc, Never-married, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Mexico, <=50K
24, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,35, India, <=50K
59, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
47, State-gov, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, United-States, <=50K
45, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
30, Federal-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,56803,0,20, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,54, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,55, United-States, >50K
47, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, 10th, Divorced, Other-service, Wife, White, Male,0,1902,20, Peru, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,7032,0,50, United-States, >50K
29, State-gov, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,47, Philippines, >50K
65, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,84, United-States, >50K
31, Private, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1902,50, United-States, >50K
25, State-gov, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,35, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,48, United-States, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
21, State-gov, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,99, United-States, >50K
45, Local-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
60, State-gov, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,60, United-States, >50K
37, State-gov, Bachelors, Never-married, Machine-op-inspct, Husband, White, Female,0,1949,40, United-States, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,47, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40, United-States, >50K
19, Private, HS-grad, Married-spouse-absent, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,74, United-States, >50K
29, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
38, Private, 7th-8th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,38, United-States, >50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,25, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,32, United-States, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,38, United-States, <=50K
43, Self-emp-not-inc, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,50, Puerto-Rico, >50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,30, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1926,60, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,7687,0,50, United-States, <=50K
28, Self-emp-not-inc, 10th, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,44, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Widowed, Exec-managerial, Husband, Black, Male,0,0,40, India, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,2873,0,54, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,38, United-States, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,4058,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male,14083,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1976,40, United-States, <=50K
22, State-gov, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Female,99999,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
45, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Local-gov, 7th-8th, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,5882,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
74, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Italy, <=50K
62, Self-emp-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,65, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,10, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
20, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
