43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Ecuador, >50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Germany, <=50K
23, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Poland, <=50K
54, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
58, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
20, Self-emp-inc, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,52, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,32, United-States, <=50K
26, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,30, Peru, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1887,40, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, China, <=50K
61, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,70, El-Salvador, <=50K
32, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,37, Laos, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Italy, <=50K
51, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, >50K
43, Private, Some-college, Widowed, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Germany, >50K
21, State-gov, Some-college, Never-married, Protective-serv, Unmarried, White, Male,0,0,35, Greece, <=50K
49, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Hungary, <=50K
51, Private, Masters, Divorced, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
64, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Ireland, <=50K
26, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
38, State-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,30, Greece, <=50K
35, Federal-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
28, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Laos, >50K
65, State-gov, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Female,0,0,45, Nicaragua, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, China, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,45, Italy, >50K
37, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Italy, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, <=50K
26, Private, 11th, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Thailand, <=50K
45, Local-gov, Assoc-acdm, Separated, Exec-managerial, Not-in-family, White, Female,0,0,35, Iran, <=50K
45, Self-emp-not-inc, Some-college, Separated, Prof-specialty, Husband, Black, Male,0,0,54, Ireland, >50K
42, Without-pay, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, Japan, >50K
45, Private, Bachelors, Divorced, Priv-house-serv, Not-in-family, Black, Male,0,0,45, Yugoslavia, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, Peru, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, Jamaica, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, >50K
42, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,40, Guatemala, >50K
27, Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,46, Outlying-US(Guam-USVI-etc), <=50K
29, Federal-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Haiti, <=50K
36, Private, Some-college, Divorced, Armed-Forces, Unmarried, Black, Female,0,0,40, Scotland, <=50K
57, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1902,45, United-States, <=50K
56, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, Jamaica, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
40, Private, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,2933,0,35, Jamaica, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,45, United-States, >50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, England, <=50K
57, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, El-Salvador, >50K
49, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
51, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, India, <=50K
19, Private, 11th, Never-married, Sales, Own-child, Other, Male,0,0,8, United-States, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1887,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,4064,0,35, France, <=50K
32, Private, HS-grad, Separated, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
30, Private, 9th, Never-married, Other-service, Other-relative, Black, Male,0,0,20, Nicaragua, <=50K
26, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Hong, <=50K
24, Private, HS-grad, Never-married, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Vietnam, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,50, Honduras, <=50K
56, Federal-gov, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Columbia, <=50K
17, State-gov, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,12, Poland, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, Philippines, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Other, Female,0,0,35, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, Columbia, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Cambodia, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Female,0,0,40, Hungary, <=50K
25, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,30, India, <=50K
43, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Portugal, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Iran, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,60, Columbia, >50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
30, Self-emp-not-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Male,0,0,42, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Poland, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,45, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Ireland, >50K
27, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,45, Cambodia, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,30, Scotland, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,83, Columbia, >50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Nicaragua, <=50K
23, Private, HS-grad, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,60, Mexico, <=50K
41, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,20, Italy, <=50K
35, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
42, Private, 9th, Divorced, Transport-moving, Wife, Black, Male,7687,0,40, Hungary, >50K
47, Self-emp-inc, Bachelors, Never-married, Tech-support, Unmarried, White, Male,9700,0,45, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Laos, <=50K
39, Private, Masters, Divorced, Adm-clerical, Husband, White, Female,0,1485,35, Poland, >50K
25, Federal-gov, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, El-Salvador, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,4172,0,40, Japan, <=50K
41, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
45, Private, Bachelors, Widowed, Other-service, Not-in-family, Other, Male,0,0,15, Portugal, <=50K
34, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
41, Federal-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, >50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,2201,0,40, Columbia, <=50K
32, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Peru, >50K
56, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, England, >50K
24, Private, Bachelors, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,20, Hungary, <=50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,2615,0,50, Nicaragua, <=50K
59, Federal-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,54, Greece, <=50K
45, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, China, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,60, United-States, <=50K
52, Private, Some-college, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, India, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Divorced, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Canada, >50K
28, Local-gov, Some-college, Separated, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Yugoslavia, <=50K
26, State-gov, Doctorate, Separated, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Hong, <=50K
69, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,2220,40, Ecuador, >50K
35, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China, <=50K
49, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, Vietnam, <=50K
47, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, United-States, >50K
46, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,64, Thailand, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Mexico, >50K
58, Private, Assoc-acdm, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Columbia, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Jamaica, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,45, India, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
27, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Germany, <=50K
51, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, Ireland, <=50K
60, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Husband, White, Male,0,0,15, Haiti, >50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,2, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
29, Private, Some-college, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,54, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
58, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,1731,60, China, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
25, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, Poland, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
52, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,50, United-States, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,42, Greece, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Laos, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
20, Local-gov, 11th, Never-married, Other-service, Not-in-family, Other, Female,0,0,15, United-States, <=50K
51, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
21, Private, Doctorate, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,54, Jamaica, <=50K
20, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, <=50K
28, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,2221,40, United-States, >50K
24, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,24, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
52, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,35, Vietnam, <=50K
24, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
37, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,36, England, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Japan, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, >50K
20, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Honduras, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, England, <=50K
22, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,48, Canada, >50K
33, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,60, Scotland, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, Italy, <=50K
53, Self-emp-not-inc, Bachelors, Widowed, Adm-clerical, Not-in-family, Black, Female,14266,0,16, United-States, <=50K
19, Private, 12th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
32, Private, 7th-8th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
50, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, Portugal, >50K
41, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,2175,0,50, Laos, <=50K
50, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Laos, <=50K
36, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
50, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,45, Thailand, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,50, Jamaica, <=50K
20, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,8, Italy, >50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, >50K
19, Private, Masters, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,54, South, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, >50K
39, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Other, Male,0,0,40, Dominican-Republic, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,32, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,64, United-States, >50K
24, State-gov, Some-college, Never-married, Tech-support, Own-child, Black, Male,0,0,40, Guatemala, <=50K
53, Private, Bachelors, Widowed, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,1582,40, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,2, Germany, <=50K
38, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,45, United-States, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,16, United-States, <=50K
68, State-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, Iran, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,54, Italy, >50K
36, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,3489,0,54, South, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1977,60, United-States, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Taiwan, <=50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,50, Poland, >50K
37, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Ireland, >50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,1977,50, Iran, >50K
28, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,99, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,45, Iran, >50K
31, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,5178,0,40, Cuba, <=50K
69, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Laos, >50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Vietnam, <=50K
20, Local-gov, Masters, Never-married, Other-service, Not-in-family, White, Female,544,0,20, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, Honduras, >50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,40, Laos, <=50K
19, Private, 12th, Never-married, Adm-clerical, Husband, Black, Male,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Ecuador, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, South, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Thailand, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,1, Ecuador, <=50K
49, Local-gov, Masters, Divorced, Protective-serv, Unmarried, White, Female,3030,0,45, Dominican-Republic, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1977,40, Ecuador, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,23, Taiwan, <=50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, Laos, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,3464,0,40, El-Salvador, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Male,0,0,40, United-States, >50K
