47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1937,48, Dominican-Republic, >50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,2894,0,60, Columbia, <=50K
46, Local-gov, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, Vietnam, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Ecuador, >50K
44, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, United-States, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,80, Greece, >50K
52, Federal-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Trinadad&Tobago, >50K
90, State-gov, 10th, Widowed, Farming-fishing, Husband, Black, Female,0,0,16, United-States, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
44, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,9023,0,40, Dominican-Republic, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Dominican-Republic, >50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
65, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, Taiwan, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
35, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,38, Laos, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, France, >50K
31, Private, Some-college, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1841,50, Canada, >50K
38, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,17, Peru, <=50K
55, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,35, Hungary, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Hong, >50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,24, Italy, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
26, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
45, Private, HS-grad, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, China, <=50K
41, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, Black, Male,0,2112,55, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, El-Salvador, >50K
44, Local-gov, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,54, Haiti, <=50K
52, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, El-Salvador, >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Nicaragua, <=50K
51, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Germany, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Dominican-Republic, <=50K
64, Private, Some-college, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,8, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Hong, >50K
57, Self-emp-not-inc, 7th-8th, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Nicaragua, <=50K
30, Private, Assoc-voc, Never-married, Tech-support, Unmarried, Other, Male,0,0,20, Japan, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
40, Private, 11th, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
48, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Italy, >50K
72, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,15, Philippines, <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,4414,0,40, China, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Scotland, >50K
41, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,70, Canada, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,15, El-Salvador, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Cambodia, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,3822,0,54, Scotland, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,20, Scotland, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada, >50K
28, Local-gov, 11th, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, India, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Iran, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Scotland, <=50K
34, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
31, Private, 12th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,44, Hong, <=50K
30, Private, HS-grad, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,2043,40, Peru, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,75, United-States, >50K
33, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,29, Japan, <=50K
83, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Female,0,0,40, Portugal, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,25, Greece, <=50K
51, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Dominican-Republic, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,60, Poland, >50K
37, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,60, England, <=50K
58, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,38, Puerto-Rico, <=50K
48, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,38, Mexico, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, >50K
52, Local-gov, Assoc-acdm, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Poland, <=50K
19, Local-gov, HS-grad, Never-married, Sales, Wife, White, Male,0,0,20, Ecuador, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hungary, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,2412,35, Haiti, >50K
54, Private, Assoc-voc, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,35, Yugoslavia, >50K
30, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
32, Private, Some-college, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, South, <=50K
33, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,70, Iran, <=50K
48, Private, Bachelors, Widowed, Craft-repair, Unmarried, Black, Male,0,0,40, Philippines, <=50K
61, Private, Some-college, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Vietnam, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ireland, >50K
30, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, England, >50K
63, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Japan, <=50K
60, Self-emp-not-inc, Some-college, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, Greece, >50K
52, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Canada, <=50K
38, Local-gov, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, India, <=50K
38, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, Hungary, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,70, El-Salvador, <=50K
25, Private, Some-college, Divorced, Other-service, Unmarried, Black, Male,0,0,40, Greece, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,55, Taiwan, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
73, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
40, Self-emp-not-inc, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
21, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, Cuba, <=50K
50, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,2109,0,20, China, <=50K
65, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, France, <=50K
52, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,1783,44, Poland, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Laos, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,593,50, Honduras, >50K
74, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, Germany, >50K
45, Private, 10th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
46, Private, Prof-school, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,1887,40, Trinadad&Tobago, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Husband, Black, Female,0,1634,60, Hong, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, Japan, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Germany, <=50K
50, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,70, Thailand, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Hong, >50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, Peru, <=50K
20, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,20, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,45, China, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,60, Honduras, <=50K
30, Private, 5th-6th, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Italy, <=50K
65, Private, 10th, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,19, Cambodia, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
35, Self-emp-not-inc, Some-college, Separated, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
41, State-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Greece, >50K
50, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,2785,0,98, Hungary, <=50K
31, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Canada, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Male,3117,0,40, South, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, Hungary, <=50K
26, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, <=50K
40, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Other, Female,0,0,50, England, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Hungary, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Japan, >50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Black, Male,0,0,50, Poland, <=50K
44, Private, HS-grad, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,50, Haiti, <=50K
24, Private, Some-college, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Honduras, <=50K
22, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Greece, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,40, Trinadad&Tobago, >50K
28, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1939,54, South, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, Yugoslavia, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Puerto-Rico, <=50K
36, Private, Doctorate, Divorced, Exec-managerial, Not-in-family, Black, Female,59987,0,40, Thailand, >50K
25, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Guatemala, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,3846,0,40, Poland, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1887,40, Iran, <=50K
21, Private, HS-grad, Separated, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
47, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Ecuador, <=50K
18, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,54, Trinadad&Tobago, <=50K
26, Private, Masters, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
50, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Taiwan, <=50K
24, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,75, Iran, <=50K
42, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, Haiti, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,45, Guatemala, <=50K
44, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,3757,0,50, South, >50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, Cambodia, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,15024,0,40, Cambodia, >50K
37, Local-gov, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Greece, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Iran, >50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Outlying-US(Guam-USVI-etc), >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
42, Private, Prof-school, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, Ireland, <=50K
19, Private, 10th, Never-married, Transport-moving, Own-child, Other, Female,0,0,20, Mexico, <=50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Poland, <=50K
29, Private, 11th, Married-civ-spouse, Tech-support, Husband, White, Male,5178,0,40, Canada, >50K
36, Private, 9th, Separated, Sales, Wife, White, Male,0,0,35, Portugal, <=50K
52, Private, Masters, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,48, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
24, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,25, Laos, <=50K
22, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
23, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, Other, Male,0,0,32, Haiti, <=50K
32, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,60, Cuba, >50K
22, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,12, United-States, <=50K
57, Private, 5th-6th, Separated, Craft-repair, Husband, Black, Female,0,0,50, Laos, <=50K
53, Private, Some-college, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Nicaragua, <=50K
38, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,38, United-States, <=50K
32, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
24, Local-gov, HS-grad, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,50, United-States, <=50K
59, Local-gov, Prof-school, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,16, Thailand, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, >50K
21, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Canada, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Cuba, >50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,16, Ireland, <=50K
29, Private, 10th, Married-civ-spouse, Protective-serv, Wife, Other, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,2406,50, Cuba, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, South, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
32, Local-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,25, Ireland, <=50K
21, Private, 10th, Married-civ-spouse, Priv-house-serv, Own-child, Black, Male,0,0,10, Yugoslavia, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Husband, White, Female,0,0,43, Peru, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Columbia, <=50K
24, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,30, Scotland, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,35, El-Salvador, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ireland, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Cuba, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Japan, <=50K
24, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, India, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
46, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
45, Self-emp-inc, 7th-8th, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, >50K
42, Private, Doctorate, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,43, Mexico, <=50K
59, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, Other, Male,4076,0,40, Poland, <=50K
23, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, >50K
44, Private, Some-college, Divorced, Craft-repair, Unmarried, Black, Male,0,0,60, Thailand, <=50K
35, Private, Assoc-acdm, Separated, Machine-op-inspct, Unmarried, Other, Female,0,0,29, India, <=50K
34, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,30, England, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Trinadad&Tobago, >50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,44, United-States, <=50K
62, Private, Preschool, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Italy, <=50K
82, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,20, Honduras, <=50K
41, Private, HS-grad, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Cuba, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Cuba, >50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
38, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,45, Ireland, >50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
80, Self-emp-not-inc, Masters, Widowed, Farming-fishing, Not-in-family, Black, Female,0,0,16, Germany, <=50K
30, Private, Masters, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Peru, <=50K
29, Local-gov, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,50, China, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,48, Hong, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,50, Hong, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Husband, Other, Female,0,0,60, Dominican-Republic, >50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Haiti, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,30, Guatemala, <=50K
31, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,35, Laos, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
74, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,8, Philippines, <=50K
36, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,56, Germany, >50K
38, Private, Doctorate, Never-married, Sales, Husband, Other, Female,10411,0,50, United-States, <=50K
54, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,70, South, <=50K
