25, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,11887,0,50, India, >50K
68, Private, 10th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, Guatemala, <=50K
18, State-gov, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, India, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Without-pay, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, Japan, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
63, Federal-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,43, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,3310,0,38, Honduras, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
59, Private, Bachelors, Widowed, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
47, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,28, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
46, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, Cambodia, <=50K
52, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
25, Private, Doctorate, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
46, Local-gov, Some-college, Widowed, Sales, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
18, Private, 12th, Never-married, Adm-clerical, Husband, Black, Female,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, El-Salvador, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
37, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
42, Private, 11th, Separated, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,3319,0,64, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Vietnam, <=50K
50, Federal-gov, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
25, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,61, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,38, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
31, Local-gov, Bachelors, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,46, United-States, <=50K
41, Local-gov, Prof-school, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Dominican-Republic, >50K
63, Local-gov, 10th, Widowed, Transport-moving, Not-in-family, Black, Male,0,0,40, France, <=50K
51, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Peru, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Female,0,0,48, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
30, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,30, United-States, <=50K
55, Private, 9th, Separated, Machine-op-inspct, Wife, White, Female,0,0,16, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
38, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, Guatemala, >50K
41, Local-gov, Some-college, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,7687,0,40, United-States, >50K
60, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,3058,0,45, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
57, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, France, <=50K
28, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Iran, <=50K
74, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
61, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
49, Federal-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Separated, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, >50K
60, Local-gov, HS-grad, Widowed, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States, <=50K
30, Private, Some-college, Divorced, Other-service, Own-child, White, Male,0,0,40, India, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,35, Dominican-Republic, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Philippines, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1882,40, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,60, Mexico, <=50K
31, Federal-gov, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, India, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, Greece, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, United-States, >50K
26, Private, Some-college, Married-spouse-absent, Sales, Own-child, Black, Male,0,0,40, Jamaica, <=50K
49, Private, Some-college, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
59, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Haiti, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Cambodia, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Poland, >50K
30, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
49, Local-gov, Masters, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Ecuador, >50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
50, Federal-gov, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,33, United-States, >50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,70, United-States, <=50K
18, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,25, United-States, <=50K
66, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, >50K
50, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,60, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Haiti, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,42, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,54, United-States, >50K
18, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, Jamaica, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,30, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, Masters, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
61, State-gov, Masters, Widowed, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
57, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,35, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Own-child, White, Female,0,0,50, Hong, <=50K
25, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Local-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Japan, <=50K
49, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,65, England, >50K
21, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,9, United-States, <=50K
65, Self-emp-not-inc, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,54, Guatemala, >50K
53, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, El-Salvador, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hungary, >50K
23, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Ireland, <=50K
20, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,8, Hungary, <=50K
39, Private, Masters, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Laos, <=50K
38, Private, Bachelors, Never-married, Handlers-cleaners, Wife, White, Male,10388,0,50, Thailand, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, 1st-4th, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, 11th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,2, Japan, <=50K
62, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Separated, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,2436,35, United-States, >50K
26, Private, Assoc-voc, Separated, Prof-specialty, Own-child, White, Male,0,0,37, United-States, >50K
61, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Philippines, <=50K
21, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,20, Vietnam, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
33, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, >50K
57, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Mexico, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,65, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, Mexico, <=50K
36, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
71, Self-emp-not-inc, Masters, Widowed, Other-service, Not-in-family, White, Male,0,0,20, Peru, <=50K
48, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, >50K
79, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,4064,0,30, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
27, State-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, <=50K
49, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7687,0,40, Mexico, >50K
30, Private, 10th, Divorced, Craft-repair, Own-child, White, Male,0,0,54, India, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, >50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, Thailand, >50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Hong, <=50K
30, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,38, Ireland, >50K
23, Local-gov, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,8, United-States, <=50K
33, Federal-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
38, Federal-gov, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,4088,0,40, Philippines, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
80, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Female,0,0,24, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,10, Columbia, <=50K
23, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
27, Private, Some-college, Never-married, Exec-managerial, Husband, White, Female,0,0,45, Canada, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Self-emp-inc, Prof-school, Never-married, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
43, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, France, >50K
60, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,40, China, <=50K
73, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Germany, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, Ecuador, <=50K
31, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,45, Cambodia, <=50K
51, Local-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,4429,0,70, United-States, <=50K
38, Local-gov, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,0,0,38, Italy, <=50K
41, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,90, United-States, >50K
43, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Haiti, >50K
34, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,35, Thailand, <=50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, El-Salvador, <=50K
35, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Some-college, Separated, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,60, United-States, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, >50K
36, Private, Masters, Separated, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,6, United-States, <=50K
65, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,20, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,47, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4334,0,52, United-States, >50K
56, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,30, Italy, <=50K
32, Local-gov, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,47, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, >50K
51, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Doctorate, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Separated, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
38, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Mexico, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
36, Federal-gov, 12th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, State-gov, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,1984,40, United-States, >50K
29, Private, HS-grad, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
60, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Portugal, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1740,40, United-States, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,15, United-States, >50K
41, Private, HS-grad, Widowed, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,30, United-States, <=50K
