51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, Hong, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Cuba, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,29, Mexico, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Vietnam, >50K
37, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ecuador, <=50K
50, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,45, Peru, <=50K
55, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
63, Private, 9th, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, Columbia, <=50K
68, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,20, Mexico, <=50K
21, State-gov, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,20, Iran, <=50K
53, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Vietnam, >50K
57, Self-emp-not-inc, 11th, Separated, Prof-specialty, Not-in-family, Black, Female,0,2115,61, Greece, >50K
42, Private, Prof-school, Divorced, Other-service, Unmarried, Black, Female,0,0,24, Laos, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, United-States, <=50K
30, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, Holand-Netherlands, <=50K
47, Private, Assoc-voc, Widowed, Farming-fishing, Unmarried, Black, Male,0,0,29, Dominican-Republic, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Iran, <=50K
38, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,40, Canada, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, France, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Taiwan, <=50K
22, Private, Masters, Separated, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,40, Yugoslavia, >50K
61, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, Other, Female,0,1884,50, El-Salvador, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Holand-Netherlands, <=50K
42, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Female,0,2470,70, South, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Cambodia, >50K
46, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,1671,40, Greece, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Poland, <=50K
54, State-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Peru, >50K
17, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, Japan, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Wife, Other, Male,7687,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,45, Poland, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,37, Poland, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,54, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, Greece, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1902,40, Greece, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, El-Salvador, >50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Trinadad&Tobago, >50K
57, Private, 7th-8th, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,32, Scotland, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
60, Private, 7th-8th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Columbia, >50K
52, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,35, Canada, <=50K
46, Self-emp-not-inc, Masters, Separated, Exec-managerial, Husband, White, Female,7298,0,50, Italy, >50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,80, Iran, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Scotland, <=50K
43, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,1873,32, Thailand, <=50K
38, Local-gov, HS-grad, Divorced, Transport-moving, Wife, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
39, State-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,54, Scotland, <=50K
39, Private, HS-grad, Separated, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
59, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Taiwan, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,2166,35, Scotland, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,35, Holand-Netherlands, <=50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Canada, >50K
22, Private, Masters, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Cuba, <=50K
38, Federal-gov, HS-grad, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Portugal, >50K
59, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Nicaragua, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Hong, >50K
33, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Puerto-Rico, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,34, Outlying-US(Guam-USVI-etc), <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,20, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Other, Female,7298,0,54, Philippines, >50K
49, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,28, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, France, <=50K
43, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, England, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
28, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, India, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Columbia, >50K
41, Private, 10th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Canada, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,2453,0,50, Jamaica, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Philippines, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,3276,0,47, India, >50K
25, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,1769,15, Mexico, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
57, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Greece, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,20, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,45, Cuba, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,35, Nicaragua, <=50K
71, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Peru, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Mexico, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,45, Canada, >50K
56, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Male,3103,0,35, Philippines, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Honduras, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Japan, <=50K
20, State-gov, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, Laos, <=50K
63, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, Canada, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
48, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,2253,40, India, <=50K
35, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Philippines, <=50K
37, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,50, Japan, <=50K
35, Private, Bachelors, Separated, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, Jamaica, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,64, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Mexico, <=50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,2632,0,10, Scotland, <=50K
23, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,45, Cuba, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
39, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,64, Trinadad&Tobago, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
56, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, France, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Haiti, >50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, South, <=50K
52, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,20, Cuba, <=50K
41, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,11, South, >50K
51, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Jamaica, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,45, United-States, <=50K
60, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,20, United-States, <=50K
60, State-gov, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Hungary, >50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
56, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,32, Nicaragua, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,65, Germany, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,60, Canada, >50K
27, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Laos, >50K
35, Local-gov, 12th, Divorced, Other-service, Wife, White, Female,0,0,15, Cuba, <=50K
49, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Canada, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, El-Salvador, <=50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
46, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,35, India, <=50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,35, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,54, India, >50K
65, State-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, Puerto-Rico, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, Portugal, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Hong, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Hungary, <=50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Philippines, >50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,1887,40, Jamaica, >50K
66, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Female,0,1977,60, Holand-Netherlands, >50K
42, Federal-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,88, Laos, >50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
41, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,10, Cuba, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, India, <=50K
47, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,45, Italy, <=50K
58, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,36, Thailand, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,60, Germany, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Vietnam, >50K
38, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,54, Puerto-Rico, <=50K
25, Local-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
37, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,35, Jamaica, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, United-States, >50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Cuba, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
31, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,36, Jamaica, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Canada, <=50K
19, Private, 12th, Never-married, Tech-support, Not-in-family, White, Male,2453,0,40, Haiti, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Portugal, >50K
59, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, >50K
34, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, France, <=50K
54, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Laos, >50K
26, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,50, Iran, <=50K
24, Private, HS-grad, Separated, Prof-specialty, Not-in-family, Black, Male,0,0,35, Hong, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, China, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Guatemala, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,60, Peru, >50K
21, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,3103,0,60, Dominican-Republic, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,3325,0,40, Nicaragua, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,60, United-States, >50K
30, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,2439,0,40, Poland, <=50K
66, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,1765,29, Hungary, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,2392,40, Germany, >50K
65, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,25, Guatemala, >50K
57, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Iran, <=50K
47, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Germany, <=50K
50, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,50, Philippines, <=50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Philippines, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,40, United-States, >50K
31, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
41, Federal-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Cuba, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,45, Peru, >50K
30, Private, HS-grad, Separated, Machine-op-inspct, Husband, White, Male,0,0,45, England, <=50K
67, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,29, Mexico, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Yugoslavia, <=50K
43, Private, 9th, Married-civ-spouse, Tech-support, Husband, Other, Female,5178,0,40, Honduras, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,34, Holand-Netherlands, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,1671,10, Italy, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Holand-Netherlands, <=50K
52, Private, Masters, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,1692,35, Ireland, <=50K
37, Private, Assoc-voc, Separated, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, >50K
27, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, >50K
30, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,60, Puerto-Rico, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,60, Cuba, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Hong, <=50K
40, State-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Mexico, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,54, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,2415,65, United-States, >50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,45, Hungary, >50K
52, Private, 7th-8th, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Vietnam, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Taiwan, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Iran, >50K
51, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Columbia, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Hungary, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, England, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Hungary, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Scotland, <=50K
27, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Hong, <=50K
59, Private, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Laos, >50K
36, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,99999,0,73, Germany, >50K
35, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Peru, <=50K
50, Private, Masters, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ecuador, >50K
33, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Portugal, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Canada, >50K
61, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,20, Philippines, <=50K
43, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,60, Hungary, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Greece, <=50K
51, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, >50K
50, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Holand-Netherlands, <=50K
23, Federal-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,50, Philippines, <=50K
