42, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
31, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Female,0,0,40, Portugal, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
39, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,35, Greece, <=50K
41, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
24, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Male,0,0,15, Taiwan, <=50K
29, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Female,0,0,40, Hungary, <=50K
64, Federal-gov, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,60, Ecuador, <=50K
36, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
33, Private, 11th, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
39, Private, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Other, Female,5013,0,40, Hong, <=50K
28, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Cuba, <=50K
32, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
37, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Hungary, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,7687,0,40, Iran, >50K
45, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,1470,49, Columbia, >50K
56, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,30, Cambodia, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, >50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Scotland, <=50K
29, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,40, Ecuador, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,0,0,60, Haiti, <=50K
36, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,1741,30, Yugoslavia, <=50K
41, Self-emp-inc, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,4968,0,40, Hong, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Germany, <=50K
43, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
29, State-gov, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Italy, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,60, South, <=50K
48, Self-emp-inc, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,7298,0,45, Dominican-Republic, >50K
66, Local-gov, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Separated, Prof-specialty, Husband, Other, Female,0,0,56, United-States, >50K
50, Private, HS-grad, Widowed, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,35, Cuba, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,67, Mexico, >50K
48, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Peru, <=50K
61, Local-gov, Some-college, Married-civ-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,13621,0,40, England, <=50K
25, Local-gov, HS-grad, Married-civ-spouse, Sales, Wife, Black, Male,7687,0,40, South, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Female,0,0,19, Hong, <=50K
28, Private, Bachelors, Separated, Craft-repair, Husband, Other, Female,0,0,50, Canada, >50K
36, Local-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Thailand, <=50K
36, State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Thailand, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Laos, >50K
44, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, India, >50K
31, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,54, Poland, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,45, Canada, <=50K
31, Private, Bachelors, Never-married, Sales, Wife, Black, Male,0,1848,50, Portugal, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Wife, Black, Male,0,1887,40, United-States, >50K
46, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,1887,36, South, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4064,0,40, China, <=50K
29, Private, Some-college, Divorced, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Haiti, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Own-child, Other, Male,0,0,65, England, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,45, United-States, <=50K
50, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Portugal, <=50K
45, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,45, Puerto-Rico, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Japan, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,1881,50, Peru, >50K
48, Private, Assoc-voc, Separated, Sales, Unmarried, Other, Female,0,0,50, France, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,5013,0,50, Peru, <=50K
53, Private, Masters, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,1887,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico, <=50K
46, Private, Masters, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
32, Self-emp-inc, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, Cuba, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,4386,0,40, Nicaragua, >50K
34, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, >50K
46, Private, Assoc-acdm, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,7298,0,45, France, >50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,15, Taiwan, <=50K
51, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Portugal, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
28, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Vietnam, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,20, Jamaica, >50K
46, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, Columbia, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,15, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,8, Honduras, >50K
61, Local-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
30, Self-emp-inc, 12th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
43, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, India, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, Taiwan, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1593,40, Italy, <=50K
40, Private, Assoc-voc, Never-married, Sales, Other-relative, Black, Male,0,0,40, Hungary, <=50K
50, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
58, Private, Masters, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
27, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,49, Cuba, <=50K
45, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,15024,0,55, Peru, <=50K
66, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,36, Haiti, <=50K
21, Local-gov, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,80, England, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,3894,0,89, Thailand, >50K
26, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,50, Japan, <=50K
36, Private, Bachelors, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
76, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,7, Japan, <=50K
39, Private, Some-college, Never-married, Sales, Husband, Black, Male,0,0,40, Mexico, <=50K
59, Federal-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Federal-gov, Bachelors, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
34, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,7298,0,40, Cuba, <=50K
39, Private, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,19, England, <=50K
36, Private, Masters, Married-civ-spouse, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female,0,0,40, France, >50K
47, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,32, Puerto-Rico, >50K
50, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,60, India, <=50K
22, State-gov, Bachelors, Never-married, Prof-specialty, Own-child, Other, Male,0,0,20, Peru, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,3276,0,40, Guatemala, >50K
24, Private, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, Thailand, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, South, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,8, Japan, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,7298,0,50, Hong, >50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cambodia, >50K
52, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Iran, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,3097,0,40, Ireland, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,36, Japan, <=50K
36, Self-emp-inc, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,0,76, Scotland, <=50K
25, Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Husband, Black, Female,27394,0,50, Thailand, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Cambodia, <=50K
34, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Mexico, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,68, Nicaragua, <=50K
21, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,30, Nicaragua, <=50K
42, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Portugal, <=50K
22, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,20, Greece, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,40, Hong, <=50K
44, Local-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,1802,40, India, <=50K
28, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, Guatemala, >50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,45, Portugal, <=50K
54, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,60, South, >50K
24, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Italy, >50K
48, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, >50K
51, Private, HS-grad, Separated, Other-service, Wife, Amer-Indian-Eskimo, Male,0,0,20, Jamaica, <=50K
32, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, India, <=50K
24, Private, Masters, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Female,0,1988,50, Philippines, >50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Hong, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,1616,50, India, <=50K
36, Self-emp-not-inc, Assoc-acdm, Separated, Sales, Husband, Black, Female,0,0,60, United-States, <=50K
34, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,30, United-States, <=50K
18, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Cambodia, <=50K
24, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,4764,0,48, Peru, >50K
42, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,1977,50, Jamaica, >50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,54, Germany, <=50K
58, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,50, England, <=50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Mexico, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Mexico, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Canada, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, England, >50K
43, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, England, <=50K
60, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,30, Puerto-Rico, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, England, <=50K
49, Private, Some-college, Never-married, Machine-op-inspct, Husband, White, Female,0,0,50, Yugoslavia, <=50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Greece, >50K
58, Private, Masters, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
54, Local-gov, Masters, Divorced, Sales, Wife, White, Male,0,0,45, Trinadad&Tobago, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,18, Japan, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
39, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, England, <=50K
45, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, France, >50K
39, Local-gov, Some-college, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Yugoslavia, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,3104,0,40, Cambodia, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Italy, <=50K
22, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, Guatemala, <=50K
26, State-gov, HS-grad, Separated, Handlers-cleaners, Husband, Black, Female,0,0,40, Poland, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Germany, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Hong, <=50K
35, Federal-gov, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,60, Peru, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, Puerto-Rico, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
22, State-gov, 11th, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,40, Puerto-Rico, <=50K
55, Private, HS-grad, Separated, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Male,0,0,50, Trinadad&Tobago, <=50K
36, Private, Bachelors, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Scotland, >50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,40, Ecuador, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Laos, >50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, United-States, >50K
49, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, Cuba, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
37, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,54, Mexico, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,35, China, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,1887,40, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Trinadad&Tobago, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, India, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Iran, <=50K
39, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Iran, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,11, India, <=50K
51, State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Vietnam, >50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,45, Puerto-Rico, <=50K
48, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,30, England, <=50K
32, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, >50K
23, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
26, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Iran, <=50K
58, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, India, >50K
55, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Iran, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,65, Hungary, >50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1887,40, Yugoslavia, >50K
44, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Haiti, >50K
36, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,45, Honduras, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, Japan, <=50K
23, Private, Assoc-acdm, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Peru, <=50K
35, Private, HS-grad, Separated, Other-service, Unmarried, Other, Male,0,0,30, United-States, <=50K
53, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,46, Scotland, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,27, Trinadad&Tobago, <=50K
62, Federal-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,50, Haiti, <=50K
46, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,35, Taiwan, <=50K
19, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Italy, <=50K
62, Federal-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Laos, <=50K
44, Private, Some-college, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Nicaragua, >50K
34, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Italy, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,99999,0,60, Outlying-US(Guam-USVI-etc), >50K
60, Self-emp-not-inc, Assoc-acdm, Divorced, Farming-fishing, Unmarried, White, Female,0,0,38, Cuba, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,25, Mexico, <=50K
40, Federal-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,7687,0,50, Nicaragua, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
59, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,15024,0,15, Guatemala, >50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, >50K
26, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,50, Laos, <=50K
40, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, El-Salvador, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Divorced, Other-service, Own-child, Black, Female,0,0,40, Iran, <=50K
23, Private, 12th, Never-married, Other-service, Not-in-family, Other, Female,0,1667,40, Nicaragua, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, India, <=50K
40, Federal-gov, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Scotland, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Mexico, >50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
34, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,14226,0,40, Canada, >50K
