28, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Taiwan, <=50K
36, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
31, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,43, Japan, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,54, United-States, <=50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,20, United-States, <=50K
35, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Female,0,0,60, United-States, <=50K
29, Private, 11th, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
39, Federal-gov, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Bachelors, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, >50K
41, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,44, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,12, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
58, Federal-gov, HS-grad, Divorced, Tech-support, Wife, White, Female,0,0,20, United-States, <=50K
58, Local-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1611,45, Jamaica, >50K
46, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
46, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Some-college, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Italy, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,45, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, 7th-8th, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,48, United-States, <=50K
77, Local-gov, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,48, United-States, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
26, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Masters, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,34, United-States, >50K
46, State-gov, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, State-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,10541,0,60, United-States, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
74, Private, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, >50K
24, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,25, Columbia, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
48, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
24, Private, Bachelors, Never-married, Sales, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,25, Mexico, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Other-relative, White, Male,0,0,40, Jamaica, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, Mexico, <=50K
40, Federal-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,99999,0,50, United-States, >50K
28, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4982,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,5013,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
55, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1669,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,10, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
73, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,2174,0,10, United-States, >50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, >50K
51, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Female,3906,0,40, United-States, <=50K
27, Federal-gov, Bachelors, Never-married, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, <=50K
35, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
24, Federal-gov, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Thailand, <=50K
54, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
61, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
38, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, State-gov, Some-college, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, Haiti, <=50K
22, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, >50K
22, Private, 1st-4th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,74, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, South, <=50K
27, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,32, United-States, >50K
25, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,1753,40, Mexico, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,44, United-States, >50K
27, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,45, Taiwan, <=50K
52, Local-gov, Bachelors, Divorced, Prof-specialty, Wife, White, Female,15024,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
37, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, >50K
55, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
42, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,75, United-States, <=50K
45, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, >50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, United-States, >50K
37, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
48, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
25, Private, HS-grad, Never-married, Other-service, Husband, White, Male,7298,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States, >50K
27, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
21, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
62, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,52, United-States, >50K
44, Self-emp-inc, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,48, United-States, <=50K
39, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,2580,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
69, Self-emp-not-inc, Masters, Widowed, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,37, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, <=50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,65, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,1977,50, United-States, <=50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,48, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
30, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, State-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, United-States, >50K
44, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,54, United-States, <=50K
31, Private, HS-grad, Divorced, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
90, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
39, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,2721,0,43, United-States, <=50K
56, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
42, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,99999,0,60, United-States, >50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,30, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Ireland, >50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
43, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,35, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Guatemala, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, United-States, <=50K
56, Local-gov, Some-college, Divorced, Transport-moving, Husband, White, Female,0,0,20, Mexico, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,54, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
38, Local-gov, Some-college, Widowed, Prof-specialty, Unmarried, White, Female,0,0,25, United-States, <=50K
51, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
53, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
35, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
65, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, United-States, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,1876,40, United-States, <=50K
53, State-gov, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Canada, >50K
55, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,2175,0,20, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Hungary, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Local-gov, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, United-States, >50K
52, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,45, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, >50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,35, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,61, United-States, <=50K
48, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
22, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1881,50, United-States, >50K
48, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
22, Private, 10th, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
48, Self-emp-inc, Some-college, Divorced, Transport-moving, Unmarried, Black, Female,0,0,16, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
46, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1902,40, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,20, United-States, <=50K
59, Local-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, Some-college, Divorced, Transport-moving, Unmarried, Black, Female,0,0,48, United-States, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, France, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,48, Nicaragua, <=50K
38, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,27, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,12, United-States, <=50K
73, Private, 5th-6th, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, HS-grad, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,25, United-States, <=50K
57, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Ireland, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,7298,0,60, United-States, >50K
31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1887,50, United-States, <=50K
64, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16, United-States, <=50K
54, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,1740,20, United-States, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,99, United-States, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,3155,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,1672,60, United-States, <=50K
