56, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Puerto-Rico, >50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
35, Private, 9th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Assoc-voc, Married-spouse-absent, Prof-specialty, Husband, White, Male,15024,0,50, Puerto-Rico, >50K
36, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,1, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,52, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
37, State-gov, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,32, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
32, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
64, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,15, India, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
29, Private, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,38, Portugal, <=50K
48, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States, <=50K
47, Federal-gov, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, Hong, <=50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, >50K
31, Private, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
38, State-gov, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,25, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Craft-repair, Unmarried, White, Male,4711,0,50, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Peru, >50K
60, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,2845,0,40, United-States, >50K
54, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,30, United-States, <=50K
35, Private, Bachelors, Married-spouse-absent, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
64, Federal-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,37, Canada, <=50K
57, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
47, Private, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,45, Ecuador, <=50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,2880,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, United-States, <=50K
57, Federal-gov, Masters, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,44, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, State-gov, Doctorate, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Iran, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
55, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1977,50, United-States, >50K
30, Private, 10th, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,64, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
26, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
25, Self-emp-not-inc, Bachelors, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,60, United-States, <=50K
26, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1902,50, United-States, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,1902,35, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, England, >50K
54, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,1495,0,20, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Poland, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,42, United-States, <=50K
54, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
62, State-gov, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2392,30, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,35, United-States, <=50K
53, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, United-States, >50K
28, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,30, Vietnam, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, Philippines, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,16, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, >50K
60, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,99999,0,70, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,54, United-States, >50K
32, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Germany, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Haiti, <=50K
38, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,44, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
44, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,4763,0,40, United-States, <=50K
18, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States, <=50K
22, Private, 11th, Divorced, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Divorced, Other-service, Wife, White, Male,0,0,10, Nicaragua, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K
47, Private, Some-college, Divorced, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, >50K
71, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Cuba, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,50, United-States, <=50K
23, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,1977,40, United-States, <=50K
36, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Husband, Other, Female,0,0,30, United-States, <=50K
28, Private, Prof-school, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Masters, Never-married, Other-service, Not-in-family, White, Female,14564,0,50, United-States, >50K
38, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, Assoc-acdm, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, El-Salvador, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
63, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, Mexico, <=50K
38, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,5178,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,45, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Never-married, Craft-repair, Husband, White, Male,0,2001,40, United-States, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,8, Italy, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,1933,54, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,43, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,1740,46, Scotland, <=50K
23, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,30, United-States, <=50K
29, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,4656,0,50, Germany, >50K
65, Private, 7th-8th, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
55, Local-gov, 7th-8th, Divorced, Exec-managerial, Not-in-family, White, Female,2555,0,54, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
65, Self-emp-inc, 9th, Divorced, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,35, England, <=50K
59, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,35, Mexico, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Poland, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, South, <=50K
68, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,4989,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Divorced, Tech-support, Own-child, Black, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,30, United-States, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,99999,0,54, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,10, Dominican-Republic, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1754,50, Cambodia, >50K
46, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, South, >50K
43, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,42, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1287,0,40, Hong, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
43, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,57, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1956,40, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,25, United-States, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,1977,45, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Divorced, Machine-op-inspct, Wife, White, Female,0,0,25, United-States, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cambodia, <=50K
43, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, United-States, >50K
44, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,10520,0,48, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
26, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,40, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
24, Private, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
33, Private, Prof-school, Divorced, Prof-specialty, Wife, White, Female,4462,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Local-gov, HS-grad, Widowed, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
33, Private, Some-college, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,65, United-States, >50K
58, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,54, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,50, Mexico, <=50K
30, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,32, Puerto-Rico, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
39, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
30, Private, 10th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, South, >50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Prof-school, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4547,0,40, Honduras, >50K
41, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Other-service, Wife, White, Female,0,0,40, Greece, >50K
30, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, Haiti, <=50K
63, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,10, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, >50K
34, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
58, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
50, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Germany, <=50K
43, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
