56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
34, Private, HS-grad, Divorced, Sales, Husband, Black, Male,4151,0,45, France, <=50K
32, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,60, South, <=50K
40, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
42, Private, HS-grad, Married-civ-spouse, Adm-clerical, Other-relative, White, Male,0,0,40, Vietnam, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,25, Thailand, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Cuba, >50K
54, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,40, Greece, <=50K
49, Private, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, Jamaica, <=50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, Vietnam, <=50K
23, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
35, Self-emp-inc, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,65, Puerto-Rico, >50K
74, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,24, Jamaica, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Dominican-Republic, <=50K
35, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Ecuador, <=50K
31, Private, Bachelors, Separated, Machine-op-inspct, Own-child, White, Female,0,0,40, Trinadad&Tobago, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,36, China, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Cuba, <=50K
24, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, El-Salvador, <=50K
59, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, Dominican-Republic, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,35, Portugal, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
37, Private, Assoc-voc, Divorced, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, <=50K
35, Private, 10th, Never-married, Craft-repair, Unmarried, White, Male,0,0,50, Hong, <=50K
53, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,35, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Laos, >50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Husband, White, Female,3896,0,40, Canada, >50K
50, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,15024,0,60, Vietnam, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,45, Honduras, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Dominican-Republic, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,15, Peru, <=50K
26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Dominican-Republic, >50K
33, State-gov, Masters, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Other, Male,15024,0,50, England, >50K
71, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,16, Yugoslavia, <=50K
49, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7687,0,45, China, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
36, Self-emp-not-inc, Masters, Married-spouse-absent, Craft-repair, Husband, White, Male,7687,0,50, Trinadad&Tobago, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,36, Peru, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, Honduras, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Guatemala, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Dominican-Republic, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, Yugoslavia, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Other, Female,0,0,20, Vietnam, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, Japan, <=50K
45, State-gov, Bachelors, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,40, Hungary, <=50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Portugal, <=50K
47, Local-gov, HS-grad, Divorced, Sales, Not-in-family, White, Female,5015,0,40, Canada, <=50K
29, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,54, Jamaica, <=50K
29, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, Philippines, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,20, Nicaragua, <=50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
32, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
35, Without-pay, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,36, Taiwan, <=50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,4651,0,40, Japan, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Vietnam, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,23, Jamaica, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
28, Private, 11th, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Scotland, >50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
20, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,20, Greece, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,25, Ecuador, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Hong, <=50K
29, Private, 11th, Married-civ-spouse, Sales, Wife, Black, Female,0,0,40, India, <=50K
26, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, Portugal, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, Trinadad&Tobago, >50K
52, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,38, Puerto-Rico, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, India, <=50K
20, Self-emp-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,25, Cuba, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,30, India, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,2119,0,40, China, <=50K
61, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, France, <=50K
19, Private, 10th, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Poland, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Greece, >50K
33, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,20, Peru, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,80, Philippines, >50K
59, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
45, Local-gov, 9th, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Iran, >50K
43, Local-gov, Masters, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,48, Cuba, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Thailand, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,3969,0,40, Portugal, >50K
46, State-gov, Bachelors, Widowed, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Haiti, <=50K
30, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Bachelors, Divorced, Priv-house-serv, Husband, White, Female,0,0,44, Ecuador, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,0,45, England, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, Taiwan, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, England, <=50K
23, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,35, Yugoslavia, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,20, El-Salvador, <=50K
39, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Poland, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, Portugal, <=50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Hong, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,42, England, <=50K
48, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Yugoslavia, <=50K
48, Private, 7th-8th, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Japan, <=50K
29, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Germany, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Female,2826,0,20, Canada, <=50K
32, Private, 10th, Never-married, Protective-serv, Husband, White, Female,0,0,65, Vietnam, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, France, <=50K
64, Private, 1st-4th, Widowed, Prof-specialty, Husband, White, Male,0,0,45, Japan, >50K
50, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, England, <=50K
62, State-gov, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,35, Honduras, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, Ecuador, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, <=50K
19, Self-emp-not-inc, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, Poland, <=50K
40, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,30, China, <=50K
65, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Outlying-US(Guam-USVI-etc), >50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
22, State-gov, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,30, Honduras, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
69, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,2938,0,40, El-Salvador, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Mexico, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Philippines, >50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Mexico, <=50K
20, Private, 11th, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
37, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Male,0,0,79, India, >50K
19, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Cambodia, <=50K
35, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Taiwan, <=50K
36, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, Vietnam, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, China, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,50, Dominican-Republic, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,40, Yugoslavia, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cambodia, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, Italy, <=50K
26, Local-gov, Some-college, Separated, Other-service, Not-in-family, White, Female,0,0,30, Yugoslavia, <=50K
30, Private, Prof-school, Never-married, Sales, Not-in-family, Black, Female,0,0,45, Thailand, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Dominican-Republic, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, Vietnam, >50K
56, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,65, France, <=50K
44, Private, Masters, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Yugoslavia, >50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,15024,0,50, Yugoslavia, >50K
61, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,15024,0,35, Columbia, <=50K
38, Private, HS-grad, Separated, Prof-specialty, Unmarried, White, Male,0,0,20, Italy, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Jamaica, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,45, Japan, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Vietnam, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1714,50, Portugal, >50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Canada, <=50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Japan, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Thailand, <=50K
43, Private, HS-grad, Divorced, Transport-moving, Husband, White, Female,0,0,40, Italy, >50K
54, Self-emp-not-inc, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,32, Thailand, <=50K
47, Local-gov, 9th, Widowed, Craft-repair, Unmarried, White, Male,0,0,49, Iran, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
52, Private, Assoc-voc, Separated, Adm-clerical, Husband, White, Male,0,0,25, Poland, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Cuba, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Cambodia, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, >50K
19, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,30, Iran, <=50K
21, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,25, Mexico, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Jamaica, >50K
21, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,12, Italy, <=50K
35, Federal-gov, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,30, India, <=50K
26, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,30, Laos, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, Guatemala, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Japan, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Thailand, <=50K
20, State-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
71, Self-emp-not-inc, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,12, Taiwan, <=50K
67, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,7687,0,50, Hungary, >50K
29, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Laos, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male,0,0,50, Canada, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,40, Haiti, <=50K
43, Private, HS-grad, Divorced, Tech-support, Husband, White, Female,0,0,24, Haiti, <=50K
28, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Hong, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,7687,0,50, Vietnam, <=50K
31, Private, Bachelors, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Male,15024,0,57, Poland, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Taiwan, <=50K
65, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, Taiwan, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Haiti, >50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, India, >50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Scotland, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Cambodia, >50K
49, Federal-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Cuba, <=50K
48, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,98, Scotland, >50K
28, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,50, Portugal, <=50K
26, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
37, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Cuba, <=50K
52, Private, 10th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, Peru, >50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Haiti, <=50K
45, Private, Masters, Never-married, Adm-clerical, Wife, White, Male,0,0,30, Ecuador, <=50K
48, State-gov, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Thailand, <=50K
34, State-gov, Some-college, Divorced, Craft-repair, Husband, Black, Male,0,0,40, Nicaragua, <=50K
21, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, Puerto-Rico, <=50K
55, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Philippines, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Scotland, <=50K
49, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Portugal, >50K
34, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, Haiti, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Dominican-Republic, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2342,40, Ecuador, >50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, Cuba, >50K
49, Federal-gov, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,40, China, >50K
28, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,40, England, <=50K
23, State-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
55, Private, 10th, Divorced, Sales, Unmarried, White, Male,0,0,40, Honduras, <=50K
38, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, France, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, Guatemala, >50K
39, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, Greece, <=50K
69, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,2175,0,15, Nicaragua, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Cuba, <=50K
60, Private, Bachelors, Widowed, Sales, Husband, White, Female,0,0,35, Dominican-Republic, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Philippines, >50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, France, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, England, <=50K
46, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Poland, <=50K
33, Private, Some-college, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Guatemala, <=50K
25, Private, Some-college, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Honduras, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, Poland, <=50K
21, Private, 11th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Hong, <=50K
17, Private, 10th, Never-married, Transport-moving, Own-child, White, Male,0,0,40, South, <=50K
30, Private, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,61, Yugoslavia, <=50K
40, Federal-gov, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
37, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,7298,0,50, Ireland, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K
32, State-gov, Some-college, Never-married, Other-service, Husband, White, Male,0,0,42, England, <=50K
34, Private, Assoc-voc, Never-married, Sales, Not-in-family, Black, Female,0,0,52, Dominican-Republic, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
41, Private, 10th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Philippines, <=50K
63, Self-emp-not-inc, Masters, Widowed, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,47, Haiti, <=50K
44, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,15, Columbia, <=50K
40, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
61, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Husband, White, Female,0,0,32, Vietnam, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,3103,0,20, Ireland, <=50K
58, Federal-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, China, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Cambodia, <=50K
27, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, England, <=50K
