45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,71, United-States, >50K
32, Private, HS-grad, Separated, Prof-specialty, Husband, White, Male,0,1902,50, United-States, <=50K
22, State-gov, Some-college, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,22, United-States, <=50K
64, Self-emp-not-inc, Masters, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,38, United-States, <=50K
32, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Female,0,0,15, United-States, <=50K
22, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, >50K
28, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, State-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
58, Private, Assoc-voc, Never-married, Tech-support, Not-in-family, Black, Male,0,0,35, United-States, <=50K
21, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,20, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
27, Local-gov, Bachelors, Divorced, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
59, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
37, Private, HS-grad, Separated, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
18, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, 12th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,83132,0,50, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,7298,0,45, United-States, >50K
28, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
28, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
41, Private, Prof-school, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
61, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,80, United-States, <=50K
37, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,4424,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,54, United-States, >50K
51, Local-gov, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,1902,40, United-States, >50K
31, Private, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
68, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,9167,0,50, United-States, >50K
44, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, United-States, >50K
47, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, >50K
58, Federal-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,15024,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,81, United-States, <=50K
43, Private, 1st-4th, Divorced, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,37, United-States, >50K
30, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,60, United-States, >50K
59, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, Laos, <=50K
39, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1854,68, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
31, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,44, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Federal-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
45, State-gov, 7th-8th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,53, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,45, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,7298,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,3443,0,40, United-States, <=50K
21, Private, Prof-school, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Other-relative, White, Female,0,0,24, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
22, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,10, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,60, Ecuador, <=50K
27, Federal-gov, Some-college, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, Bachelors, Divorced, Transport-moving, Husband, Black, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,40, China, >50K
51, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,10, United-States, <=50K
48, Local-gov, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,16, United-States, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,40, United-States, >50K
19, State-gov, Some-college, Never-married, Adm-clerical, Wife, Other, Male,0,0,12, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Never-married, Priv-house-serv, Own-child, White, Male,0,0,65, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,38, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Female,0,0,38, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, United-States, <=50K
30, Private, Bachelors, Never-married, Farming-fishing, Husband, Black, Male,0,0,60, United-States, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Columbia, <=50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1977,30, United-States, >50K
34, Private, Assoc-voc, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Sales, Husband, White, Female,0,0,25, United-States, <=50K
60, Self-emp-inc, Bachelors, Separated, Sales, Husband, White, Male,0,0,54, United-States, >50K
34, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,52, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1887,60, United-States, >50K
40, Self-emp-inc, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
49, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,3325,0,40, United-States, >50K
58, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Germany, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,60, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,8, United-States, <=50K
29, Federal-gov, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
54, State-gov, 10th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
48, Private, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Prof-school, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,15, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,30, United-States, >50K
50, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,1902,30, United-States, >50K
26, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,7687,0,40, United-States, >50K
33, Local-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,48, United-States, <=50K
21, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, Mexico, >50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,52, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
41, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1976,40, United-States, <=50K
43, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,40, United-States, >50K
24, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
37, Self-emp-inc, HS-grad, Never-married, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,1902,40, United-States, >50K
58, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, >50K
21, Private, Doctorate, Never-married, Exec-managerial, Wife, White, Female,0,0,30, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,45, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Husband, Black, Female,0,0,45, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
61, Private, HS-grad, Widowed, Protective-serv, Not-in-family, White, Female,0,0,35, United-States, <=50K
48, Self-emp-not-inc, 10th, Widowed, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
46, Private, Masters, Divorced, Prof-specialty, Husband, White, Female,15024,0,50, United-States, >50K
52, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
34, Private, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,3121,0,35, Taiwan, <=50K
70, State-gov, Some-college, Widowed, Sales, Wife, White, Male,0,0,30, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,7298,0,50, United-States, >50K
42, Private, Masters, Never-married, Sales, Other-relative, White, Male,99999,0,40, United-States, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,30, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, >50K
31, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,14496,0,35, United-States, <=50K
23, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 7th-8th, Never-married, Other-service, Not-in-family, Black, Female,0,0,25, United-States, <=50K
48, Private, Assoc-acdm, Widowed, Sales, Not-in-family, White, Male,0,0,8, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Poland, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, <=50K
42, Local-gov, Some-college, Widowed, Adm-clerical, Husband, White, Female,0,0,30, United-States, <=50K
43, Private, Doctorate, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
38, State-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Cuba, >50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5067,0,60, United-States, >50K
58, Private, Some-college, Widowed, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,38, United-States, <=50K
44, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male,0,0,24, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,38, United-States, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,7298,0,33, United-States, >50K
30, State-gov, Bachelors, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
28, State-gov, Masters, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, Puerto-Rico, >50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Local-gov, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,45, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
58, Federal-gov, Some-college, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Local-gov, Doctorate, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, 7th-8th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Mexico, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Husband, White, Male,7687,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,45, China, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,38, United-States, <=50K
29, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,48, England, <=50K
18, Private, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
64, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
63, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,22, United-States, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Male,0,1887,45, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,45, United-States, >50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,60, United-States, >50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,70, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
65, Private, HS-grad, Widowed, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
72, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,4039,0,15, United-States, >50K
23, Self-emp-inc, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1976,45, United-States, >50K
47, Private, Bachelors, Divorced, Transport-moving, Husband, White, Male,0,0,75, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,45, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,1902,50, Yugoslavia, >50K
64, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,34, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,45, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Local-gov, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
70, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
38, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,20, United-States, <=50K
59, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,25, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,7298,0,54, United-States, <=50K
49, Private, Assoc-voc, Never-married, Transport-moving, Husband, White, Female,0,0,32, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,15024,0,35, United-States, >50K
23, Private, Prof-school, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,20, Mexico, <=50K
70, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,4, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
61, Private, 10th, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,30, United-States, <=50K
24, Private, Bachelors, Separated, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
